#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     12.6269     12.6269           0
           2     11.6305     12.1287    0.352296
           3     10.0336     11.4303    0.616692
           4      11.569      11.465    0.463492
           5     7.96516      10.765    0.727635
           6     8.79022     10.4359     0.67672
           7     9.98933     10.3721    0.583045
           8     6.70249      9.9134    0.666614
           9     11.5272     10.0927     0.61619
          10      12.443     10.3277    0.597716
          11     13.7328     10.6373    0.618361
          12     7.19511     10.3504    0.629859
          13     5.91831     10.0095    0.667331
          14     8.60444     9.90915    0.627166
          15     11.9696     10.0465    0.600209
          16     9.62542     10.0202    0.563273
          17     5.41227     9.74914    0.591774
          18     9.64516     9.74336    0.558926
          19     10.0169     9.75776    0.529694
          20     10.1551     9.77763    0.503582
          21     8.46436     9.71509    0.483469
          22     9.48756     9.70475    0.461604
          23     9.94204     9.71506    0.441649
          24     6.39227     9.57661    0.444419
          25     8.71511     9.54215    0.427976
          26     10.6724     9.58562    0.413717
          27     8.87867     9.55944    0.399222
          28     6.85707     9.46293    0.396458
          29     9.17858     9.45312    0.382909
          30     13.4781     9.58729    0.392948
          31     12.9547     9.69591    0.395001
          32     10.1399     9.70979    0.382901
          33     9.76507     9.71146    0.371301
          34      10.064     9.72183    0.360526
          35     15.7139     9.89303    0.388754
          36     8.98978     9.86794    0.378764
          37     8.92284      9.8424    0.369388
          38     10.9771     9.87226    0.360872
          39     8.38489     9.83412    0.353628
          40      14.602     9.95332    0.364322
          41     10.5043     9.96676    0.355684
          42     6.51307     9.88452    0.356594
          43     8.08951     9.84278    0.350736
          44     8.92871     9.82201     0.34338
          45      10.562     9.83845    0.336143
          46     8.86542      9.8173      0.3295
          47     10.1416      9.8242    0.322562
          48     8.89307      9.8048    0.316424
          49       8.052     9.76903    0.311982
          50     7.50702     9.72379    0.309005
          51     10.1671     9.73248    0.303069
          52     12.8234     9.79192    0.303013
          53       12.88     9.85019    0.302846
          54     12.3187      9.8959    0.300668
          55     5.84293     9.82221    0.304098
          56      7.5624     9.78186    0.301333
          57     10.1523     9.78835    0.296116
          58     8.69707     9.76954    0.291608
          59     9.92818     9.77223    0.286678
          60     7.31138     9.73121    0.284819
          61     6.65458     9.68078     0.28458
          62     11.6673     9.71282    0.281788
          63     12.5761     9.75827    0.280957
          64     12.7103     9.80439    0.280327
          65     5.80462     9.74286    0.282688
          66     9.79662     9.74367    0.278406
          67     12.7615     9.78871     0.27787
          68      9.0424     9.77774    0.274001
          69     9.14676     9.76859    0.270182
          70     8.08987     9.74461    0.267385
          71     8.90773     9.73283    0.263878
          72     8.95911     9.72208    0.260432
          73     9.10809     9.71367       0.257
          74     9.31378     9.70826    0.253584
          75     14.4676     9.77172    0.258021
          76     9.09333      9.7628     0.25478
          77     19.6357     9.89102    0.281895
          78     12.2343     9.92106    0.279877
          79     7.43218     9.88955    0.278102
          80     9.08791     9.87953    0.274806
          81     10.1681      9.8831    0.271437
          82     14.6857     9.94166    0.274372
          83     9.48258     9.93613    0.271122
          84     9.52773     9.93127    0.267938
          85       11.74     9.95255     0.26563
          86     11.1005      9.9659    0.262876
          87     10.8522     9.97609    0.260052
          88     8.37982     9.95795    0.257729
          89      8.8752     9.94578     0.25512
          90     13.6924     9.98741    0.255659
          91     10.7482     9.99577    0.252986
          92     11.1671     10.0085    0.250557
          93     9.56702     10.0038    0.247907
          94     12.5404     10.0307    0.246734
          95     16.4292     10.0981    0.253163
          96     12.3028     10.1211    0.251565
          97     10.3925     10.1239    0.248987
          98     12.7749     10.1509    0.247912
          99     6.59076     10.1149    0.248002
         100     9.84827     10.1123    0.245537
