#   N_BLOCK:  ACCEPTANCE:
           1   0.0328764
           2   0.0316967
           3   0.0298954
           4   0.0282886
           5   0.0286347
           6   0.0277275
           7   0.0274376
           8   0.0277411
           9   0.0278863
          10    0.027056
          11   0.0270133
          12   0.0264136
          13   0.0265774
          14    0.025955
          15   0.0268608
          16   0.0264769
          17   0.0255733
          18   0.0250086
          19   0.0254207
          20   0.0259333
          21    0.025769
          22    0.025985
          23   0.0261903
          24   0.0259794
          25   0.0266206
          26   0.0269178
          27    0.027267
          28   0.0269474
          29   0.0268851
          30   0.0265515
          31   0.0266741
          32   0.0267381
          33   0.0270902
          34   0.0266627
          35   0.0261707
          36   0.0261774
          37   0.0261174
          38   0.0266358
          39   0.0272384
          40   0.0272192
          41   0.0270659
          42   0.0271554
          43   0.0276649
          44   0.0281637
          45   0.0278945
          46   0.0278425
          47   0.0277825
          48   0.0279697
          49   0.0278563
          50     0.02784
          51   0.0282039
          52    0.028181
          53   0.0288451
          54   0.0290122
          55   0.0291243
          56   0.0290152
          57   0.0290848
          58   0.0289382
          59    0.028653
          60   0.0286783
          61   0.0286696
          62   0.0286906
          63   0.0288197
          64   0.0286238
          65   0.0287627
          66   0.0285405
          67   0.0284878
          68   0.0285882
          69   0.0284813
          70    0.028226
          71   0.0279778
          72   0.0278444
          73   0.0279337
          74   0.0279795
          75   0.0281172
          76   0.0279544
          77   0.0279602
          78   0.0278273
          79    0.027667
          80    0.027492
          81   0.0274022
          82   0.0272996
          83   0.0276776
          84   0.0276047
          85   0.0274808
          86   0.0273498
          87   0.0276503
          88   0.0274486
          89   0.0275172
          90   0.0275708
          91   0.0279412
          92   0.0282765
          93   0.0280565
          94   0.0278238
          95   0.0278074
          96   0.0278011
          97   0.0277379
          98   0.0275759
          99   0.0275739
         100   0.0274631
