#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.85328    -0.85328           0
           2    -0.85832     -0.8558  0.00178191
           3    -0.83032   -0.847307  0.00703579
           4    -0.85144    -0.84834  0.00535219
           5    -0.85416   -0.849504  0.00440651
           6    -0.84256   -0.848347  0.00382105
           7    -0.85056   -0.848663  0.00328824
           8    -0.83424    -0.84686  0.00333502
           9     -0.8328   -0.845298   0.0033102
          10    -0.85688   -0.846456  0.00317535
          11     -0.8472   -0.846524   0.0028874
          12    -0.84576    -0.84646  0.00264748
          13    -0.85264   -0.846935  0.00248614
          14    -0.83784   -0.846286  0.00239194
          15    -0.85664   -0.846976  0.00232996
          16    -0.83448   -0.846195  0.00231153
          17    -0.84656   -0.846216  0.00217565
          18    -0.85536   -0.846724  0.00211325
          19    -0.83224   -0.845962  0.00213511
          20    -0.83864   -0.845596   0.0020595
          21    -0.86448   -0.846495   0.0021488
          22    -0.85544   -0.846902  0.00208924
          23    -0.86248   -0.847579  0.00210533
          24     -0.8376   -0.847163  0.00205826
          25       -0.85   -0.847277  0.00197905
          26    -0.86832   -0.848086   0.0020618
          27     -0.8436    -0.84792  0.00199212
          28    -0.82112   -0.846963  0.00213858
          29       -0.82   -0.846033  0.00225792
          30    -0.84312   -0.845936  0.00218474
          31    -0.84696   -0.845969  0.00211452
          32    -0.84328   -0.845885  0.00205011
          33    -0.84736    -0.84593  0.00198847
          34    -0.86192     -0.8464  0.00198482
          35    -0.84656   -0.846405  0.00192812
          36    -0.83096   -0.845976   0.0019217
          37    -0.83688    -0.84573  0.00188542
          38    -0.84968   -0.845834  0.00183866
          39    -0.83792   -0.845631  0.00180268
          40    -0.86592   -0.846138  0.00182758
          41      -0.862   -0.846525   0.0018235
          42     -0.8332   -0.846208  0.00180747
          43    -0.84592   -0.846201  0.00176545
          44    -0.85584    -0.84642  0.00173886
          45    -0.85592   -0.846631  0.00171299
          46    -0.82728    -0.84621  0.00172663
          47      -0.852   -0.846334  0.00169428
          48    -0.84784   -0.846365  0.00165928
          49    -0.86328    -0.84671  0.00166093
          50    -0.83208   -0.846418  0.00165329
          51    -0.86552   -0.846792  0.00166276
          52    -0.86504   -0.847143   0.0016674
          53    -0.84304   -0.847066  0.00163774
          54      -0.834   -0.846824  0.00162518
          55    -0.84808   -0.846847  0.00159579
          56    -0.83792   -0.846687  0.00157524
          57    -0.83392   -0.846463  0.00156345
          58    -0.84104    -0.84637  0.00153928
          59    -0.86048   -0.846609  0.00153166
          60    -0.85448    -0.84674  0.00151174
          61    -0.83888   -0.846611  0.00149244
          62    -0.86736   -0.846946  0.00150542
          63    -0.85008   -0.846996  0.00148235
          64     -0.8464   -0.846986  0.00145922
          65    -0.84696   -0.846986  0.00143677
          66    -0.85368   -0.847087  0.00141857
          67    -0.85696   -0.847235  0.00140503
          68    -0.85576    -0.84736  0.00138995
          69    -0.85784   -0.847512  0.00137808
          70    -0.84712   -0.847506  0.00135841
          71    -0.83488   -0.847328  0.00135086
          72    -0.84856   -0.847346  0.00133221
          73    -0.85264   -0.847418  0.00131593
          74    -0.83888   -0.847303   0.0013032
          75     -0.8492   -0.847328  0.00128607
          76    -0.82768   -0.847069  0.00129487
          77    -0.85256   -0.847141  0.00128002
          78    -0.86464   -0.847365  0.00128312
          79    -0.82936   -0.847137  0.00128696
          80    -0.85056    -0.84718  0.00127158
          81    -0.86616   -0.847414  0.00127729
          82    -0.85248   -0.847476   0.0012632
          83    -0.83448    -0.84732  0.00125765
          84    -0.84992    -0.84735  0.00124306
          85     -0.8376   -0.847236  0.00123372
          86    -0.85056   -0.847274  0.00121998
          87    -0.84296   -0.847225  0.00120696
          88    -0.83448    -0.84708  0.00120191
          89    -0.85056   -0.847119  0.00118904
          90    -0.86272   -0.847292  0.00118839
          91    -0.85272   -0.847352  0.00117683
          92    -0.84448   -0.847321  0.00116445
          93    -0.84856   -0.847334  0.00115201
          94    -0.85584   -0.847425   0.0011433
          95    -0.86688   -0.847629  0.00114946
          96    -0.86568   -0.847817  0.00115276
          97    -0.85488    -0.84789  0.00114318
          98    -0.86264   -0.848041  0.00114138
          99    -0.83768   -0.847936  0.00113463
         100    -0.84336    -0.84789  0.00112421
