#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      0.2274      0.2274           0
           2     0.36308     0.29524   0.0479701
           3     0.57368    0.388053   0.0822533
           4     0.25176     0.35398   0.0683842
           5     0.36108      0.3554   0.0547221
           6     0.38816     0.36086   0.0458733
           7     0.28688    0.350291   0.0405191
           8     0.22516     0.33465   0.0383546
           9     0.22356    0.322307   0.0360244
          10     0.29984     0.32006    0.032492
          11     0.50204    0.336604    0.033486
          12     0.09072    0.316113   0.0364291
          13      0.3352    0.317582   0.0336564
          14     0.23176    0.311451   0.0318058
          15      0.2384    0.306581   0.0300559
          16     0.23168      0.3019   0.0285397
          17     0.26268    0.299593    0.026954
          18     0.43948    0.307364   0.0265532
          19     0.37744    0.311053   0.0254106
          20     0.19612    0.305306   0.0247813
          21     0.26528      0.3034   0.0236744
          22     0.19468    0.298458   0.0231084
          23     0.30556    0.298767   0.0221057
          24     0.19796    0.294567     0.02158
          25     0.28488    0.294179   0.0207203
          26     0.13624    0.288105   0.0207947
          27      0.2714    0.287486   0.0200338
          28     0.11204     0.28122   0.0202745
          29      0.3218    0.282619   0.0196236
          30      0.4292    0.287505   0.0195683
          31     0.27956    0.287249   0.0189387
          32     0.44836    0.292284   0.0190044
          33     0.21732    0.290012   0.0185637
          34      0.3048    0.290447   0.0180228
          35      0.1668    0.286914   0.0178508
          36     0.35812    0.288892   0.0174642
          37     0.21204    0.286815   0.0171152
          38     0.36424    0.288853   0.0167857
          39      0.0518    0.282774    0.017421
          40     0.15972    0.279698    0.017255
          41       0.301    0.280218    0.016842
          42     0.20016    0.278311   0.0165485
          43     0.25608    0.277794   0.0161717
          44     0.43044    0.281264    0.016172
          45     0.04744    0.276068   0.0166264
          46     0.40708    0.278916   0.0165071
          47     0.41452    0.281801   0.0164061
          48     0.37116    0.283662   0.0161696
          49     0.37748    0.285577   0.0159526
          50     0.40476    0.287961   0.0158106
          51      0.4208    0.290565   0.0157137
          52     0.16088    0.288072   0.0156081
          53     0.21392    0.286672   0.0153762
          54     0.46468    0.289969   0.0154408
          55     0.16244     0.28765   0.0153332
          56     0.27952    0.287505     0.01506
          57       0.283    0.287426    0.014796
          58     0.21432    0.286166   0.0145945
          59       0.362    0.287451   0.0144036
          60     0.25396    0.286893   0.0141744
          61     0.39972    0.288742   0.0140622
          62     0.55576    0.293049   0.0144799
          63     0.40648     0.29485   0.0143615
          64     0.52804    0.298493    0.014592
          65     0.26508    0.297979   0.0143766
          66     0.34508    0.298693   0.0141765
          67     0.27852    0.298392   0.0139681
          68     0.27476    0.298044    0.013767
          69     0.24196    0.297231   0.0135914
          70     0.28952    0.297121   0.0133977
          71     0.13044    0.294774   0.0134131
          72      0.2238    0.293788    0.013263
          73     0.43092    0.295666   0.0132137
          74      0.3838    0.296857   0.0130887
          75      0.4626    0.299067   0.0130994
          76     0.03872    0.295642   0.0133674
          77     0.26912    0.295297   0.0131983
          78     0.31016    0.295488   0.0130304
          79     0.32968    0.295921   0.0128727
          80     0.42876    0.297581   0.0128184
          81     0.41212    0.298995   0.0127379
          82     0.30212    0.299033   0.0125826
          83     0.51284    0.301609    0.012692
          84     0.32968    0.301943   0.0125453
          85     0.17984    0.300507   0.0124797
          86     0.36772    0.301288    0.012359
          87       0.449    0.302986    0.012333
          88     0.25096    0.302395    0.012207
          89     0.21552    0.301419   0.0121089
          90     0.31188    0.301535   0.0119749
          91     0.42956    0.302942   0.0119256
          92       0.469    0.304747   0.0119318
          93     0.39904    0.305761   0.0118465
          94     0.20464    0.304685   0.0117692
          95     0.22356    0.303831   0.0116763
          96     0.36356    0.304453   0.0115712
          97      0.2362     0.30375   0.0114733
          98      0.3924    0.304654   0.0113918
          99      0.2884     0.30449   0.0112779
         100      0.4082    0.305527   0.0112128
