#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.85584    -0.85584           0
           2    -0.84216      -0.849  0.00483661
           3    -0.85408   -0.850693  0.00350833
           4    -0.84968    -0.85044  0.00264038
           5       -0.86   -0.852352   0.0027178
           6    -0.85896   -0.853453  0.00247795
           7    -0.82784   -0.849794   0.0039984
           8    -0.83456    -0.84789  0.00392596
           9    -0.86256    -0.84952  0.00381314
          10     -0.8436   -0.848928  0.00347747
          11    -0.84432   -0.848509  0.00318647
          12    -0.85336   -0.848913  0.00294646
          13    -0.84872   -0.848898  0.00271985
          14    -0.84512   -0.848629  0.00253893
          15     -0.8584    -0.84928  0.00245181
          16    -0.86088   -0.850005  0.00240338
          17    -0.84976   -0.849991  0.00226205
          18    -0.83552   -0.849187  0.00227475
          19    -0.84632   -0.849036  0.00216002
          20    -0.84592    -0.84888  0.00205763
          21    -0.84072   -0.848491    0.001996
          22    -0.85136   -0.848622  0.00190953
          23    -0.83512   -0.848035  0.00191462
          24    -0.83752   -0.847597   0.0018843
          25     -0.8656   -0.848317  0.00194167
          26    -0.86648   -0.849015  0.00198869
          27    -0.82464   -0.848113  0.00211003
          28    -0.85568   -0.848383   0.0020519
          29    -0.83088   -0.847779  0.00206801
          30    -0.84632   -0.847731  0.00199965
          31     -0.8368   -0.847378  0.00196598
          32    -0.84336   -0.847252  0.00190855
          33    -0.85528   -0.847496  0.00186615
          34    -0.83256   -0.847056  0.00186225
          35     -0.8628   -0.847506  0.00186258
          36     -0.8408    -0.84732  0.00182013
          37    -0.86944   -0.847918  0.00186654
          38     -0.8476   -0.847909  0.00181744
          39    -0.84768   -0.847904  0.00177085
          40    -0.85728   -0.848138  0.00174202
          41    -0.84912   -0.848162   0.0016997
          42    -0.85424   -0.848307  0.00166538
          43    -0.84944   -0.848333  0.00162686
          44    -0.85392    -0.84846  0.00159483
          45    -0.84952   -0.848484  0.00155957
          46    -0.83648   -0.848223  0.00154734
          47    -0.83768   -0.847998  0.00153059
          48    -0.84144   -0.847862  0.00150479
          49    -0.85096   -0.847925  0.00147541
          50    -0.85208   -0.848008  0.00144824
          51    -0.84952   -0.848038  0.00142014
          52    -0.84968   -0.848069  0.00139318
          53     -0.8616   -0.848325  0.00139009
          54    -0.84872   -0.848332  0.00136437
          55    -0.85024   -0.848367     0.00134
          56    -0.83968   -0.848211  0.00132502
          57    -0.84448   -0.848146  0.00130339
          58     -0.8484    -0.84815  0.00128093
          59    -0.84912   -0.848167  0.00125932
          60     -0.8536   -0.848257  0.00124158
          61    -0.84016   -0.848125  0.00122831
          62    -0.86144   -0.848339  0.00122713
          63    -0.83424   -0.848116  0.00122789
          64    -0.86592   -0.848394  0.00123982
          65    -0.85856    -0.84855  0.00123057
          66     -0.8468   -0.848524  0.00121221
          67    -0.85744   -0.848657   0.0012014
          68    -0.86888   -0.848954  0.00121999
          69    -0.84888   -0.848953   0.0012023
          70    -0.85664   -0.849063  0.00119013
          71     -0.8548   -0.849144  0.00117611
          72    -0.85352   -0.849204  0.00116135
          73    -0.84928   -0.849205  0.00114544
          74    -0.83416   -0.849002  0.00114786
          75    -0.86032   -0.849153  0.00114243
          76      -0.854   -0.849217  0.00112918
          77    -0.84672   -0.849184  0.00111498
          78    -0.85664    -0.84928  0.00110477
          79    -0.84768    -0.84926  0.00109098
          80    -0.85048   -0.849275  0.00107745
          81    -0.84112   -0.849174  0.00106884
          82    -0.85872   -0.849291  0.00106212
          83    -0.85104   -0.849312  0.00104954
          84    -0.83784   -0.849175  0.00104589
          85    -0.85216    -0.84921  0.00103417
          86    -0.84608   -0.849174  0.00102279
          87    -0.85288   -0.849217  0.00101192
          88    -0.86144   -0.849355  0.00100991
          89    -0.85472   -0.849416  0.00100036
          90    -0.85312   -0.849457 0.000990089
          91    -0.84304   -0.849386 0.000981717
          92     -0.8552    -0.84945 0.000973078
          93    -0.83776   -0.849324 0.000970699
          94    -0.84864   -0.849317   0.0009604
          95    -0.84432   -0.849264 0.000951729
          96    -0.84864   -0.849257 0.000941838
          97    -0.84136   -0.849176  0.00093564
          98    -0.85064   -0.849191 0.000926212
          99    -0.85888   -0.849289 0.000922013
         100    -0.83928   -0.849189 0.000918209
