#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     13.3622     13.3622           0
           2     10.5748     11.9685    0.985495
           3     17.5696     13.8355     1.65998
           4     16.0494      14.389     1.33406
           5     15.6009     14.6314     1.08905
           6     20.6199     15.6295     1.28599
           7     13.6153     15.3417     1.13401
           8     10.6613     14.7567     1.13317
           9     17.7034     15.0841      1.0535
          10     16.3891     15.2146    0.956203
          11     12.1292     14.9341    0.909485
          12     18.8762     15.2626     0.89105
          13     14.6806     15.2178    0.823632
          14      12.506     15.0241    0.787249
          15     18.1761     15.2343    0.762294
          16     20.6549     15.5731     0.78634
          17     15.0456      15.542    0.740696
          18     12.5171      15.374    0.718358
          19     14.9226     15.3502    0.680942
          20     14.9998     15.3327     0.64712
          21     11.7602     15.1626    0.638275
          22     16.2709      15.213    0.611247
          23     12.3942     15.0904    0.596831
          24     14.5352     15.0673    0.572411
          25      18.182     15.1919     0.56291
          26      18.136     15.3051    0.552532
          27      12.028     15.1837    0.545236
          28     18.7777     15.3121     0.54066
          29      12.328     15.2092    0.531719
          30     13.6413     15.1569    0.516557
          31     14.1422     15.1242     0.50093
          32     11.5795     15.0134    0.497372
          33     17.9702      15.103    0.490305
          34     11.8155     15.0063    0.485324
          35      15.327     15.0155    0.471544
          36     11.0088     14.9042    0.471398
          37     23.1526     15.1271    0.508646
          38     14.7211     15.1164    0.495373
          39      17.547     15.1788    0.486576
          40     18.2866     15.2564    0.480574
          41       12.61     15.1919    0.473168
          42     14.2191     15.1687    0.462469
          43     20.4313     15.2911    0.467627
          44     17.2824     15.3364    0.459184
          45     12.8358     15.2808     0.45233
          46     16.7677     15.3131     0.44365
          47     12.6871     15.2573    0.437715
          48     12.7216     15.2044    0.431771
          49     12.7284     15.1539    0.425906
          50     20.8784     15.2684    0.432503
          51     14.2194     15.2478    0.424511
          52     14.2097     15.2279    0.416817
          53     16.8235      15.258    0.410038
          54      9.8481     15.1578    0.414503
          55     16.6707     15.1853    0.407878
          56     15.7138     15.1947    0.400704
          57     14.2733     15.1786       0.394
          58      18.786     15.2408    0.392085
          59     15.0523     15.2376    0.385453
          60       19.14     15.3026    0.384477
          61     10.4955     15.2238    0.386166
          62     17.2676     15.2568    0.381342
          63     12.3332     15.2104    0.378102
          64      21.801     15.3133    0.385962
          65     16.4258     15.3305    0.380404
          66     15.1429     15.3276    0.374651
          67     15.6081     15.3318    0.369082
          68     24.9215     15.4728    0.389667
          69     13.7794     15.4483    0.384792
          70     15.4399     15.4482    0.379295
          71     16.3226     15.4605    0.374152
          72     15.8833     15.4664    0.369002
          73     11.4423     15.4112    0.368041
          74     16.0331     15.4196    0.363164
          75     20.4185     15.4863    0.364387
          76     16.8856     15.5047    0.360057
          77     12.3471     15.4637    0.357709
          78     12.4326     15.4248    0.355227
          79     12.4887     15.3877    0.352669
          80     18.8587      15.431     0.35092
          81     14.3561     15.4178    0.346838
          82     17.1124     15.4384    0.343224
          83     18.7932     15.4789     0.34146
          84      12.885      15.448    0.338789
          85     15.1431     15.4444    0.334822
          86     16.6046     15.4579      0.3312
          87     16.2376     15.4669    0.327514
          88     19.9448     15.5177    0.327722
          89     18.1533     15.5473    0.325375
          90      15.343     15.5451    0.321767
          91      16.133     15.5515    0.318296
          92     19.6067     15.5956    0.317874
          93     15.0249     15.5895    0.314515
          94     15.6586     15.5902     0.31117
          95     15.7478     15.5919    0.307899
          96     14.8345      15.584    0.304793
          97     13.0934     15.5583     0.30273
          98     13.9507     15.5419    0.300085
          99     17.4646     15.5613    0.297682
         100     13.4502     15.5402    0.295453
