#   N_BLOCK:  ACCEPTANCE:
           1    0.149495
           2     0.15027
           3    0.149905
           4    0.150321
           5    0.149669
           6    0.149202
           7    0.150436
           8    0.151063
           9    0.150509
          10    0.150862
          11    0.151122
          12    0.150935
          13    0.151022
          14    0.151118
          15    0.150752
          16    0.150286
          17     0.15033
          18    0.150768
          19    0.151009
          20    0.151208
          21     0.15147
          22    0.151432
          23    0.151816
          24    0.152093
          25    0.151557
          26    0.151041
          27    0.151691
          28    0.151467
          29    0.151904
          30    0.151922
          31    0.152167
          32    0.152262
          33    0.152137
          34    0.152502
          35    0.152209
          36    0.152382
          37    0.152002
          38    0.151968
          39    0.151946
          40    0.151744
          41    0.151793
          42     0.15165
          43    0.151568
          44    0.151521
          45    0.151563
          46    0.151767
          47    0.151929
          48     0.15204
          49    0.152056
          50    0.151938
          51    0.151928
          52    0.151904
          53    0.151701
          54    0.151707
          55    0.151694
          56    0.151831
          57    0.151886
          58    0.151845
          59    0.151857
          60    0.151757
          61    0.151926
          62    0.151764
          63    0.151952
          64    0.151727
          65    0.151605
          66    0.151612
          67    0.151465
          68    0.151186
          69    0.151147
          70    0.151053
          71    0.150973
          72    0.150932
          73    0.150917
          74    0.151079
          75    0.150932
          76    0.150849
          77    0.150889
          78    0.150785
          79    0.150818
          80    0.150785
          81    0.150865
          82    0.150768
          83     0.15075
          84    0.150867
          85    0.150802
          86    0.150833
          87    0.150786
          88    0.150661
          89    0.150619
          90     0.15062
          91    0.150659
          92    0.150631
          93    0.150754
          94    0.150758
          95    0.150802
          96    0.150803
          97    0.150877
          98    0.150849
          99    0.150772
         100    0.150881
