#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      3.8512      3.8512           0
           2     3.43705     3.64412    0.146425
           3     2.60111     3.29645    0.300188
           4     3.28098     3.29258    0.225166
           5     4.17058     3.46818     0.23899
           6     3.52098     3.47698     0.19932
           7     3.51182     3.48196    0.170908
           8     4.10978     3.56044    0.166591
           9     3.88345     3.59633    0.151897
          10     3.42677     3.57937    0.137651
          11     3.68302     3.58879    0.125459
          12     3.67926     3.59633    0.115231
          13     3.40862     3.58189    0.107268
          14     3.69797     3.59018   0.0999255
          15     3.80831     3.60473   0.0943159
          16     5.04849     3.69496    0.124305
          17     2.72535     3.63793    0.129419
          18     4.19852     3.66907     0.12592
          19     3.84898     3.67854    0.119648
          20     3.27391     3.65831    0.115364
          21     3.16098     3.63463    0.112275
          22     4.25212     3.66269    0.110624
          23     3.72511     3.66541    0.105848
          24     3.69452     3.66662    0.101444
          25       3.996      3.6798   0.0982384
          26     4.01545     3.69271   0.0953044
          27     3.97748     3.70325   0.0923564
          28      3.3224     3.68965    0.090054
          29     2.82412      3.6598   0.0917613
          30     4.10105     3.67451   0.0898736
          31     2.89582     3.64939   0.0904167
          32     3.54991     3.64628   0.0876446
          33     3.93311     3.65498   0.0854186
          34     4.24782     3.67241   0.0846672
          35     3.86868     3.67802   0.0824336
          36     3.87169      3.6834   0.0803192
          37     3.50671     3.67862   0.0782902
          38     3.22529     3.66669   0.0771335
          39     3.41557     3.66026    0.075424
          40     3.23932     3.64973   0.0742689
          41     4.76622     3.67696   0.0772887
          42     3.67372     3.67689   0.0754485
          43     2.86443     3.65799   0.0760229
          44     3.25908     3.64893   0.0748338
          45     3.60677     3.64799   0.0731767
          46     3.30529     3.64054   0.0719641
          47     3.55428      3.6387   0.0704564
          48     3.90025     3.64415   0.0691989
          49     4.92437     3.67028   0.0725515
          50     2.70382     3.65095   0.0736303
          51     4.03218     3.65843    0.072565
          52     3.48948     3.65518   0.0712422
          53     2.78012     3.63867   0.0717857
          54     3.24529     3.63138    0.070825
          55     3.89465     3.63617   0.0696988
          56     3.91385     3.64113   0.0686304
          57     3.36634     3.63631   0.0675954
          58     3.43545     3.63284   0.0665186
          59     3.72972     3.63448   0.0654115
          60     3.88185     3.63861   0.0644511
          61     3.13071     3.63028   0.0639301
          62     3.45822     3.62751   0.0629591
          63     3.24948     3.62151   0.0622451
          64     3.35865      3.6174   0.0614078
          65     3.50825     3.61572   0.0604861
          66     4.56985     3.63018   0.0612728
          67     3.06209      3.6217   0.0609421
          68     3.43434     3.61894   0.0601082
          69     3.65495     3.61946   0.0592393
          70     3.72295     3.62094   0.0584115
          71     4.33034     3.63093   0.0584371
          72      3.7152      3.6321   0.0576372
          73     4.28726     3.64108   0.0575421
          74     2.58474      3.6268   0.0585084
          75     2.87194     3.61674   0.0585876
          76     3.46677     3.61477   0.0578499
          77     4.05022     3.62042   0.0573744
          78     3.19477     3.61496   0.0568977
          79     3.80098     3.61732   0.0562262
          80     3.74412      3.6189   0.0555457
          81     3.87643     3.62208   0.0549509
          82     3.42498     3.61968   0.0543333
          83     3.95994     3.62378   0.0538331
          84     3.92505     3.62736   0.0533116
          85     3.92111     3.63082   0.0527963
          86     3.41354     3.62829   0.0522428
          87     3.97643      3.6323   0.0517953
          88     3.95446     3.63596   0.0513359
          89     3.10972     3.63004   0.0510985
          90     2.87397     3.62164   0.0512166
          91     3.95588     3.62532   0.0507854
          92     3.74295     3.62659   0.0502494
          93     3.64129     3.62675   0.0497094
          94     3.76825     3.62826   0.0492033
          95     3.99249     3.63209   0.0488345
          96     2.77311     3.62314   0.0491387
          97     3.81606     3.62513   0.0486724
          98     3.44738     3.62332   0.0482095
          99      3.3448     3.62051   0.0478046
         100     3.54375     3.61974   0.0473327
