#   N_BLOCK:  ACCEPTANCE:
           1    0.106905
           2    0.106437
           3    0.106138
           4    0.105957
           5     0.10452
           6      0.1055
           7    0.106155
           8    0.106158
           9    0.106931
          10    0.106448
          11    0.106618
          12    0.106405
          13    0.106658
          14    0.105827
          15    0.105392
          16    0.104921
          17    0.104964
          18    0.104671
          19    0.104649
          20    0.104977
          21    0.104827
          22    0.104494
          23    0.104923
          24    0.105196
          25    0.105073
          26      0.1051
          27    0.105392
          28    0.105522
          29    0.106138
          30    0.106561
          31    0.107096
          32    0.107106
          33    0.106893
          34     0.10714
          35     0.10673
          36    0.106855
          37    0.106989
          38    0.106992
          39    0.107242
          40    0.107234
          41    0.107403
          42    0.107607
          43     0.10762
          44     0.10744
          45    0.107402
          46    0.107699
          47    0.107619
          48     0.10806
          49    0.108255
          50     0.10807
          51    0.108124
          52     0.10826
          53    0.108319
          54    0.108366
          55    0.108443
          56    0.108703
          57    0.108859
          58    0.108819
          59    0.109107
          60    0.109151
          61    0.109201
          62    0.109629
          63    0.109655
          64    0.109424
          65    0.109385
          66    0.109648
          67    0.109448
          68    0.109362
          69    0.109305
          70    0.109281
          71    0.109202
          72    0.109233
          73    0.108969
          74    0.109006
          75    0.109029
          76    0.108887
          77    0.108772
          78    0.108755
          79      0.1089
          80    0.108893
          81    0.108912
          82    0.108632
          83    0.108616
          84    0.108549
          85    0.108338
          86    0.108491
          87    0.108464
          88    0.108429
          89     0.10842
          90     0.10845
          91     0.10855
          92    0.108716
          93    0.108814
          94    0.108785
          95    0.108671
          96     0.10879
          97    0.108832
          98    0.108838
          99      0.1088
         100    0.108772
