#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.402111    0.402111           0
           2    0.622541    0.512326   0.0779339
           3    0.360248    0.461633   0.0664273
           4    0.302214    0.421779   0.0606084
           5    0.356223    0.408668   0.0498847
           6    0.353663      0.3995   0.0424046
           7    0.436978    0.404854   0.0366832
           8    0.454041    0.411002    0.032609
           9    0.309689    0.399745   0.0308677
          10    0.240341    0.383805   0.0316302
          11    0.365781    0.382166   0.0287971
          12    0.373916    0.381479   0.0264056
          13     0.44363     0.38626   0.0248034
          14    0.459356    0.391481   0.0235748
          15    0.509581    0.399354   0.0232808
          16    0.481421    0.404484   0.0223837
          17     0.29797    0.398218   0.0219264
          18    0.339085    0.394933   0.0209529
          19    0.415992    0.396041   0.0198794
          20    0.422272    0.397353   0.0189286
          21    0.338666    0.394558   0.0182324
          22    0.439506    0.396601   0.0175178
          23    0.399708    0.396736   0.0167566
          24    0.371725    0.395694   0.0160908
          25    0.271139    0.390712   0.0162002
          26    0.316715    0.387866   0.0158251
          27     0.37447     0.38737   0.0152468
          28    0.378023    0.387036   0.0147059
          29    0.458734    0.389508   0.0144051
          30    0.461052    0.391893    0.014121
          31    0.488063    0.394995   0.0140021
          32    0.474908    0.397493   0.0137854
          33    0.341461    0.395795   0.0134718
          34    0.399417    0.395901    0.013076
          35    0.309319    0.393427   0.0129343
          36    0.294221    0.390672   0.0128652
          37    0.336867    0.389218   0.0125994
          38    0.403826    0.389602   0.0122737
          39    0.348075    0.388537   0.0120051
          40    0.330226    0.387079   0.0117932
          41    0.390748    0.387169   0.0115059
          42    0.404519    0.387582   0.0112393
          43    0.536263     0.39104   0.0114975
          44    0.441852    0.392194   0.0112941
          45    0.486285    0.394285    0.011235
          46    0.477133    0.396086   0.0111342
          47    0.437937    0.396977   0.0109328
          48    0.535679    0.399867   0.0110803
          49    0.529888     0.40252   0.0111674
          50     0.56405    0.405751   0.0114018
          51    0.393592    0.405512   0.0111807
          52    0.356244    0.404565   0.0110058
          53    0.286421    0.402336   0.0110215
          54    0.410872    0.402494   0.0108186
          55    0.495488    0.404185   0.0107532
          56     0.52263      0.4063   0.0107672
          57    0.447328    0.407019   0.0106023
          58    0.567316    0.409783   0.0107737
          59    0.426204    0.410061   0.0105947
          60    0.472334    0.411099   0.0104688
          61    0.345756    0.410028   0.0103519
          62    0.352868    0.409106   0.0102259
          63    0.399445    0.408953   0.0100647
          64    0.344999    0.407954  0.00995693
          65    0.224532    0.405132   0.0101958
          66    0.307044    0.403646    0.010149
          67    0.357133    0.402951   0.0100213
          68     0.42725    0.403309  0.00988027
          69    0.419908    0.403549  0.00974001
          70    0.458578    0.404335  0.00963254
          71    0.384867    0.404061  0.00950077
          72    0.421941    0.404309  0.00937206
          73    0.427661    0.404629  0.00924913
          74    0.474467    0.405573  0.00917216
          75    0.407452    0.405598   0.0090499
          76    0.468621    0.406427  0.00896874
          77    0.374684    0.406015  0.00886173
          78    0.353236    0.405338  0.00877391
          79    0.327423    0.404352  0.00871811
          80    0.333311    0.403464  0.00865424
          81    0.371128    0.403065   0.0085566
          82    0.372679    0.402694  0.00846027
          83     0.43825    0.403123  0.00836918
          84    0.352708    0.402523  0.00829104
          85    0.448383    0.403062  0.00821103
          86    0.341503    0.402346   0.0081467
          87    0.449137    0.402884  0.00807079
          88    0.475533     0.40371  0.00802119
          89    0.353706    0.403148  0.00795071
          90     0.36081    0.402677  0.00787628
          91    0.389297     0.40253   0.0077911
          92    0.452195     0.40307  0.00772509
          93    0.462759    0.403712  0.00766864
          94    0.517689    0.404925  0.00768232
          95     0.57767    0.406743  0.00781369
          96     0.47847     0.40749  0.00776794
          97    0.529294    0.408746  0.00778869
          98    0.473201    0.409404  0.00773693
          99    0.293432    0.408232  0.00774696
         100    0.373774    0.407888  0.00767715
