#   N_BLOCK:  ACCEPTANCE:
           1   0.0625255
           2     0.06335
           3   0.0642092
           4     0.06262
           5    0.062168
           6   0.0626875
           7   0.0638424
           8   0.0637611
           9   0.0627747
          10    0.060802
          11    0.060399
          12   0.0601618
          13   0.0608461
          14   0.0602217
          15   0.0607456
          16   0.0606054
          17   0.0598933
          18   0.0592336
          19   0.0592828
          20   0.0594613
          21   0.0594658
          22   0.0597413
          23   0.0605406
          24   0.0612288
          25   0.0619097
          26   0.0619333
          27   0.0619957
          28   0.0616211
          29   0.0618821
          30   0.0616555
          31   0.0619444
          32   0.0623833
          33   0.0621916
          34   0.0620791
          35   0.0615947
          36   0.0619722
          37   0.0623604
          38   0.0623613
          39   0.0630371
          40   0.0635488
          41   0.0637725
          42   0.0639792
          43   0.0641834
          44   0.0643752
          45   0.0643993
          46   0.0648389
          47   0.0649277
          48    0.064819
          49   0.0649064
          50   0.0650813
          51   0.0653987
          52   0.0655535
          53   0.0658632
          54   0.0659413
          55    0.066196
          56   0.0663039
          57   0.0662104
          58   0.0662518
          59   0.0665194
          60    0.066618
          61    0.066807
          62   0.0669733
          63   0.0672181
          64   0.0672611
          65   0.0675067
          66   0.0677174
          67   0.0675449
          68    0.067489
          69   0.0672256
          70   0.0669965
          71    0.067122
          72   0.0671339
          73   0.0671795
          74   0.0672079
          75   0.0671581
          76   0.0669847
          77   0.0670864
          78   0.0668698
          79     0.06688
          80   0.0668396
          81   0.0667119
          82   0.0667222
          83   0.0669041
          84   0.0667881
          85   0.0668038
          86   0.0669919
          87   0.0670579
          88   0.0668292
          89   0.0667584
          90    0.066711
          91   0.0669002
          92   0.0669747
          93     0.06678
          94   0.0666181
          95   0.0665625
          96     0.06646
          97   0.0665036
          98   0.0665098
          99   0.0665686
         100   0.0665016
