#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     6.49272     6.49272           0
           2     9.37616     7.93444     1.01945
           3     7.08144     7.65011    0.718191
           4      7.4664     7.60418     0.54011
           5      7.3816     7.55966    0.433918
           6     7.32152     7.51997    0.363409
           7       7.038     7.45112     0.31795
           8     6.35808     7.31449    0.306158
           9     8.80448     7.48004    0.313725
          10      6.9204     7.42408    0.287301
          11     8.95168     7.56295    0.292829
          12     5.68776     7.40669    0.307306
          13     7.68552     7.42814    0.284414
          14       6.804     7.38355     0.26757
          15      8.9588     7.48857    0.269554
          16      5.9896     7.39489    0.268494
          17     9.13184     7.49706    0.271446
          18      7.4604     7.49502    0.256373
          19     7.15352     7.47705    0.243509
          20     7.87208      7.4968    0.232134
          21     8.78608     7.55819    0.229054
          22     6.39616     7.50537     0.22465
          23     5.44704     7.41588    0.232025
          24     6.76768     7.38887    0.223923
          25      6.3664     7.34797     0.21867
          26     7.71448     7.36207    0.210713
          27     6.81096     7.34166    0.203895
          28     9.53912     7.42014    0.211178
          29     7.07488     7.40823    0.204231
          30      6.2612        7.37     0.20097
          31     7.02528     7.35888    0.194795
          32     6.93112     7.34551    0.189166
          33      8.6436     7.38485    0.187479
          34     7.01408     7.37394    0.182281
          35      8.0604     7.39356    0.178125
          36     6.82368     7.37773    0.173879
          37     8.00832     7.39477    0.170013
          38      7.8772     7.40747    0.166013
          39     5.31904     7.35392    0.170173
          40     8.98528      7.3947    0.170736
          41      9.0688     7.43553    0.171385
          42     6.90864     7.42299    0.167763
          43     6.91552     7.41119    0.164276
          44     8.51584     7.43629    0.162449
          45     5.90136     7.40218    0.162381
          46     8.60232     7.42827    0.160933
          47     7.33288     7.42624    0.157522
          48     7.40576     7.42581    0.154241
          49     7.81696      7.4338    0.151299
          50      7.4392     7.43391    0.148274
          51      7.9008     7.44306    0.145649
          52     7.52856      7.4447    0.142857
          53     10.6465     7.50512      0.1524
          54     7.45464     7.50418    0.149581
          55     5.85904     7.47427    0.149822
          56     8.95592     7.50073    0.149465
          57     7.23464     7.49606    0.146915
          58     8.33552     7.51053    0.145094
          59     8.94608     7.53486     0.14466
          60      7.4724     7.53382    0.142253
          61     8.19904     7.54473    0.140338
          62     8.37968     7.55819    0.138719
          63     7.75216     7.56127    0.136552
          64      9.7248     7.59508    0.138539
          65     6.65456     7.58061    0.137161
          66     8.39624     7.59297    0.135639
          67     7.26352     7.58805    0.133703
          68     8.89096     7.60721    0.133103
          69     6.48952     7.59101    0.132156
          70      7.2136     7.58562    0.130378
          71      8.5164     7.59873    0.129199
          72     8.44248     7.61045    0.127935
          73     6.45224     7.59458    0.127162
          74     6.86408     7.58471    0.125827
          75     5.22336     7.55323    0.128027
          76     10.1478     7.58737    0.130815
          77     8.08072     7.59377    0.129273
          78     7.59408     7.59378    0.127616
          79      7.0204     7.58652    0.126207
          80     6.28328     7.57023    0.125676
          81     6.94248     7.56248    0.124363
          82     6.93784     7.55486     0.12308
          83      7.2936     7.55171    0.121637
          84     8.52248     7.56327    0.120737
          85     7.64024     7.56418     0.11932
          86     7.00016     7.55762    0.118112
          87     6.59096     7.54651    0.117276
          88     5.89296     7.52772    0.117439
          89      10.895     7.56555    0.122062
          90      7.9972     7.57035      0.1208
          91     6.50248     7.55861    0.120041
          92     7.22584     7.55499    0.118791
          93     6.62272     7.54497    0.117936
          94     7.89176     7.54866    0.116739
          95     6.45576     7.53716    0.116076
          96     6.78528     7.52932     0.11513
          97     9.02416     7.54473     0.11497
          98      6.4168     7.53322    0.114372
          99     9.28824     7.55095    0.114582
         100     8.72584      7.5627    0.114037
