#   N_BLOCK:  ACCEPTANCE:
           1    0.239102
           2     0.23871
           3     0.23896
           4    0.239723
           5    0.239501
           6     0.23877
           7     0.23834
           8    0.238293
           9    0.237962
          10    0.238553
          11    0.238026
          12    0.238122
          13    0.238453
          14    0.238127
          15    0.237573
          16    0.237573
          17     0.23691
          18    0.236991
          19    0.237052
          20     0.23725
          21     0.23757
          22    0.237449
          23    0.237721
          24    0.237932
          25     0.23777
          26    0.237771
          27    0.237826
          28    0.237661
          29    0.238018
          30    0.238328
          31    0.238461
          32    0.238414
          33    0.238461
          34      0.2383
          35    0.238113
          36     0.23819
          37    0.238106
          38    0.238166
          39     0.23838
          40      0.2381
          41    0.237889
          42    0.237895
          43    0.238031
          44    0.237908
          45    0.237946
          46    0.237707
          47    0.237711
          48    0.237992
          49    0.238099
          50    0.238116
          51    0.238234
          52    0.238152
          53     0.23799
          54    0.237913
          55    0.238121
          56    0.238098
          57    0.238135
          58    0.238045
          59     0.23804
          60    0.237985
          61    0.238085
          62    0.238014
          63    0.238002
          64    0.237975
          65     0.23809
          66    0.238101
          67    0.237987
          68    0.237976
          69    0.237901
          70    0.237995
          71     0.23782
          72    0.237779
          73    0.237853
          74    0.237892
          75    0.238007
          76    0.237993
          77    0.238051
          78    0.238042
          79     0.23804
          80    0.237988
          81     0.23797
          82    0.237935
          83     0.23793
          84    0.237893
          85    0.237887
          86    0.237902
          87    0.237895
          88    0.237854
          89    0.237655
          90    0.237599
          91      0.2376
          92    0.237574
          93    0.237638
          94    0.237585
          95    0.237625
          96    0.237682
          97    0.237691
          98    0.237784
          99    0.237778
         100    0.237742
