#   N_BLOCK:  ACCEPTANCE:
           1    0.538764
           2      0.5385
           3    0.538562
           4    0.538459
           5    0.537875
           6    0.537305
           7    0.537446
           8    0.537338
           9    0.537203
          10    0.537108
          11     0.53685
          12    0.536464
          13    0.536717
          14    0.537016
          15    0.536659
          16    0.536887
          17    0.536679
          18    0.536867
          19    0.536745
          20    0.536864
          21    0.537188
          22    0.537446
          23    0.537495
          24    0.537579
          25    0.537536
          26    0.537628
          27    0.537777
          28    0.537639
          29    0.537728
          30    0.537906
          31    0.537981
          32    0.538057
          33    0.538087
          34    0.538147
          35    0.538175
          36    0.538059
          37    0.538129
          38    0.538232
          39    0.538351
          40    0.538248
          41    0.538087
          42    0.538114
          43    0.538128
          44    0.538111
          45    0.538249
          46    0.538213
          47    0.538188
          48    0.538161
          49    0.538082
          50    0.538079
          51    0.538133
          52    0.538027
          53    0.538037
          54    0.538046
          55    0.538061
          56     0.53798
          57    0.538039
          58      0.5381
          59    0.537962
          60    0.538038
          61    0.537985
          62    0.538024
          63    0.538117
          64    0.538123
          65    0.538274
          66    0.538297
          67    0.538272
          68    0.538206
          69    0.538139
          70    0.538049
          71    0.537978
          72    0.537962
          73    0.537912
          74    0.537977
          75    0.537988
          76    0.537952
          77    0.537879
          78    0.537906
          79    0.537888
          80    0.537825
          81    0.537885
          82     0.53794
          83    0.537972
          84    0.537957
          85    0.537984
          86    0.538013
          87    0.538009
          88    0.537985
          89    0.537996
          90    0.538023
          91    0.537997
          92    0.538019
          93    0.537991
          94    0.538057
          95    0.538079
          96    0.538054
          97    0.538087
          98     0.53814
          99    0.538091
         100    0.538074
