#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.44196     1.44196           0
           2     1.32484      1.3834   0.0414082
           3     1.26552     1.34411   0.0423246
           4     1.37004     1.35059   0.0322362
           5     1.33524     1.34752   0.0259347
           6     1.37852     1.35269   0.0221209
           7     1.35176     1.35255   0.0189612
           8      1.3434     1.35141   0.0166255
           9     1.62848      1.3822   0.0325706
          10       1.297     1.37368   0.0304073
          11     1.52296     1.38725   0.0305217
          12      1.4726     1.39436   0.0287951
          13     1.43648      1.3976   0.0267617
          14     1.29888     1.39055   0.0257624
          15      1.4366     1.39362   0.0242272
          16     1.20088     1.38157   0.0255327
          17     1.28324     1.37579   0.0246773
          18     1.31424     1.37237    0.023542
          19     1.56824     1.38268   0.0244562
          20     1.31184     1.37914   0.0234884
          21     1.27488     1.37417   0.0228886
          22     1.41552     1.37605   0.0219252
          23     1.48732     1.38089   0.0214991
          24      1.2384     1.37495   0.0214073
          25     1.10688     1.36423   0.0230809
          26     1.34748     1.36358   0.0222021
          27     1.27052     1.36014   0.0216457
          28     1.31132     1.35839   0.0209428
          29     1.35424     1.35825   0.0202211
          30     1.21352     1.35343   0.0201143
          31      1.4168     1.35547   0.0195691
          32     1.21532     1.35109   0.0194415
          33     1.27036     1.34864   0.0190056
          34     1.48968     1.35279   0.0188939
          35     1.21488     1.34885   0.0187605
          36      1.3728     1.34952   0.0182511
          37     1.45424     1.35235    0.017976
          38      1.2202     1.34887   0.0178361
          39      1.2932     1.34744   0.0174358
          40      1.5102     1.35151   0.0174683
          41      1.2564     1.34919   0.0171955
          42      1.3386     1.34894    0.016788
          43     1.29172     1.34761   0.0164502
          44     1.43404     1.34957   0.0161932
          45     1.22296     1.34676   0.0160759
          46      1.3056     1.34587   0.0157513
          47      1.3536     1.34603   0.0154171
          48     1.47284     1.34867   0.0153206
          49       1.375     1.34921   0.0150173
          50      1.3608     1.34944   0.0147188
          51     1.37344     1.34991   0.0144377
          52     1.31812      1.3493    0.014173
          53     1.37552     1.34979   0.0139142
          54      1.3022     1.34891   0.0136844
          55     1.39052     1.34967   0.0134565
          56     1.41904     1.35091   0.0132731
          57     1.28388     1.34973   0.0130922
          58     1.37672      1.3502   0.0128748
          59     1.27088     1.34885   0.0127265
          60     1.34468     1.34878   0.0125146
          61     1.46372     1.35067   0.0124505
          62     1.41136     1.35165   0.0122881
          63     1.44112     1.35307   0.0121748
          64     1.36788      1.3533   0.0119868
          65     1.16972     1.35047   0.0121306
          66     1.34804     1.35044   0.0119468
          67     1.36332     1.35063   0.0117701
          68     1.30004     1.34989   0.0116205
          69     1.39376     1.35052   0.0114694
          70     1.53948     1.35322   0.0116189
          71     1.35844     1.35329   0.0114555
          72     1.20384     1.35122   0.0114829
          73     1.45844     1.35269   0.0114192
          74     1.36924     1.35291    0.011267
          75      1.2796     1.35193   0.0111591
          76       1.382     1.35233   0.0110193
          77      1.2866     1.35148   0.0109092
          78      1.3458      1.3514   0.0107696
          79     1.33312     1.35117   0.0106358
          80     1.38968     1.35165   0.0105137
          81     1.54456     1.35403   0.0106502
          82     1.35676     1.35407   0.0105204
          83      1.4504     1.35523   0.0104575
          84     1.33448     1.35498   0.0103359
          85      1.3664     1.35512   0.0102152
          86     1.23256     1.35369   0.0101953
          87      1.4138     1.35438   0.0101015
          88      1.4754     1.35576   0.0100799
          89      1.1046     1.35293   0.0103541
          90     1.41884     1.35367   0.0102649
          91     1.21832     1.35218   0.0102593
          92     1.30964     1.35172   0.0101582
          93      1.2908     1.35106   0.0100701
          94     1.25112        1.35   0.0100189
          95     1.35028        1.35  0.00991347
          96     1.51668     1.35174  0.00996108
          97     1.23928     1.35058  0.00992563
          98     1.31012     1.35017  0.00983293
          99     1.33264     1.34999   0.0097352
         100     1.44944     1.35098  0.00968851
