#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      0.8704      0.8704           0
           2     0.97136     0.92088   0.0356948
           3     0.77588    0.872547   0.0460834
           4       0.679     0.82416   0.0543187
           5     0.96856     0.85304   0.0505527
           6     0.75304    0.836373   0.0447905
           7      0.9112    0.847063   0.0396469
           8     0.28904     0.77731   0.0738969
           9     0.58724    0.756191   0.0686376
          10     0.29512    0.710084    0.075692
          11      0.5198    0.692785     0.07076
          12     0.19564    0.651357   0.0760301
          13     0.67072    0.652846   0.0701962
          14     0.77788    0.661777   0.0657479
          15     0.85396    0.674589   0.0626006
          16     0.81348     0.68327   0.0592868
          17     0.90004    0.696021   0.0571542
          18      0.7282    0.697809   0.0540069
          19     0.76436    0.701312   0.0512779
          20     0.91364    0.711928   0.0498009
          21     0.95704      0.7236    0.048778
          22     0.89776    0.731516   0.0471989
          23     0.46052    0.719734   0.0465942
          24     0.74192    0.720658   0.0446619
          25     0.66952    0.718613   0.0429223
          26      0.7654    0.720412   0.0413091
          27     0.70904    0.719991   0.0397813
          28      0.6574    0.717756   0.0384233
          29      0.7536    0.718992   0.0371182
          30      0.9048    0.725185    0.036394
          31     0.91896    0.731436   0.0357528
          32     0.96596    0.738765   0.0353787
          33     0.85472    0.742279   0.0344807
          34     0.61592    0.738562   0.0336662
          35     0.88376    0.742711   0.0329589
          36     0.86932    0.746228   0.0322305
          37     0.90892    0.750625   0.0316579
          38     0.96184    0.756183    0.031309
          39     0.66316    0.753798   0.0305969
          40     0.95504    0.758829   0.0302428
          41     0.68728    0.757084   0.0295554
          42       0.655    0.754653   0.0289515
          43     0.81328    0.756017   0.0283103
          44     0.80884    0.757217   0.0276923
          45     0.98544    0.762289   0.0275374
          46     0.89604    0.765197   0.0270919
          47     0.85196    0.767043   0.0265783
          48    -0.19224    0.747057   0.0326858
          49    -0.39056    0.723841   0.0394108
          50      0.7284    0.723932   0.0386227
          51     0.62288    0.721951   0.0379162
          52     0.93224    0.725995   0.0374021
          53     0.93792    0.729993   0.0369095
          54     0.74876    0.730341   0.0362276
          55     0.90356     0.73349   0.0357056
          56     0.89964    0.736457    0.035191
          57     0.62756    0.734547   0.0346255
          58     0.46568    0.729911   0.0343374
          59     0.64272    0.728433   0.0337872
          60     0.78028    0.729297   0.0332351
          61     0.68604    0.728588   0.0326978
          62     0.95024    0.732163   0.0323653
          63     0.78312    0.732972   0.0318617
          64      0.3496    0.726982   0.0319219
          65     0.67184    0.726134   0.0314421
          66      0.1556    0.717489   0.0321321
          67     0.49304    0.714139   0.0318266
          68      0.7352    0.714449   0.0313601
          69      0.8984    0.717115   0.0310187
          70     0.81636    0.718533    0.030608
          71     0.88104    0.720821   0.0302623
          72      0.7848     0.72171   0.0298551
          73     0.33572    0.716422   0.0299107
          74     0.77316    0.717189   0.0295163
          75    -0.19556    0.705019    0.031532
          76     0.82196    0.706558   0.0311546
          77      0.8444    0.708348   0.0308014
          78     0.83092    0.709919   0.0304466
          79       0.843    0.711604   0.0301078
          80     0.82152    0.712978   0.0297627
          81     0.70036    0.712822   0.0293957
          82      0.8776    0.714832   0.0291058
          83     0.62752     0.71378   0.0287742
          84     0.67492    0.713317   0.0284353
          85     0.91216    0.715656   0.0281969
          86      0.6792    0.715233   0.0278722
          87      0.7486    0.715616   0.0275544
          88     0.21716    0.709952   0.0278174
          89        0.91      0.7122   0.0275955
          90     0.73768    0.712483   0.0272904
          91     0.97464    0.715364   0.0271421
          92      0.3728     0.71164   0.0271013
          93     0.82048     0.71281   0.0268351
          94     0.63088    0.711939   0.0265638
          95     0.89312    0.713846   0.0263526
          96     0.62472    0.712917   0.0260944
          97     0.67508    0.712527   0.0258283
          98     0.92352     0.71468   0.0256543
          99     0.87632    0.716313   0.0254471
         100     0.51532    0.714303   0.0252719
