#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.103874    0.103874           0
           2    0.105404    0.104639 0.000540701
           3     0.10712    0.105466 0.000765462
           4    0.103927    0.105081  0.00066381
           5    0.107844    0.105634 0.000725371
           6    0.106785    0.105826 0.000629324
           7    0.103523    0.105497 0.000619474
           8    0.103777    0.105282 0.000578128
           9    0.105682    0.105326 0.000515598
          10    0.104221    0.105216 0.000475732
          11    0.104846    0.105182 0.000433669
          12    0.105479    0.105207 0.000398236
          13    0.104619    0.105162 0.000370158
          14     0.10363    0.105052 0.000359517
          15    0.103514     0.10495 0.000349875
          16    0.107269    0.105095 0.000356772
          17    0.105733    0.105132 0.000337758
          18    0.105226    0.105137 0.000319034
          19    0.106661    0.105218 0.000312162
          20    0.104001    0.105157 0.000302426
