#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.205071   -0.205071           0
           2   -0.267496   -0.236283   0.0220708
           3   -0.337635   -0.270067   0.0312634
           4   -0.353874   -0.291019   0.0296482
           5   -0.354203   -0.303656    0.026274
           6   -0.335667   -0.308991   0.0224301
           7   -0.330589   -0.312076   0.0194369
           8     -0.3108   -0.311917   0.0170079
           9   -0.300405   -0.310638   0.0151662
          10   -0.286654   -0.308239   0.0138379
          11   -0.320999   -0.309399   0.0126284
          12   -0.341787   -0.312098    0.011861
          13   -0.326979   -0.313243   0.0110037
          14   -0.301438     -0.3124     0.01025
          15   -0.300673   -0.311618   0.0095964
          16   -0.308998   -0.311454  0.00899803
          17   -0.318046   -0.311842  0.00847708
          18   -0.350853   -0.314009  0.00827854
          19   -0.305122   -0.313542  0.00785603
          20   -0.305907    -0.31316   0.0074725
