#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     2.96168     2.96168           0
           2     2.96174     2.96171 2.19778e-05
           3     2.96158     2.96167 3.77484e-05
           4     2.96172     2.96168 3.05168e-05
           5     2.96158     2.96166 3.03063e-05
           6     2.96171     2.96167 2.64737e-05
           7     2.96177     2.96169 2.59614e-05
           8     2.96178      2.9617 2.52569e-05
           9     2.96162     2.96169 2.39596e-05
          10     2.96174     2.96169 2.20755e-05
          11     2.96171     2.96169 2.01462e-05
          12     2.96169     2.96169 1.84717e-05
          13     2.96173      2.9617 1.72949e-05
          14     2.96172      2.9617 1.61236e-05
          15     2.96174      2.9617 1.52572e-05
          16     2.96166      2.9617 1.45542e-05
          17     2.96153     2.96169 1.66934e-05
          18     2.96167     2.96169 1.57879e-05
          19     2.96174     2.96169 1.52359e-05
          20     2.96168     2.96169 1.44926e-05
