#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.11117     2.11117           0
           2     2.15283       2.132   0.0147285
           3     2.19948     2.15449   0.0208264
           4      2.2104     2.16847   0.0197607
           5     2.21052     2.17688   0.0175074
           6     2.19825     2.18044   0.0149476
           7      2.1949     2.18251   0.0129542
           8     2.18172     2.18241   0.0113353
           9     2.17468     2.18155   0.0101083
          10     2.16559     2.17995  0.00922254
          11     2.18848     2.18073  0.00841659
          12     2.20232     2.18253  0.00790515
          13     2.19248     2.18329  0.00733399
          14     2.17544     2.18273  0.00683157
          15     2.17494     2.18221  0.00639585
          16     2.18044      2.1821  0.00599707
          17     2.18638     2.18235  0.00564959
          18     2.20835      2.1838  0.00551725
          19     2.17791     2.18349  0.00523556
          20     2.17839     2.18323  0.00497999
