#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.155032    0.155032           0
           2    0.275922    0.215477   0.0427409
           3    0.392581    0.274512   0.0559937
           4    0.358728    0.295566   0.0457827
           5    0.336174    0.303687   0.0373396
           6    0.339717    0.309692   0.0315955
           7   0.0538419    0.273142   0.0433416
           8     0.18734    0.262417   0.0392285
           9      0.3646    0.273771   0.0364758
          10    0.140897    0.260483   0.0351652
          11    0.411013    0.274168   0.0345285
          12    0.338113    0.279497   0.0320597
          13    0.270048     0.27877   0.0296018
          14    0.112608    0.266901   0.0297718
          15    0.495922    0.282169   0.0314593
          16    0.245472    0.279876   0.0295766
          17     0.28165     0.27998    0.027837
          18    0.187208    0.274826   0.0267634
          19    0.467308    0.284957   0.0272047
          20    0.189128    0.280165    0.026263
          21    0.272352    0.279793    0.025015
          22    0.207826    0.276522   0.0240909
          23    0.379392    0.280994    0.023455
          24    0.310752    0.282234   0.0225104
          25    0.292449    0.282643   0.0216137
          26   0.0384499    0.273251   0.0227316
          27     0.36565    0.276673   0.0221458
          28    0.369516    0.279989   0.0216017
          29    0.246885    0.278847    0.020887
          30   0.0561715    0.271425   0.0214691
          31    0.378049    0.274864   0.0210503
          32    0.543662    0.283264   0.0220047
          33    0.269618    0.282851   0.0213418
          34    0.433888    0.287293   0.0211713
          35   0.0766771    0.281275   0.0214046
          36     0.24256      0.2802    0.020837
          37    0.137108    0.276333   0.0206296
          38     0.32388    0.277584   0.0201246
          39    0.301618      0.2782    0.019618
          40    0.279552    0.278234   0.0191276
          41    0.226272    0.276967    0.018703
          42    0.392084    0.279707   0.0184575
          43    0.195808    0.277756   0.0181311
          44    0.308347    0.278452   0.0177323
          45     0.18389     0.27635   0.0174623
          46    0.189132    0.274454   0.0171853
          47     0.40624    0.277258   0.0170469
          48    0.371956    0.279231   0.0168055
          49    0.299488    0.279644   0.0164677
          50    0.114779    0.276347   0.0164651
          51    0.196357    0.274779   0.0162168
          52    0.072192    0.270883   0.0163662
          53   0.0642445    0.266984   0.0165153
          54    0.352449    0.268567   0.0162851
          55    0.186388    0.267072   0.0160574
          56    0.284795    0.267389   0.0157738
          57    0.342752    0.268711   0.0155524
          58    0.096768    0.265747   0.0155642
          59    0.172768    0.264171     0.01538
          60    0.385592    0.266194   0.0152562
          61    0.507852    0.270156   0.0155119
          62     0.21764    0.269309   0.0152848
          63    0.314936    0.270033   0.0150594
          64    0.184012    0.268689   0.0148839
          65    0.360648    0.270104    0.014722
          66    0.243168    0.269696   0.0145046
          67    0.349736     0.27089   0.0143373
          68    0.468264    0.273793   0.0144172
          69    0.217128    0.272972   0.0142317
          70    0.414688    0.274996   0.0141716
          71    0.227963    0.274334   0.0139875
          72     0.27312    0.274317   0.0137932
          73    0.354272    0.275412   0.0136477
          74    0.205464    0.274467    0.013496
          75     0.34352    0.275388   0.0133474
          76     0.25004    0.275054   0.0131759
          77    0.292024    0.275274   0.0130067
          78     0.36059    0.276368   0.0128858
          79    0.392191    0.277834   0.0128058
          80    0.211608    0.277007   0.0126725
          81    0.273356    0.276961   0.0125161
          82    0.129432    0.275162   0.0124921
          83     0.55728    0.278561   0.0127957
          84    0.370196    0.279652   0.0126898
          85    0.349368    0.280472    0.012567
          86    0.158228    0.279051    0.012501
          87    0.408206    0.280536   0.0124451
          88    0.246312    0.280147   0.0123098
          89   0.0920525    0.278033   0.0123515
          90    0.353029    0.278866   0.0122424
          91    0.370062    0.279869   0.0121488
          92    0.198112     0.27898   0.0120492
          93    0.523457    0.281609    0.012203
          94    0.341729    0.282248     0.01209
          95     0.33388    0.282792   0.0119749
          96   0.0813043    0.280693   0.0120327
          97    0.325816    0.281158   0.0119176
          98    0.300088    0.281351   0.0117976
          99    0.411643    0.282667   0.0117516
         100     0.16107    0.281451   0.0116968
