#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.95612     0.95612           0
           2     0.99224     0.97418   0.0127703
           3     0.94444    0.964267   0.0117472
           4     0.82344     0.92906   0.0317373
           5     0.99744    0.942736   0.0281828
           6     0.68676    0.900073   0.0454789
           7     0.99548    0.913703   0.0409733
           8      0.6358    0.878965   0.0483862
           9     0.93332    0.885004   0.0433852
          10     0.90548    0.887052    0.039095
          11     0.99192    0.896585   0.0366849
          12     0.90928    0.897643    0.033643
          13       0.826    0.892132   0.0315033
          14     0.99076    0.899177   0.0300304
          15     0.93256    0.901403   0.0281107
          16     0.98036    0.906337   0.0267834
          17     0.95336    0.909104   0.0253504
          18     0.98676    0.913418   0.0243064
          19     0.77892    0.906339   0.0240358
          20     0.96488    0.909266   0.0230115
          21     0.97912    0.912592   0.0221548
          22      0.9938    0.916284   0.0214531
          23     0.87628    0.914544   0.0205908
          24     0.93144    0.915248   0.0197448
          25     0.99836    0.918573   0.0192329
          26     0.80316    0.914134   0.0189985
          27     0.88536    0.913068   0.0183247
          28     0.79776     0.90895   0.0181271
          29     0.98628    0.911617   0.0176971
          30      0.9938    0.914356   0.0173179
          31     0.99368    0.916915   0.0169472
          32     0.99876    0.919472   0.0166095
          33     0.99812    0.921856   0.0162763
          34      0.8972    0.921131   0.0158137
          35     0.97244    0.922597   0.0154297
          36     0.88556    0.921568   0.0150354
          37     0.96868    0.922841   0.0146828
          38     0.97816    0.924297   0.0143684
          39     0.76168    0.920127   0.0145925
          40     0.99756    0.922063   0.0143555
          41     0.97504    0.923355   0.0140634
          42     0.99592    0.925083   0.0138343
          43      0.9456     0.92556   0.0135208
          44     0.91364    0.925289   0.0132162
          45     0.99212    0.926774   0.0130057
          46     0.99756    0.928313   0.0128136
          47     0.98872    0.929598   0.0126053
          48     0.88388    0.928646   0.0123786
          49     0.87628    0.927577    0.012172
          50     0.96132    0.928252   0.0119473
          51     0.96084    0.928891   0.0117301
          52     0.97404    0.929759   0.0115366
          53      0.9784    0.930677   0.0113554
          54     0.95448    0.931118   0.0111537
          55      0.9508    0.931476   0.0109566
          56     0.93264    0.931496    0.010761
          57      0.9742    0.932246   0.0105982
          58     0.81228    0.930177   0.0106154
          59     0.52236    0.923265   0.0124847
          60     0.99584    0.924475   0.0123351
          61      0.9744    0.925293     0.01216
          62      0.9976    0.926459   0.0120197
          63     0.95604    0.926929    0.011838
          64     0.97656    0.927704   0.0116784
          65     0.94012    0.927895   0.0115003
          66     0.98996    0.928836   0.0113645
          67      0.9976    0.929862   0.0112411
          68     0.99316    0.930793   0.0111143
          69     0.93048    0.930788   0.0109532
          70      0.9886    0.931614   0.0108278
          71     0.96488    0.932083   0.0106854
          72      0.9728    0.932648    0.010552
          73     0.95524    0.932958    0.010412
          74      0.9614    0.933342   0.0102784
          75     0.95216    0.933593   0.0101444
          76     0.93508    0.933613   0.0100109
          77     0.96648    0.934039  0.00988999
          78     0.80876    0.932433  0.00989276
          79     0.38124    0.925456   0.0119778
          80     0.99616     0.92634   0.0118607
          81     0.96452    0.926811   0.0117236
          82     0.96684      0.9273   0.0115908
          83     0.81524    0.925949   0.0115295
          84     0.80604    0.924522   0.0114803
          85     0.93784    0.924679   0.0113463
          86     0.91128    0.924523   0.0112154
          87     0.98908    0.925265    0.011111
          88      0.7728    0.923532    0.011119
          89     0.97796    0.924144   0.0110109
          90      0.8482      0.9233   0.0109209
          91     0.98924    0.924025   0.0108249
          92     0.84816      0.9232   0.0107386
          93     0.92844    0.923256   0.0106232
          94     0.90924    0.923107   0.0105113
          95     0.99108    0.923823    0.010425
          96     0.99584    0.924573   0.0103433
          97     0.79424    0.923229   0.0103236
          98      0.9394    0.923394   0.0102196
          99     0.99448    0.924112   0.0101415
         100     0.97336    0.924605   0.0100521
