#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0322357  -0.0322357           0
           2  -0.0346019  -0.0334188 0.000836561
           3  -0.0393958  -0.0354111  0.00171967
           4  -0.0473901  -0.0384059  0.00289652
           5  -0.0573578  -0.0421963  0.00410648
           6  -0.0685191  -0.0465834   0.0052678
           7  -0.0796252  -0.0513037  0.00628374
           8  -0.0884493  -0.0559469  0.00700681
           9   -0.093185  -0.0600844  0.00734906
          10  -0.0914698   -0.063223  0.00725344
          11  -0.0844044  -0.0651485  0.00684486
          12  -0.0741381  -0.0658977  0.00631532
          13  -0.0627554   -0.065656  0.00583415
          14  -0.0522196  -0.0646962  0.00549579
          15  -0.0428669  -0.0632409   0.0053186
          16  -0.0366585  -0.0615795  0.00523926
          17  -0.0331069  -0.0599047  0.00519187
          18  -0.0319337  -0.0583507  0.00513072
          19  -0.0330899  -0.0570212  0.00502999
          20   -0.036624  -0.0560014  0.00488079
          21  -0.0427937  -0.0553724  0.00468872
          22  -0.0521497  -0.0552259  0.00447788
          23  -0.0626741  -0.0555498  0.00429488
          24  -0.0740569  -0.0563209  0.00418458
          25  -0.0843397  -0.0574417  0.00416458
          26  -0.0914381  -0.0587492  0.00420466
          27  -0.0931956   -0.060025  0.00423807
          28  -0.0884986  -0.0610419  0.00420695
          29  -0.0797002  -0.0616853  0.00411078
          30  -0.0686022  -0.0619159  0.00398022
          31  -0.0574347  -0.0617713  0.00385445
          32  -0.0474521  -0.0613238  0.00375988
          33  -0.0394396  -0.0606607  0.00370397
          34  -0.0346278   -0.059895  0.00367331
          35  -0.0322444   -0.059105  0.00365233
          36  -0.0322043  -0.0583577  0.00362651
          37  -0.0345057  -0.0577131  0.00358533
          38  -0.0392322  -0.0572268  0.00352381
          39  -0.0471377  -0.0569681  0.00344294
          40  -0.0570698  -0.0569706  0.00335687
          41  -0.0682067  -0.0572447  0.00328616
          42  -0.0793422  -0.0577708  0.00324976
          43  -0.0882413  -0.0584794  0.00325053
          44  -0.0931423  -0.0592672  0.00327072
          45  -0.0916069  -0.0599859  0.00327604
          46  -0.0846457  -0.0605219  0.00324839
          47  -0.0744432  -0.0608181  0.00319275
          48  -0.0630615  -0.0608649  0.00312658
          49  -0.0524836  -0.0606938  0.00306745
          50  -0.0430868  -0.0603417  0.00302624
          51  -0.0367895  -0.0598799  0.00300193
          52  -0.0331717  -0.0593663  0.00298782
          53  -0.0319348  -0.0588487  0.00297594
          54  -0.0330273  -0.0583705  0.00295899
          55  -0.0364953  -0.0579728   0.0029318
          56  -0.0425762  -0.0576978  0.00289231
          57  -0.0518876  -0.0575959  0.00284337
          58  -0.0623689  -0.0576782  0.00279553
          59  -0.0737508  -0.0579506  0.00276139
          60  -0.0840951  -0.0583864  0.00274953
          61  -0.0913062   -0.058926  0.00275691
          62  -0.0932326  -0.0594794  0.00276742
          63   -0.088692  -0.0599431  0.00276206
          64   -0.079981  -0.0602561  0.00273659
          65  -0.0689146  -0.0603894  0.00269773
          66  -0.0577242   -0.060349  0.00265716
          67  -0.0477273  -0.0601606  0.00262417
          68  -0.0396056  -0.0598583  0.00260293
          69  -0.0347262  -0.0594941  0.00259057
          70   -0.032278  -0.0591053  0.00258257
          71  -0.0321746   -0.058726   0.0025739
          72  -0.0344114  -0.0583883  0.00256021
          73  -0.0390705  -0.0581236  0.00253878
          74  -0.0468666  -0.0579715  0.00250902
          75   -0.056783  -0.0579557  0.00247562
          76  -0.0678944  -0.0580864   0.0024465
          77  -0.0790575  -0.0583588  0.00242984
          78  -0.0880402  -0.0587393   0.0024283
          79  -0.0930952  -0.0591742  0.00243619
          80  -0.0917297  -0.0595812  0.00243949
          81  -0.0848843  -0.0598935  0.00242929
          82  -0.0747473  -0.0600747  0.00240641
          83  -0.0633682  -0.0601144  0.00237774
          84  -0.0527491  -0.0600267  0.00235105
          85  -0.0433222  -0.0598302  0.00233159
          86  -0.0369224  -0.0595638  0.00231965
          87  -0.0332383  -0.0592612  0.00231264
          88  -0.0319376  -0.0589507  0.00230711
          89  -0.0329665  -0.0586587  0.00229958
          90  -0.0363685  -0.0584111  0.00228733
          91  -0.0423606  -0.0582347  0.00226899
          92  -0.0516271  -0.0581629  0.00224546
          93  -0.0620645  -0.0582048  0.00222171
          94  -0.0734441  -0.0583669  0.00220398
          95  -0.0838479  -0.0586352  0.00219704
          96  -0.0911601   -0.058974  0.00220012
          97  -0.0932652  -0.0593275  0.00220566
          98  -0.0888923  -0.0596292  0.00220369
          99    -0.08026  -0.0598376  0.00219126
         100  -0.0692269  -0.0599315  0.00217136
