#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     2.96823     2.96823           0
           2     2.96831     2.96827  2.7487e-05
           3     2.96853     2.96836 7.14654e-05
           4     2.96819     2.96832 6.41832e-05
           5     2.96824      2.9683 5.28995e-05
           6     2.96815     2.96828 4.94459e-05
           7     2.96831     2.96828 4.26587e-05
           8     2.96837     2.96829 3.87672e-05
           9     2.96834      2.9683  3.4868e-05
          10     2.96841     2.96831 3.30507e-05
          11     2.96809     2.96829 3.58109e-05
          12     2.96828     2.96829 3.28448e-05
          13     2.96827     2.96829 3.03526e-05
          14     2.96823     2.96828 2.84935e-05
          15     2.96837     2.96829 2.71541e-05
          16     2.96825     2.96829  2.5539e-05
          17     2.96823     2.96828  2.4227e-05
          18     2.96817     2.96828 2.37076e-05
          19     2.96818     2.96827 2.30012e-05
          20     2.96834     2.96827 2.20694e-05
          21     2.96818     2.96827 2.14651e-05
          22     2.96805     2.96826 2.27442e-05
          23     2.96811     2.96825 2.26545e-05
          24     2.96831     2.96826 2.18507e-05
          25     2.96825     2.96826  2.0977e-05
          26     2.96826     2.96826 2.01707e-05
          27     2.96829     2.96826 1.94722e-05
          28     2.96819     2.96826 1.89157e-05
          29     2.96843     2.96826 1.92211e-05
          30     2.96814     2.96826 1.90166e-05
          31     2.96831     2.96826 1.84893e-05
          32     2.96835     2.96826 1.81082e-05
          33     2.96832     2.96826 1.76354e-05
          34     2.96837     2.96827 1.73754e-05
          35     2.96824     2.96827 1.68964e-05
          36     2.96814     2.96826 1.67903e-05
          37     2.96835     2.96826 1.65041e-05
          38     2.96841     2.96827 1.65301e-05
          39     2.96821     2.96827 1.61786e-05
          40     2.96836     2.96827 1.59411e-05
          41      2.9683     2.96827 1.55697e-05
          42      2.9681     2.96827 1.57216e-05
          43     2.96816     2.96826 1.55574e-05
          44     2.96834     2.96827 1.53074e-05
          45     2.96815     2.96826 1.51944e-05
          46     2.96835     2.96826 1.49893e-05
          47     2.96835     2.96827  1.4786e-05
          48      2.9685     2.96827 1.52282e-05
          49     2.96833     2.96827 1.49709e-05
          50      2.9683     2.96827 1.46843e-05
          51     2.96843     2.96828 1.47105e-05
          52     2.96831     2.96828 1.44392e-05
          53     2.96831     2.96828 1.41834e-05
          54     2.96818     2.96828 1.40458e-05
          55     2.96835     2.96828   1.385e-05
          56     2.96825     2.96828 1.36127e-05
          57     2.96822     2.96828 1.34082e-05
          58     2.96829     2.96828 1.31801e-05
          59     2.96806     2.96827 1.34578e-05
          60     2.96851     2.96828 1.38144e-05
          61     2.96828     2.96828 1.35881e-05
          62     2.96826     2.96828 1.33701e-05
          63     2.96825     2.96828 1.31633e-05
          64     2.96838     2.96828 1.30678e-05
          65     2.96841     2.96828 1.30177e-05
          66     2.96815     2.96828 1.29614e-05
          67     2.96853     2.96828 1.33238e-05
          68     2.96836     2.96828 1.31816e-05
          69     2.96813     2.96828 1.31848e-05
          70     2.96843     2.96828 1.31723e-05
          71     2.96831     2.96828 1.29911e-05
          72     2.96814     2.96828 1.29605e-05
          73     2.96847     2.96828 1.30335e-05
          74     2.96829     2.96828 1.28575e-05
          75      2.9683     2.96828 1.26875e-05
          76     2.96835     2.96828 1.25511e-05
          77     2.96816     2.96828 1.24917e-05
          78     2.96846     2.96828  1.2538e-05
          79      2.9683     2.96829 1.23804e-05
          80     2.96841     2.96829 1.23279e-05
          81     2.96808     2.96828 1.24462e-05
          82     2.96834     2.96828 1.23134e-05
          83     2.96825     2.96828 1.21728e-05
          84     2.96841     2.96829  1.2122e-05
          85     2.96814     2.96828 1.20995e-05
          86     2.96853     2.96829 1.22906e-05
          87     2.96821     2.96829 1.21826e-05
          88     2.96847     2.96829 1.22185e-05
          89     2.96842     2.96829 1.21719e-05
          90     2.96823     2.96829 1.20566e-05
          91     2.96831     2.96829 1.19264e-05
          92     2.96838     2.96829 1.18343e-05
          93     2.96836     2.96829 1.17325e-05
          94     2.96821     2.96829 1.16414e-05
          95     2.96831     2.96829 1.15203e-05
          96     2.96828     2.96829 1.14005e-05
          97      2.9683     2.96829 1.12833e-05
          98     2.96819     2.96829 1.12166e-05
          99     2.96798     2.96829 1.15236e-05
         100      2.9682     2.96829 1.14411e-05
