#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      2.0244      2.0244           0
           2     2.03175     2.02807  0.00260058
           3     2.03746      2.0312  0.00308706
           4     2.04008     2.03342  0.00300923
           5     2.03885     2.03451  0.00259567
           6     2.03414     2.03445  0.00216377
           7     2.02721     2.03341  0.00208725
           8     2.01962     2.03169  0.00243643
           9     2.01266     2.02957  0.00294327
          10     2.00708     2.02732  0.00340129
          11     2.00317     2.02513  0.00373413
          12      2.0009     2.02311  0.00393092
          13     2.00022     2.02135  0.00400355
          14     2.00109      2.0199  0.00397057
          15     2.00354     2.01881  0.00385272
          16     2.00765     2.01811   0.0036745
          17     2.01342     2.01784  0.00346874
          18      2.0205     2.01799  0.00327917
          19     2.02808     2.01852  0.00314934
          20     2.03484     2.01933  0.00309581
          21     2.03919     2.02028   0.0030894
          22     2.03997     2.02117  0.00307585
          23     2.03693     2.02186  0.00301742
          24     2.03094     2.02224  0.00291535
          25      2.0235     2.02229  0.00279917
          26     2.01609     2.02205  0.00270163
          27     2.00974     2.02159  0.00263974
          28     2.00497       2.021  0.00261136
          29     2.00187     2.02034  0.00260333
          30     2.00038     2.01967  0.00260021
          31     2.00045     2.01905  0.00258924
          32     2.00208     2.01852  0.00256208
          33     2.00534     2.01812  0.00251541
          34     2.01026     2.01789  0.00245204
          35     2.01674     2.01786   0.0023822
          36      2.0242     2.01804  0.00232253
          37     2.03158      2.0184   0.0022884
          38     2.03735      2.0189  0.00228183
          39     2.04006     2.01944  0.00228692
          40     2.03893     2.01993  0.00228104
          41      2.0343     2.02028  0.00225216
          42      2.0274     2.02045  0.00220491
          43     2.01981     2.02044  0.00215369
          44     2.01283     2.02026  0.00211167
          45     2.00721     2.01997  0.00208457
          46     2.00325     2.01961   0.0020707
          47     2.00094     2.01921  0.00206437
          48     2.00022     2.01882  0.00205894
          49     2.00105     2.01845  0.00204861
          50     2.00346     2.01815  0.00202947
          51     2.00753     2.01795  0.00200035
          52     2.01325     2.01785  0.00196392
          53      2.0203      2.0179   0.0019274
          54     2.02789     2.01809  0.00190057
          55     2.03469     2.01839  0.00188983
          56     2.03912     2.01876  0.00189199
          57        2.04     2.01913  0.00189513
          58     2.03705     2.01944  0.00188747
          59     2.03113     2.01964  0.00186584
          60      2.0237     2.01971  0.00183597
          61     2.01628     2.01965  0.00180673
          62     2.00989     2.01949  0.00178444
          63     2.00507     2.01926  0.00177073
          64     2.00193     2.01899  0.00176366
          65      2.0004     2.01871  0.00175958
          66     2.00043     2.01843  0.00175458
          67     2.00202     2.01818   0.0017454
          68     2.00523     2.01799  0.00173009
          69     2.01011     2.01788  0.00170879
          70     2.01655     2.01786  0.00168448
          71       2.024     2.01795  0.00166297
          72      2.0314     2.01813  0.00165034
          73     2.03723      2.0184  0.00164833
          74     2.04004     2.01869   0.0016518
          75       2.039     2.01896  0.00165184
          76     2.03445     2.01916  0.00164264
          77      2.0276     2.01927  0.00162495
          78     2.02001     2.01928  0.00160415
          79     2.01299      2.0192  0.00158581
          80     2.00733     2.01905  0.00157292
          81     2.00333     2.01886  0.00156542
          82     2.00098     2.01864  0.00156144
          83     2.00022     2.01842  0.00155832
          84       2.001     2.01821   0.0015535
          85     2.00338     2.01804    0.001545
          86      2.0074     2.01791  0.00153198
          87     2.01308     2.01786  0.00151537
          88     2.02011     2.01788  0.00149837
          89      2.0277     2.01799  0.00148558
          90     2.03454     2.01818   0.0014804
          91     2.03904     2.01841  0.00148179
          92     2.04003     2.01864  0.00148419
          93     2.03717     2.01884  0.00148154
          94      2.0313     2.01897   0.0014717
          95      2.0239     2.01903  0.00145712
          96     2.01646       2.019  0.00144219
          97     2.01004     2.01891  0.00143028
          98     2.00518     2.01877  0.00142253
          99     2.00199      2.0186  0.00141822
         100     2.00042     2.01842  0.00141565
