#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.03659     3.03659           0
           2     3.04763     3.04211  0.00390087
           3     3.05619      3.0468  0.00463059
           4     3.06012     3.05013  0.00451384
           5     3.05827     3.05176   0.0038935
           6     3.05121     3.05167  0.00324565
           7     3.04081     3.05012  0.00313087
           8     3.02943     3.04753  0.00365465
           9     3.01899     3.04436  0.00441491
          10     3.01063     3.04099  0.00510193
          11     3.00476     3.03769   0.0056012
          12     3.00136     3.03467  0.00589639
          13     3.00033     3.03202  0.00600532
          14     3.00163     3.02985  0.00595586
          15     3.00532     3.02822  0.00577907
          16     3.01148     3.02717  0.00551176
          17     3.02012     3.02676  0.00520311
          18     3.03074     3.02698  0.00491876
          19     3.04212     3.02778  0.00472402
          20     3.05226       3.029  0.00464372
          21     3.05878     3.03042  0.00463411
          22     3.05995     3.03176  0.00461378
          23     3.05539     3.03279  0.00452614
          24     3.04642     3.03336  0.00437302
          25     3.03525     3.03343  0.00419876
          26     3.02414     3.03307  0.00405244
          27     3.01462     3.03239   0.0039596
          28     3.00746      3.0315  0.00391704
          29      3.0028     3.03051  0.00390499
          30     3.00057     3.02951  0.00390031
          31     3.00067     3.02858  0.00388387
          32     3.00312     3.02779  0.00384312
          33     3.00801     3.02719  0.00377312
          34     3.01539     3.02684  0.00367806
          35     3.02511     3.02679   0.0035733
          36      3.0363     3.02705  0.00348379
          37     3.04736      3.0276   0.0034326
          38     3.05602     3.02835  0.00342275
          39     3.06009     3.02916  0.00343038
          40     3.05839      3.0299  0.00342155
          41     3.05145     3.03042  0.00337825
          42      3.0411     3.03068  0.00330737
          43     3.02972     3.03065  0.00323053
          44     3.01924     3.03039   0.0031675
          45     3.01081     3.02996  0.00312686
          46     3.00488     3.02941  0.00310605
          47     3.00142     3.02882  0.00309656
          48     3.00033     3.02822  0.00308841
          49     3.00157     3.02768  0.00307292
          50     3.00519     3.02723   0.0030442
          51     3.01129     3.02692  0.00300052
          52     3.01987     3.02678  0.00294587
          53     3.03045     3.02685  0.00289111
          54     3.04183     3.02713  0.00285085
          55     3.05203     3.02758  0.00283474
          56     3.05868     3.02814  0.00283798
          57     3.05999      3.0287  0.00284269
          58     3.05557     3.02916   0.0028312
          59     3.04669     3.02946  0.00279876
          60     3.03555     3.02956  0.00275396
          61     3.02441     3.02947   0.0027101
          62     3.01484     3.02924  0.00267666
          63     3.00761     3.02889  0.00265609
          64     3.00289     3.02849  0.00264549
          65     3.00059     3.02806  0.00263936
          66     3.00064     3.02764  0.00263187
          67     3.00303     3.02728   0.0026181
          68     3.00785     3.02699  0.00259514
          69     3.01517     3.02682  0.00256318
          70     3.02483     3.02679  0.00252672
          71       3.036     3.02692  0.00249446
          72      3.0471      3.0272  0.00247551
          73     3.05584     3.02759   0.0024725
          74     3.06006     3.02803   0.0024777
          75     3.05851     3.02844  0.00247776
          76     3.05168     3.02874  0.00246396
          77     3.04139     3.02891  0.00243743
          78     3.03001     3.02892  0.00240622
          79     3.01949      3.0288  0.00237872
          80       3.011     3.02858  0.00235937
          81       3.005     3.02829  0.00234813
          82     3.00148     3.02796  0.00234216
          83     3.00033     3.02763  0.00233748
          84     3.00151     3.02732  0.00233025
          85     3.00507     3.02706   0.0023175
          86      3.0111     3.02687  0.00229796
          87     3.01962     3.02679  0.00227306
          88     3.03016     3.02683  0.00224756
          89     3.04154     3.02699  0.00222838
          90      3.0518     3.02727  0.00222061
          91     3.05857     3.02761  0.00222268
          92     3.06004     3.02796  0.00222629
          93     3.05575     3.02826  0.00222232
          94     3.04696     3.02846  0.00220756
          95     3.03585     3.02854  0.00218569
          96     3.02469      3.0285  0.00216329
          97     3.01506     3.02836  0.00214542
          98     3.00777     3.02815   0.0021338
          99     3.00298      3.0279  0.00212733
         100     3.00062     3.02762  0.00212347
