#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.00038     3.00038           0
           2     3.00269     3.00153 0.000819762
           3     3.00744      3.0035  0.00169719
           4     3.01469      3.0063   0.0027355
           5     3.02428      3.0099  0.00389123
           6     3.03543     3.01415  0.00506021
           7     3.04656     3.01878  0.00609764
           8     3.05541     3.02336   0.0068418
           9     3.05978     3.02741  0.00717939
          10     3.05841     3.03051  0.00709936
          11     3.05172     3.03243  0.00671084
          12      3.0415     3.03319    0.006194
          13     3.03012     3.03295  0.00572204
          14     3.01955       3.032  0.00539279
          15     3.01099      3.0306  0.00521189
          16     3.00492     3.02899   0.0051273
          17     3.00132     3.02736  0.00507753
          18      3.0001     3.02585  0.00501631
          19     3.00121     3.02455  0.00491709
          20     3.00469     3.02356  0.00477044
          21     3.01065     3.02294  0.00458272
          22      3.0191     3.02277  0.00437775
          23     3.02959     3.02307  0.00419744
          24     3.04097     3.02381  0.00408831
          25      3.0513     3.02491  0.00406994
          26      3.0582     3.02619  0.00410987
          27     3.05985     3.02744   0.0041424
          28     3.05573     3.02845  0.00411585
          29     3.04705     3.02909  0.00402357
          30     3.03597     3.02932  0.00389599
          31     3.02479     3.02917  0.00377305
          32     3.01509     3.02873  0.00368072
          33     3.00773      3.0281  0.00362382
          34     3.00286     3.02735  0.00359242
          35     3.00043     3.02659  0.00357118
          36     3.00035     3.02586  0.00354558
          37      3.0026     3.02523  0.00350503
          38     3.00728     3.02476  0.00344447
          39     3.01446     3.02449  0.00336626
          40       3.024     3.02448  0.00328213
          41     3.03512     3.02474  0.00321231
          42     3.04627     3.02525  0.00317649
          43     3.05522     3.02595  0.00317816
          44     3.05974     3.02672  0.00319735
          45     3.05852     3.02742  0.00320346
          46     3.05196     3.02796  0.00317792
          47     3.04181     3.02825  0.00312394
          48     3.03043      3.0283  0.00305918
          49     3.01982     3.02812  0.00300164
          50     3.01119     3.02779  0.00296065
          51     3.00505     3.02734  0.00293596
          52     3.00138     3.02684  0.00292162
          53      3.0001     3.02634  0.00290974
          54     3.00115     3.02587    0.002893
          55     3.00457     3.02548  0.00286622
          56     3.01045     3.02521  0.00282757
          57     3.01884      3.0251  0.00278018
          58     3.02928     3.02517  0.00273318
          59     3.04066     3.02544  0.00269944
          60     3.05105     3.02586    0.002688
          61     3.05808     3.02639  0.00269531
          62     3.05988     3.02693  0.00270543
          63     3.05591     3.02739  0.00270132
          64     3.04733      3.0277  0.00267701
          65     3.03629     3.02784  0.00263908
          66     3.02508     3.02779  0.00259942
          67     3.01533     3.02761  0.00256728
          68     3.00789     3.02732  0.00254584
          69     3.00296     3.02696  0.00253329
          70     3.00047     3.02659  0.00252522
          71     3.00032     3.02622   0.0025166
          72     3.00251     3.02589   0.0025031
          73     3.00712     3.02563  0.00248198
          74     3.01423     3.02548  0.00245322
          75     3.02371     3.02545  0.00242062
          76     3.03481     3.02558   0.0023919
          77     3.04599     3.02584  0.00237548
          78     3.05503     3.02621  0.00237431
          79     3.05969     3.02664  0.00238176
          80     3.05863     3.02704  0.00238533
          81      3.0522     3.02735  0.00237602
          82     3.04211     3.02753  0.00235386
          83     3.03073     3.02757  0.00232581
          84     3.02009     3.02748  0.00229983
          85      3.0114     3.02729  0.00228054
          86     3.00519     3.02703  0.00226846
          87     3.00145     3.02674  0.00226136
          88     3.00011     3.02644  0.00225582
          89     3.00109     3.02615  0.00224838
          90     3.00444     3.02591   0.0022363
          91     3.01026     3.02574  0.00221833
          92     3.01858     3.02566  0.00219558
          93     3.02898      3.0257  0.00217227
          94     3.04036     3.02585  0.00215475
          95     3.05081     3.02611  0.00214802
          96     3.05795     3.02645  0.00215109
          97     3.05991     3.02679  0.00215641
          98     3.05609     3.02709  0.00215503
          99      3.0476      3.0273   0.0021432
         100      3.0366     3.02739  0.00212379
