#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.00025     2.00025           0
           2      2.0018     2.00102 0.000546508
           3     2.00496     2.00234  0.00113146
           4     2.00979      2.0042  0.00182367
           5     2.01619      2.0066  0.00259415
           6     2.02362     2.00943  0.00337348
           7     2.03104     2.01252  0.00406509
           8     2.03694     2.01557   0.0045612
           9     2.03985     2.01827  0.00478626
          10     2.03894     2.02034   0.0047329
          11     2.03448     2.02162  0.00447389
          12     2.02767     2.02213  0.00412933
          13     2.02008     2.02197  0.00381469
          14     2.01304     2.02133  0.00359519
          15     2.00733      2.0204   0.0034746
          16     2.00328     2.01933   0.0034182
          17     2.00088     2.01824  0.00338502
          18     2.00007     2.01723  0.00334421
          19     2.00081     2.01637  0.00327806
          20     2.00313     2.01571  0.00318029
          21      2.0071      2.0153  0.00305515
          22     2.01273     2.01518   0.0029185
          23     2.01973     2.01538   0.0027983
          24     2.02731     2.01587  0.00272554
          25      2.0342     2.01661   0.0027133
          26      2.0388     2.01746  0.00273992
          27      2.0399     2.01829   0.0027616
          28     2.03715     2.01897   0.0027439
          29     2.03136     2.01939  0.00268238
          30     2.02398     2.01955  0.00259732
          31     2.01652     2.01945  0.00251537
          32     2.01006     2.01916  0.00245381
          33     2.00515     2.01873  0.00241588
          34     2.00191     2.01824  0.00239495
          35     2.00029     2.01772  0.00238079
          36     2.00023     2.01724  0.00236372
          37     2.00173     2.01682  0.00233668
          38     2.00485      2.0165  0.00229632
          39     2.00964     2.01633  0.00224417
          40       2.016     2.01632  0.00218808
          41     2.02341     2.01649  0.00214154
          42     2.03085     2.01683  0.00211766
          43     2.03681      2.0173  0.00211877
          44     2.03982     2.01781  0.00213157
          45     2.03901     2.01828  0.00213564
          46     2.03464     2.01864  0.00211861
          47     2.02787     2.01883  0.00208262
          48     2.02028     2.01886  0.00203946
          49     2.01321     2.01875  0.00200109
          50     2.00746     2.01852  0.00197376
          51     2.00337     2.01823  0.00195731
          52     2.00092     2.01789  0.00194775
          53     2.00007     2.01756  0.00193982
          54     2.00076     2.01725  0.00192867
          55     2.00304     2.01699  0.00191081
          56     2.00697     2.01681  0.00188505
          57     2.01256     2.01673  0.00185345
          58     2.01952     2.01678  0.00182212
          59     2.02711     2.01696  0.00179962
          60     2.03404     2.01724    0.001792
          61     2.03872     2.01759  0.00179687
          62     2.03992     2.01795  0.00180362
          63     2.03728     2.01826  0.00180088
          64     2.03155     2.01847  0.00178467
          65     2.02419     2.01856  0.00175939
          66     2.01672     2.01853  0.00173295
          67     2.01022      2.0184  0.00171152
          68     2.00526     2.01821  0.00169722
          69     2.00198     2.01798  0.00168886
          70     2.00031     2.01772  0.00168348
          71     2.00021     2.01748  0.00167774
          72     2.00167     2.01726  0.00166873
          73     2.00475     2.01709  0.00165465
          74     2.00949     2.01698  0.00163548
          75     2.01581     2.01697  0.00161375
          76      2.0232     2.01705   0.0015946
          77     2.03066     2.01723  0.00158365
          78     2.03669     2.01748  0.00158288
          79     2.03979     2.01776  0.00158784
          80     2.03909     2.01803  0.00159022
          81      2.0348     2.01823  0.00158401
          82     2.02807     2.01835  0.00156924
          83     2.02049     2.01838  0.00155054
          84     2.01339     2.01832  0.00153322
          85      2.0076     2.01819  0.00152036
          86     2.00346     2.01802  0.00151231
          87     2.00097     2.01783  0.00150757
          88     2.00007     2.01762  0.00150388
          89     2.00073     2.01743  0.00149892
          90     2.00296     2.01727  0.00149087
          91     2.00684     2.01716  0.00147889
          92     2.01239     2.01711  0.00146372
          93     2.01932     2.01713  0.00144818
          94     2.02691     2.01723   0.0014365
          95     2.03387     2.01741  0.00143201
          96     2.03863     2.01763  0.00143406
          97     2.03994     2.01786  0.00143761
          98     2.03739     2.01806  0.00143669
          99     2.03174      2.0182   0.0014288
         100      2.0244     2.01826  0.00141586
