#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.326374   -0.326374           0
           2   -0.342216   -0.334295  0.00560102
           3   -0.301897   -0.323496  0.00957558
           4   -0.291499   -0.315497  0.00997832
           5   -0.287951   -0.309987  0.00938103
           6    -0.34674   -0.316113  0.00961151
           7    -0.33672   -0.319057  0.00867754
           8   -0.336144   -0.321193  0.00785133
           9   -0.339317   -0.323206  0.00723262
          10   -0.374759   -0.328362  0.00814191
          11   -0.322215   -0.327803  0.00742089
          12   -0.316941   -0.326898  0.00685746
          13   -0.316823   -0.326123   0.0063736
          14   -0.321002   -0.325757  0.00592883
          15   -0.374063   -0.328977  0.00634822
          16   -0.329689   -0.329022  0.00595161
          17    -0.31667   -0.328295   0.0056457
          18   -0.297986   -0.326611   0.0055775
          19   -0.315477   -0.326025  0.00531465
          20   -0.292924    -0.32437  0.00530036
          21   -0.246496   -0.320662  0.00621117
          22   -0.282896   -0.318945   0.0061615
          23    -0.35135   -0.320354  0.00605254
          24   -0.348608   -0.321531  0.00591374
          25   -0.318043   -0.321392  0.00567883
          26   -0.304163   -0.320729  0.00549895
          27   -0.306207   -0.320191  0.00532152
          28   -0.319693   -0.320174   0.0051315
          29   -0.296079   -0.319343  0.00502136
          30   -0.316935   -0.319263  0.00485462
          31   -0.369219   -0.320874  0.00495828
          32   -0.359047   -0.322067  0.00494475
          33   -0.338047   -0.322551  0.00481856
          34   -0.348739   -0.323321    0.004738
          35   -0.363534    -0.32447  0.00473989
          36   -0.419196   -0.327102  0.00528838
          37   -0.433008   -0.329964  0.00586918
          38   -0.368892   -0.330988  0.00580344
          39   -0.339793   -0.331214  0.00565902
          40   -0.325331   -0.331067  0.00551945
          41   -0.301477   -0.330345  0.00543181
          42   -0.316237   -0.330009  0.00531286
          43   -0.360607   -0.330721  0.00523674
          44   -0.359993   -0.331386  0.00515981
          45   -0.331362   -0.331386  0.00504515
          46     -0.3214   -0.331169  0.00494014
          47   -0.303911   -0.330589  0.00486895
          48   -0.278126   -0.329496  0.00488865
          49   -0.264801   -0.328175  0.00496397
          50   -0.301557   -0.327643  0.00489315
          51   -0.294384   -0.326991  0.00484047
          52   -0.299094   -0.326454  0.00477702
          53   -0.302747   -0.326007  0.00470778
          54   -0.301594   -0.325555  0.00464226
          55   -0.321429    -0.32548  0.00455846
          56    -0.32537   -0.325478  0.00447706
          57   -0.343512   -0.325794  0.00440968
          58   -0.312344   -0.325563  0.00433975
          59   -0.350049   -0.325978  0.00428599
          60   -0.336612   -0.326155  0.00421822
          61   -0.275664   -0.325327   0.0042295
          62   -0.268554   -0.324411  0.00425925
          63   -0.298643   -0.324002  0.00421124
          64   -0.312264   -0.323819  0.00414943
          65   -0.287427   -0.323259  0.00412319
          66   -0.306548   -0.323006  0.00406849
          67   -0.304489   -0.322729  0.00401714
          68   -0.311913    -0.32257  0.00396121
          69   -0.322568    -0.32257   0.0039038
          70   -0.302533   -0.322284  0.00385852
          71   -0.268034    -0.32152  0.00387909
          72   -0.315455   -0.321436  0.00382613
          73   -0.340978   -0.321704  0.00378307
          74   -0.352518    -0.32212  0.00375479
          75   -0.324609   -0.322153  0.00370488
          76   -0.325438   -0.322196  0.00365638
          77   -0.355531   -0.322629  0.00363443
          78   -0.356298   -0.323061  0.00361338
          79    -0.34893   -0.323388  0.00358245
          80   -0.327766   -0.323443  0.00353809
          81    -0.31245   -0.323307  0.00349701
          82   -0.364694   -0.323812  0.00349059
          83   -0.330984   -0.323899  0.00344961
          84   -0.325762   -0.323921  0.00340861
          85   -0.347672     -0.3242  0.00337995
          86   -0.366977   -0.324698  0.00337704
          87   -0.341514   -0.324891  0.00334376
          88   -0.306095   -0.324677  0.00331257
          89    -0.25213   -0.323862  0.00337415
          90     -0.2792   -0.323366  0.00337296
          91   -0.309306   -0.323211  0.00333943
          92   -0.298154   -0.322939  0.00331422
          93   -0.296573   -0.322655  0.00329069
          94   -0.292306   -0.322333  0.00327148
          95   -0.302858   -0.322128  0.00324346
          96   -0.279479   -0.321683  0.00323996
          97   -0.344314   -0.321917  0.00321494
          98   -0.371932   -0.322427  0.00322239
          99   -0.349662   -0.322702  0.00320156
         100     -0.3604   -0.323079  0.00319167
