#   N_BLOCK:  ACCEPTANCE:
           1    0.517378
           2    0.517463
           3     0.51746
           4     0.51756
           5    0.517327
           6    0.516892
           7     0.51712
           8    0.517047
           9    0.516815
          10    0.517019
          11    0.516749
          12    0.516615
          13    0.516718
          14    0.516868
          15     0.51677
          16    0.517044
          17    0.516801
          18    0.516944
          19    0.516687
          20    0.516889
          21    0.517108
          22    0.517243
          23    0.517248
          24    0.517215
          25    0.517169
          26    0.517178
          27    0.517235
          28    0.517193
          29    0.517364
          30    0.517435
          31    0.517532
          32    0.517713
          33    0.517761
          34    0.517764
          35    0.517899
          36    0.517761
          37    0.517902
          38    0.517786
          39    0.517934
          40    0.517911
          41    0.517637
          42    0.517587
          43    0.517543
          44      0.5177
          45    0.517789
          46      0.5177
          47     0.51772
          48    0.517632
          49    0.517529
          50    0.517526
          51    0.517553
          52    0.517455
          53    0.517377
          54    0.517347
          55    0.517378
          56    0.517403
          57    0.517431
          58      0.5175
          59    0.517432
          60    0.517393
          61    0.517373
          62    0.517476
          63    0.517491
          64    0.517437
          65    0.517541
          66    0.517607
          67    0.517623
          68    0.517578
          69    0.517526
          70    0.517467
          71    0.517381
          72    0.517414
          73    0.517345
          74    0.517433
          75    0.517408
          76    0.517369
          77    0.517308
          78    0.517312
          79    0.517375
          80    0.517321
          81    0.517411
          82    0.517339
          83    0.517355
          84    0.517331
          85    0.517345
          86    0.517334
          87    0.517335
          88    0.517346
          89    0.517396
          90    0.517396
          91     0.51737
          92    0.517418
          93    0.517415
          94    0.517472
          95    0.517492
          96    0.517483
          97    0.517467
          98      0.5175
          99    0.517523
         100    0.517499
