#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.214562    0.214562           0
           2      0.2225    0.218531  0.00280665
           3    0.216426    0.217829  0.00195681
           4    0.201553     0.21376  0.00381723
           5     0.19812    0.210632   0.0041417
           6    0.215685    0.211474    0.003536
           7    0.218398    0.212464  0.00316618
           8    0.203699    0.211368  0.00295389
           9    0.212344    0.211476  0.00262767
          10    0.212102    0.211539  0.00236565
          11    0.215996    0.211944  0.00218501
          12    0.230123    0.213459  0.00247292
          13    0.233875    0.215029  0.00273629
          14    0.215705    0.215078  0.00254127
          15    0.219856    0.215396  0.00239174
          16    0.207306    0.214891  0.00229508
          17    0.216397    0.214979  0.00216179
          18    0.211411    0.214781  0.00205076
          19    0.227031    0.215426  0.00204165
          20    0.205099    0.214909   0.0020038
          21     0.20533    0.214453  0.00195962
          22    0.219814    0.214697  0.00188563
          23    0.203102    0.214193  0.00186983
          24    0.205427    0.213827  0.00182724
          25    0.221374    0.214129  0.00177891
          26    0.220703    0.214382  0.00172837
          27    0.199946    0.213847   0.0017451
          28    0.193064    0.213105  0.00183386
          29    0.214345    0.213148  0.00177112
          30    0.216085    0.213246  0.00171478
          31    0.228299    0.213731  0.00172685
          32     0.22767    0.214167  0.00172695
          33    0.207637    0.213969  0.00168592
          34    0.225687    0.214314  0.00167119
          35    0.218235    0.214426  0.00162719
          36    0.206721    0.214212    0.001596
          37    0.198542    0.213788  0.00160808
          38    0.224443    0.214069  0.00159002
          39    0.218425     0.21418  0.00155317
          40    0.206652    0.213992   0.0015257
          41    0.202764    0.213718  0.00151286
          42    0.217637    0.213812  0.00147971
          43    0.223018    0.214026  0.00146071
          44    0.231499    0.214423  0.00148051
          45    0.210032    0.214325  0.00145082
          46    0.219859    0.214446  0.00142426
          47    0.198995    0.214117  0.00143139
          48    0.213018    0.214094  0.00140175
          49    0.198314    0.213772  0.00140965
          50    0.199335    0.213483  0.00141072
          51    0.211703    0.213448  0.00138349
          52    0.226578    0.213701  0.00137973
          53     0.20092     0.21346  0.00137461
          54    0.210938    0.213413  0.00134995
          55    0.216895    0.213476  0.00132689
          56    0.204204    0.213311  0.00131348
          57    0.219805    0.213425  0.00129537
          58    0.211134    0.213385  0.00127364
          59    0.230362    0.213673  0.00128415
          60     0.19393    0.213344  0.00130422
          61    0.203858    0.213188  0.00129208
          62    0.191247    0.212834  0.00131881
          63    0.218136    0.212919  0.00130056
          64    0.214975    0.212951  0.00128064
          65    0.195853    0.212688  0.00128766
          66    0.194517    0.212412  0.00129725
          67    0.203959    0.212286  0.00128401
          68    0.209265    0.212242   0.0012659
          69    0.206186    0.212154  0.00125059
          70    0.190061    0.211838  0.00127193
          71     0.21723    0.211914  0.00125628
          72    0.195042     0.21168  0.00126049
          73     0.21352    0.211705  0.00124348
          74    0.209011    0.211669  0.00122721
          75    0.236064    0.211994  0.00125321
          76    0.215675    0.212042  0.00123766
          77    0.229682    0.212272   0.0012426
          78    0.203344    0.212157  0.00123193
          79    0.204587    0.212061  0.00122006
          80    0.222523    0.212192   0.0012118
          81    0.205596    0.212111  0.00119957
          82    0.222677    0.212239  0.00119184
          83    0.236143    0.212527  0.00121178
          84    0.195437    0.212324  0.00121431
          85    0.213628    0.212339  0.00120012
          86    0.211959    0.212335  0.00118618
          87    0.217347    0.212393  0.00117394
          88    0.199598    0.212247  0.00116957
          89    0.215848    0.212288  0.00115713
          90    0.206849    0.212227  0.00114585
          91    0.201471    0.212109  0.00113934
          92    0.215352    0.212144   0.0011275
          93    0.216274    0.212189  0.00111625
          94    0.199437    0.212053  0.00111259
          95    0.209548    0.212027  0.00110119
          96    0.192337    0.211822  0.00110865
          97    0.215514     0.21186  0.00109788
          98     0.20752    0.211815  0.00108756
          99    0.214867    0.211846  0.00107702
         100    0.195543    0.211683  0.00107851
