#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0951484   0.0951484           0
           2   0.0948035    0.094976 0.000121944
           3   0.0949693   0.0949737 8.13164e-05
           4   0.0952144   0.0950339 8.02189e-05
           5   0.0949838   0.0950239  6.4799e-05
           6   0.0947954   0.0949858  6.4217e-05
           7   0.0951244   0.0950056 5.80159e-05
           8   0.0948831   0.0949903 5.27458e-05
           9    0.107905   0.0964253  0.00135375
          10    0.111553   0.0979381   0.0018826
          11    0.129538    0.100811  0.00322977
          12    0.122284      0.1026  0.00342059
          13    0.115108    0.103562  0.00329001
          14    0.128676    0.105356  0.00351014
          15    0.125436    0.106695  0.00352214
          16    0.124818    0.107828  0.00347937
          17    0.112241    0.108087  0.00328437
          18    0.106939    0.108023  0.00310253
          19    0.103284    0.107774  0.00294925
          20    0.102525    0.107512  0.00281344
