#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.02448     3.02448           0
           2      3.0296     3.02704  0.00180912
           3     3.02717     3.02708  0.00120662
           4     3.02357      3.0262  0.00118249
           5     3.02689     3.02634 0.000953879
           6     3.02976     3.02691 0.000950188
           7      3.0249     3.02662 0.000856666
           8     3.02866     3.02688 0.000786428
           9     3.13924     3.03936   0.0117914
          10     3.39709     3.07513   0.0355572
          11     3.38595     3.10339     0.04208
          12     3.17527     3.10938   0.0389974
          13     3.25019     3.12021   0.0374716
          14     3.26647     3.13066   0.0362221
          15     3.39381      3.1482   0.0378178
          16     3.28794     3.15694   0.0364486
          17     3.34947     3.16826   0.0360211
          18     3.35019     3.17837   0.0354095
          19     3.28455     3.18396    0.033984
          20     3.28008     3.18876   0.0326228
