#   N_BLOCK:  ACCEPTANCE:
           1    0.354211
           2    0.353932
           3    0.354095
           4    0.353651
           5    0.353504
           6    0.352772
           7    0.352601
           8    0.353166
           9    0.352559
          10    0.352488
          11     0.35219
          12    0.352008
          13    0.352568
          14    0.352911
          15    0.352693
          16    0.352517
          17    0.352512
          18    0.352561
          19    0.352172
          20    0.352447
          21    0.352635
          22    0.352911
          23    0.352641
          24    0.352941
          25    0.353141
          26    0.352899
          27    0.353223
          28    0.353237
          29    0.353224
          30    0.353256
          31     0.35301
          32    0.352937
          33     0.35298
          34    0.353212
          35    0.353196
          36    0.353283
          37    0.353435
          38    0.353266
          39    0.353531
          40    0.353414
          41    0.353268
          42    0.353322
          43    0.353281
          44    0.353296
          45    0.353378
          46    0.353249
          47    0.353235
          48     0.35323
          49    0.353186
          50    0.353251
          51    0.353183
          52    0.353102
          53    0.353043
          54    0.353169
          55     0.35329
          56    0.353324
          57    0.353327
          58     0.35334
          59     0.35328
          60    0.353273
          61    0.353185
          62     0.35319
          63    0.353278
          64    0.353246
          65     0.35327
          66    0.353311
          67    0.353387
          68    0.353359
          69    0.353292
          70    0.353424
          71    0.353513
          72     0.35357
          73    0.353669
          74    0.353724
          75    0.353613
          76    0.353559
          77    0.353642
          78    0.353647
          79    0.353584
          80    0.353442
          81    0.353529
          82    0.353502
          83    0.353537
          84    0.353553
          85    0.353695
          86    0.353662
          87    0.353665
          88    0.353664
          89    0.353663
          90    0.353653
          91    0.353598
          92    0.353593
          93    0.353675
          94    0.353677
          95    0.353752
          96    0.353698
          97    0.353684
          98    0.353639
          99    0.353616
         100    0.353565
