#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1        0.12        0.12           0
           2     0.11876     0.11938 0.000438406
           3     0.10212    0.113627  0.00470666
           4     0.07256     0.10336  0.00956631
           5     0.02972    0.088632   0.0152348
           6      0.0956   0.0897933   0.0127399
           7      0.1048   0.0919371   0.0110988
           8     0.03364     0.08465    0.011865
           9     0.13836   0.0906178   0.0119536
          10     0.07716    0.089272   0.0108337
          11     0.04436   0.0851891   0.0105903
          12     0.06336     0.08337  0.00986277
          13     0.06592   0.0820277  0.00919498
          14     0.08636   0.0823371   0.0085434
          15     0.10372   0.0837627   0.0080919
          16     0.08128   0.0836075  0.00758764
          17     0.07836   0.0832988  0.00714759
          18     0.02924   0.0802956  0.00735444
          19     0.06956   0.0797305  0.00698903
          20     0.11912      0.0817  0.00691151
          21     0.04916   0.0801505  0.00675385
          22      0.0676     0.07958  0.00647091
          23     0.10876   0.0808487  0.00631271
          24     0.11564   0.0822983   0.0062139
          25     0.02368   0.0799536  0.00639243
          26     0.08508   0.0801508  0.00614961
          27     0.07524   0.0799689  0.00592453
          28     0.06672   0.0794957  0.00573181
          29     0.08868   0.0798124   0.0055429
          30      0.0694   0.0794653  0.00536899
          31     -0.0174   0.0763406  0.00603697
          32      0.0432    0.075305  0.00593649
          33      0.0066    0.073223  0.00611078
          34     0.03772   0.0721788  0.00601961
          35     0.03056   0.0709897  0.00596391
          36     0.09544   0.0716689  0.00583679
          37     0.09524   0.0723059   0.0057137
          38     0.12024   0.0735674  0.00570088
          39     0.04392   0.0728072  0.00560516
          40      0.0238    0.071582  0.00559733
          41       0.071   0.0715678  0.00546083
          42     0.07436   0.0716343  0.00533121
          43     0.02868   0.0706353  0.00529999
          44     0.01236   0.0693109  0.00534246
          45     0.04848    0.068848  0.00524375
          46     0.07496   0.0689809  0.00513144
          47     0.11504   0.0699609  0.00511498
          48      0.1084   0.0707617  0.00507072
          49     0.05504   0.0704408  0.00497738
          50     0.04464   0.0699248  0.00490451
          51     0.06168   0.0697631    0.004811
          52     0.12316     0.07079  0.00482683
          53     0.06176   0.0706196  0.00473876
          54     0.11728   0.0714837  0.00472913
          55     0.10616   0.0721142  0.00468499
          56      0.0578   0.0718586  0.00460829
          57     0.04252   0.0713439   0.0045561
          58      0.0244   0.0705345  0.00454887
          59     0.05636   0.0702942  0.00447811
          60     0.04644   0.0698967  0.00442109
          61       0.051   0.0695869  0.00435945
          62     0.05944   0.0694232  0.00429221
          63     0.08888   0.0697321  0.00423517
          64     0.04432    0.069335  0.00418757
          65     0.07636   0.0694431  0.00412454
          66      0.0518   0.0691758   0.0040707
          67     0.09692   0.0695899  0.00403095
          68     0.04108   0.0691706  0.00399342
          69     0.08956   0.0694661  0.00394646
          70     0.02412   0.0688183  0.00394289
          71     0.12596   0.0696231  0.00396864
          72     0.05648   0.0694406  0.00391772
          73     0.08164   0.0696077  0.00386762
          74     0.04392   0.0692605   0.0038309
          75      0.0766   0.0693584  0.00378107
          76     0.06828   0.0693442  0.00373134
          77     0.15528   0.0704603  0.00384617
          78     0.12272   0.0711303  0.00385478
          79     0.10644   0.0715772  0.00383181
          80     0.00664   0.0707655  0.00386893
          81     0.03576   0.0703333  0.00384522
          82       0.047   0.0700488  0.00380885
          83     0.01668   0.0694058  0.00381684
          84     0.04764   0.0691467  0.00378019
          85     0.08864    0.069376  0.00374267
          86     0.02804   0.0688953  0.00372989
          87     0.03716   0.0685306  0.00370481
          88     0.14184   0.0693636   0.0037552
          89     0.13632    0.070116  0.00378762
          90     0.03472   0.0697227   0.0037659
          91     0.10656   0.0701275  0.00374621
          92     0.00496   0.0694191  0.00377186
          93      0.0942   0.0696856   0.0037407
          94     0.12168   0.0702387  0.00374158
          95     0.06096   0.0701411  0.00370347
          96       0.076   0.0702021  0.00366539
          97       0.137   0.0708907  0.00369173
          98     0.12076   0.0713996  0.00368896
          99     0.04664   0.0711495  0.00366017
         100     0.01324   0.0705704  0.00366909
