# BLOCK:     DISTANCE:    ACTUAL_GOFR:    GOFR_AVE:    ERROR:
           2     1.78265    0.854434    0.849907  0.00320075
           2      1.8083    0.897176    0.891824  0.00378458
           2     1.83395    0.941425    0.938275    0.002227
           2      1.8596    0.980104    0.977508  0.00183559
           2     1.88525      1.0271     1.02151  0.00395344
           2      1.9109     1.06174     1.05861  0.00221675
           2     1.93655     1.10032     1.09799  0.00164793
           2      1.9622     1.13149     1.13385  0.00166843
           2     1.98785     1.16268     1.16463  0.00138149
           2      2.0135     1.18665     1.18545 0.000846738
           2     2.03915     1.20435      1.2102   0.0041364
           2      2.0648     1.21646     1.21793  0.00104222
           2     2.09045     1.21636     1.21873  0.00167685
           2      2.1161      1.2084     1.21215  0.00265709
           2     2.14174     1.19349       1.197  0.00248202
           2     2.16739     1.17612     1.18156  0.00384407
           2     2.19304     1.15287     1.15283 2.21733e-05
           2     2.21869     1.12505     1.12866  0.00255217
           2     2.24434      1.0977     1.09759 7.15789e-05
           2     2.26999     1.06482     1.06429 0.000377446
           2     2.29564     1.03388     1.03501 0.000798825
           2     2.32129      1.0109     1.00976 0.000808599
           2     2.34694    0.983674    0.985168  0.00105654
           2     2.37259    0.965914    0.963439   0.0017501
           2     2.39824    0.943573    0.944318 0.000527102
           2     2.42389    0.928855    0.930047 0.000842722
           2     2.44954     0.91535    0.913959 0.000983429
           2     2.47519    0.902897    0.905715  0.00199262
           2     2.50084    0.892392    0.892931 0.000381621
           2     2.52649    0.884443    0.886399  0.00138347
           2     2.55214    0.884541    0.883101  0.00101822

           3   0.0128248           0           0           0
           3   0.0384745           0           0           0
           3   0.0641241           0           0           0
           3   0.0897737           0           0           0
           3    0.115423           0           0           0
           3    0.141073           0           0           0
           3    0.166723           0           0           0
           3    0.192372           0           0           0
           3    0.218022           0           0           0
           3    0.243672           0           0           0
           3    0.269321           0           0           0
           3    0.294971           0           0           0
           3     0.32062           0           0           0
           3     0.34627           0           0           0
           3     0.37192           0           0           0
           3    0.397569           0           0           0
           3    0.423219           0           0           0
           3    0.448869           0           0           0
           3    0.474518           0           0           0
           3    0.500168           0           0           0
           3    0.525818           0           0           0
           3    0.551467           0           0           0
           3    0.577117           0           0           0
           3    0.602767           0           0           0
           3    0.628416           0           0           0
           3    0.654066           0           0           0
           3    0.679715           0           0           0
           3    0.705365           0           0           0
           3    0.731015           0           0           0
           3    0.756664           0           0           0
           3    0.782314           0           0           0
           3    0.807964           0           0           0
           3    0.833613           0           0           0
           3    0.859263 1.94523e-05  6.4841e-06 5.29424e-06
           3    0.884913  0.00150397  0.00124108 0.000121148
           3    0.910562    0.025256   0.0243552 0.000465739
           3    0.936212    0.166353    0.164409  0.00130445
           3    0.961861    0.565975    0.560961  0.00206169
           3    0.987511     1.19966     1.19492  0.00235457
           3     1.01316     1.88167     1.85739     0.01081
           3     1.03881     2.33686     2.33168  0.00602181
           3     1.06446     2.54752     2.54896  0.00361578
           3     1.09011      2.5375        2.54  0.00311177
           3     1.11576      2.3925     2.40236   0.0062019
           3     1.14141     2.19105     2.20347  0.00593929
           3     1.16706     1.96453     1.97396  0.00598011
           3     1.19271     1.74543     1.76223  0.00722477
           3     1.21836     1.55285     1.56859  0.00773486
           3     1.24401     1.38963     1.39609  0.00274179
           3     1.26966     1.24913     1.25392  0.00565419
           3     1.29531     1.13194     1.13249  0.00298251
           3     1.32096     1.01906     1.02778  0.00397726
           3     1.34661    0.949963     0.94727  0.00109983
           3     1.37226    0.872231    0.874501  0.00108996
           3     1.39791    0.821002    0.817925   0.0012572
           3     1.42355    0.785511    0.777712  0.00320007
           3      1.4492    0.748412    0.738812  0.00400728
           3     1.47485     0.71335    0.709108  0.00189645
           3      1.5005    0.695582    0.687574  0.00366794
           3     1.52615    0.684787    0.675915   0.0036299
           3      1.5518     0.67457      0.6688  0.00235605
           3     1.57745    0.675611    0.668435  0.00327399
           3      1.6031    0.674961    0.673756  0.00103939
           3     1.62875     0.68576    0.684271 0.000616572
           3      1.6544    0.698309    0.695803  0.00104205
           3     1.68005    0.721365    0.717732  0.00236519
           3      1.7057    0.748599     0.74822  0.00252277
           3     1.73135    0.780114    0.778008  0.00209863
           3       1.757    0.815574    0.814918 0.000286584
           3     1.78265    0.849105     0.84964  0.00214497
           3      1.8083     0.89252    0.892056  0.00253016
           3     1.83395    0.932632    0.936394   0.0021362
           3      1.8596    0.973234    0.976083  0.00168836
           3     1.88525       1.012     1.01834  0.00369267
           3      1.9109     1.05673     1.05798  0.00156392
           3     1.93655     1.08463     1.09354  0.00379767
           3      1.9622     1.12173     1.12981  0.00348169
           3     1.98785     1.15183     1.16036  0.00360341
           3      2.0135     1.17826     1.18305  0.00203623
           3     2.03915     1.19891     1.20643  0.00412734
           3      2.0648     1.21237     1.21608  0.00166524
           3     2.09045     1.21403     1.21716  0.00169918
           3      2.1161     1.20758     1.21063  0.00216534
           3     2.14174     1.19505     1.19635  0.00173751
           3     2.16739      1.1782     1.18044  0.00272101
           3     2.19304     1.15292     1.15286 2.67981e-05
           3     2.21869     1.12925     1.12885  0.00170899
           3     2.24434     1.10558     1.10026   0.0021747
           3     2.26999     1.07185     1.06681  0.00207389
           3     2.29564      1.0478     1.03927  0.00352204
           3     2.32129     1.01937     1.01296  0.00267032
           3     2.34694     1.00377    0.991369  0.00511181
           3     2.37259    0.978149    0.968342  0.00417002
           3     2.39824       0.953    0.947212  0.00238886
           3     2.42389    0.937304    0.932466  0.00205348
           3     2.44954    0.921636    0.916518  0.00218981
           3     2.47519    0.909027    0.906819  0.00160547
           3     2.50084    0.894679    0.893514 0.000539425
           3     2.52649     0.88622     0.88634   0.0009236
           3     2.55214    0.883282    0.883162 0.000680594

           4   0.0128248           0           0           0
           4   0.0384745           0           0           0
           4   0.0641241           0           0           0
           4   0.0897737           0           0           0
           4    0.115423           0           0           0
           4    0.141073           0           0           0
