#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.48718    -5.48718           0
           2    -5.49775    -5.49246  0.00373723
           3    -5.43693    -5.47395   0.0153177
           4    -5.45133     -5.4683   0.0124891
           5    -5.50875    -5.47639   0.0123366
           6    -5.38579    -5.46129   0.0171958
           7    -5.42942    -5.45674   0.0153299
           8    -5.45099    -5.45602   0.0134305
           9    -5.48052    -5.45874   0.0122111
          10    -5.44267    -5.45713   0.0110952
          11    -5.49491    -5.46057   0.0106047
          12    -5.47732    -5.46196   0.0098124
          13    -5.45409    -5.46136   0.0090763
          14    -5.43239    -5.45929   0.0086606
          15    -5.47743     -5.4605  0.00816725
          16     -5.5416    -5.46557  0.00909481
          17    -5.45378    -5.46487  0.00858622
          18    -5.43827     -5.4634  0.00823541
          19    -5.45472    -5.46294  0.00781463
          20     -5.3772    -5.45865  0.00851902
          21    -5.44405    -5.45796  0.00814167
          22    -5.47215     -5.4586  0.00779712
          23    -5.40538    -5.45629  0.00779399
          24    -5.48112    -5.45732   0.0075376
          25    -5.47366    -5.45798  0.00726435
          26     -5.5193    -5.46034  0.00735789
          27    -5.47698    -5.46095  0.00711114
          28    -5.49065    -5.46201  0.00693583
          29    -5.50844    -5.46361  0.00687896
          30    -5.50772    -5.46508  0.00680494
          31     -5.4789    -5.46553  0.00660001
          32    -5.49892    -5.46657  0.00647571
          33    -5.52221    -5.46826  0.00649521
          34    -5.46571    -5.46818  0.00630461
          35    -5.51297    -5.46946    0.006253
          36    -5.42319    -5.46818  0.00620999
          37    -5.46414    -5.46807  0.00604312
          38    -5.47164    -5.46816  0.00588482
          39    -5.45418     -5.4678  0.00574484
          40    -5.52976    -5.46935  0.00580629
          41    -5.54677    -5.47124  0.00596379
          42    -5.49798    -5.47188  0.00585567
          43    -5.54451    -5.47357  0.00595811
          44    -5.48571    -5.47384  0.00582908
          45    -5.42817    -5.47283  0.00578722
          46    -5.46672    -5.47269  0.00566293
          47    -5.51638    -5.47362  0.00561819
          48    -5.50945    -5.47437   0.0055505
          49    -5.47569     -5.4744  0.00543729
          50    -5.49269    -5.47476  0.00534084
          51    -5.50081    -5.47527  0.00526049
          52    -5.46463    -5.47507   0.0051633
          53    -5.49247     -5.4754  0.00507631
          54     -5.4802    -5.47549  0.00498309
          55    -5.46003    -5.47521  0.00490041
