# BLOCK:     DISTANCE:    ACTUAL_GOFR:    GOFR_AVE:    ERROR:
           2      1.8083    0.874076    0.870083  0.00282329
           2     1.83395    0.923429    0.928101  0.00330351
           2      1.8596     1.00095     0.98028   0.0146127
           2     1.88525     1.01207     1.01487  0.00198029
           2      1.9109     1.05608     1.05299  0.00218755
           2     1.93655     1.09978     1.09092  0.00626266
           2      1.9622     1.12792      1.1293 0.000979958
           2     1.98785     1.15435     1.15155  0.00197649
           2      2.0135     1.18196     1.19183  0.00698308
           2     2.03915     1.19972     1.21906   0.0136708
           2      2.0648     1.21541      1.2334   0.0127174
           2     2.09045     1.18875      1.2044   0.0110697
           2      2.1161      1.1989     1.20327  0.00309597
           2     2.14174     1.18244     1.18554  0.00219197
           2     2.16739     1.16276     1.16752  0.00336842
           2     2.19304     1.14701     1.14799 0.000696874
           2     2.21869     1.12403     1.12539 0.000966607
           2     2.24434     1.06731     1.07825   0.0077396
           2     2.26999      1.0707     1.06699  0.00262439
           2     2.29564     1.04391     1.04403 8.57604e-05
           2     2.32129     1.01005     1.00727  0.00196966
           2     2.34694     0.99023    0.985785  0.00314288
           2     2.37259     0.95667    0.960673  0.00283082
           2     2.39824    0.928687    0.933027  0.00306902
           2     2.42389    0.925907    0.927006 0.000777033
           2     2.44954    0.908066    0.906696 0.000969042
           2     2.47519    0.890263    0.901724  0.00810474
           2     2.50084    0.907345    0.906752 0.000418971
           2     2.52649    0.896582    0.889808  0.00479005
           2     2.55214    0.903056    0.891516  0.00815978

           3   0.0128248           0           0           0
           3   0.0384745           0           0           0
           3   0.0641241           0           0           0
           3   0.0897737           0           0           0
           3    0.115423           0           0           0
           3    0.141073           0           0           0
           3    0.166723           0           0           0
           3    0.192372           0           0           0
           3    0.218022           0           0           0
           3    0.243672           0           0           0
           3    0.269321           0           0           0
           3    0.294971           0           0           0
           3     0.32062           0           0           0
           3     0.34627           0           0           0
           3     0.37192           0           0           0
           3    0.397569           0           0           0
           3    0.423219           0           0           0
           3    0.448869           0           0           0
           3    0.474518           0           0           0
           3    0.500168           0           0           0
           3    0.525818           0           0           0
           3    0.551467           0           0           0
           3    0.577117           0           0           0
           3    0.602767           0           0           0
           3    0.628416           0           0           0
           3    0.654066           0           0           0
           3    0.679715           0           0           0
           3    0.705365           0           0           0
           3    0.731015           0           0           0
           3    0.756664           0           0           0
           3    0.782314           0           0           0
           3    0.807964           0           0           0
           3    0.833613           0           0           0
           3    0.859263           0           0           0
           3    0.884913 0.000568572  0.00108824 0.000276448
           3    0.910562   0.0296905   0.0252387  0.00214494
           3    0.936212    0.189982    0.181101  0.00531443
           3    0.961861    0.598311     0.59206  0.00450318
           3    0.987511     1.21567     1.22343  0.00749626
           3     1.01316     1.84632     1.87861    0.016835
           3     1.03881      2.3399     2.33673  0.00965793
           3     1.06446     2.56183     2.53977   0.0109333
           3     1.09011     2.53441     2.53448  0.00307396
           3     1.11576      2.4413     2.39911   0.0191253
           3     1.14141     2.21518     2.18192    0.018597
           3     1.16706     1.94946     1.93914   0.0112804
           3     1.19271     1.72479     1.72868  0.00290604
           3     1.21836     1.54885     1.55315  0.00238453
           3     1.24401     1.40367     1.39617   0.0108241
           3     1.26966     1.22262     1.24282   0.0151273
           3     1.29531     1.11769     1.13063   0.0126718
           3     1.32096    0.994439     1.01963   0.0178143
           3     1.34661    0.925655    0.941177   0.0137511
           3     1.37226    0.861537    0.860134  0.00406402
           3     1.39791    0.817166     0.80617  0.00449328
           3     1.42355    0.777906    0.771317  0.00374648
           3      1.4492    0.738468    0.732958  0.00318059
           3     1.47485    0.718883    0.712372  0.00266072
           3      1.5005    0.693757    0.694984  0.00142466
           3     1.52615    0.680698    0.684429  0.00184715
           3      1.5518    0.686594    0.683536  0.00783779
           3     1.57745    0.680852    0.683784  0.00618743
           3      1.6031      0.6843    0.686157  0.00788637
           3     1.62875    0.680617    0.687193  0.00559888
           3      1.6544    0.713722    0.710237  0.00470041
           3     1.68005    0.726637    0.734341  0.00490122
           3      1.7057    0.748826    0.759787  0.00447524
           3     1.73135    0.790205    0.791486  0.00103222
           3       1.757    0.816616    0.823958  0.00516891
           3     1.78265    0.839193    0.845665  0.00793361
