#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     10.7017     10.7017           0
           2     6.75368     8.72768     1.39583
           3     7.26336     8.23957      1.0123
           4     6.46856     7.79682    0.850559
           5     5.81952     7.40136    0.766889
           6     6.71984     7.28777    0.647432
           7     7.15512     7.26882    0.555219
           8     7.03776     7.23994    0.486567
           9     6.58424     7.16708    0.437925
          10     8.12472     7.26285    0.404467
          11     7.98736     7.32871    0.373022
          12     9.45504     7.50591    0.381709
          13     4.81008     7.29854    0.404776
          14     5.57824     7.17566    0.394073
          15     8.46896     7.26188    0.377116
          16     7.43816     7.27289    0.353707
          17     5.21776       7.152    0.352956
          18     6.50888     7.11628     0.33515
          19     7.06936     7.11381     0.31752
          20     8.78008     7.19712    0.312383
          21     7.14768     7.19477    0.297517
          22     8.63376     7.26017    0.291094
          23     7.13632     7.25479    0.278488
          24     4.67288     7.14721    0.286912
          25     7.36136     7.15578    0.275563
          26     6.88232     7.14526    0.265165
          27     4.89248     7.06182     0.26815
          28     7.76872     7.08707    0.259759
          29     7.02368     7.08488    0.250811
          30     7.72256     7.10614     0.24335
          31      8.7624     7.15957    0.241293
          32        9.22     7.22396    0.242192
          33     7.57928     7.23472    0.235092
          34     8.13552     7.26122    0.229665
          35     9.17072     7.31577    0.229492
          36     5.82408     7.27434    0.226827
          37      9.8288     7.34338    0.230965
          38     6.57648      7.3232    0.225767
          39     5.72184     7.28214     0.22368
          40     9.47368     7.33692    0.224698
          41     10.2695     7.40845    0.230321
          42     6.69672      7.3915     0.22546
          43      5.8112     7.35475    0.223192
          44     7.78088     7.36444    0.218329
          45       8.594     7.39176     0.21518
          46     6.23888      7.3667    0.211957
          47      7.1492     7.36207    0.207498
          48     6.77944     7.34993     0.20353
          49     7.99448     7.36309    0.199801
          50     6.65192     7.34886     0.19631
          51      7.4312     7.35048    0.192468
          52     6.76432     7.33921    0.189096
          53     8.07904     7.35317    0.186043
          54     7.26136     7.35147    0.182605
          55     5.36992     7.31544    0.182805
          56      5.9576     7.29119    0.181141
          57     7.08576     7.28759    0.177999
          58      6.0676     7.26655    0.176169
          59     8.50072     7.28747     0.17442
          60     6.66368     7.27707    0.171823
          61       5.386     7.24607     0.17178
          62     7.46376     7.24958    0.169045
          63     8.24416     7.26537    0.167098
          64     8.20056     7.27998    0.165124
          65     5.09064      7.2463    0.165984
          66     8.74568     7.26902    0.165016
          67     8.34136     7.28502    0.163328
          68     6.60784     7.27506    0.161229
          69     5.47472     7.24897     0.16099
          70     6.27312     7.23503    0.159292
          71     8.80128     7.25709    0.158569
          72     8.85352     7.27926    0.157909
          73     7.73224     7.28547    0.155868
          74     6.80456     7.27897    0.153897
          75      5.0972     7.24988     0.15457
          76     7.68168     7.25556    0.152641
          77     6.68968     7.24821    0.150835
          78     7.41432     7.25034    0.148916
          79     7.71216     7.25619    0.147146
          80     7.06696     7.25382    0.145326
          81      6.5808     7.24551    0.143769
          82     9.85824     7.27738    0.145503
          83     6.06008     7.26271    0.144488
          84     6.53968      7.2541    0.143024
          85     6.37592     7.24377    0.141714
          86      7.6908     7.24897    0.140161
          87     7.89376     7.25638    0.138746
          88     7.51912     7.25937    0.137201
          89     6.65584     7.25259    0.135827
          90     7.87616     7.25951    0.134495
          91     10.0038     7.28967    0.136356
          92     9.25712     7.31106     0.13654
          93     6.58048      7.3032    0.135298
          94     7.38624     7.30408    0.133861
          95     11.5543     7.34882    0.139729
          96     7.68152     7.35229    0.138316
          97     7.04576     7.34913    0.136927
          98     6.04432     7.33581    0.136175
          99     5.93552     7.32167    0.135532
         100     6.85152     7.31697    0.134258
