#   N_BLOCK:  ACCEPTANCE:
           1     0.28274
           2     0.28152
           3    0.281795
           4    0.282091
           5    0.281793
           6    0.281171
           7    0.280533
           8    0.279962
           9    0.279566
          10    0.279592
          11    0.278904
          12     0.27873
          13    0.278697
          14    0.278247
          15    0.277992
          16    0.277939
          17     0.27813
          18    0.278255
          19    0.278059
          20    0.278157
          21    0.278306
          22    0.278593
          23    0.278671
          24    0.278672
          25    0.278324
          26    0.278074
          27    0.278068
          28    0.277845
          29    0.278148
          30    0.278315
          31    0.278368
          32    0.278402
          33    0.278758
          34     0.27883
          35    0.278575
          36    0.278561
          37    0.278566
          38    0.278689
          39    0.278833
          40    0.278695
          41    0.278693
          42    0.278688
          43    0.278634
          44    0.278677
          45     0.27864
          46    0.278339
          47    0.278286
          48    0.278319
          49    0.278452
          50    0.278585
          51    0.278689
          52    0.278756
          53     0.27891
          54    0.278927
          55    0.278845
          56    0.278865
          57    0.278864
          58    0.278981
          59    0.279072
          60    0.278887
          61    0.278949
          62    0.278902
          63    0.278873
          64    0.278952
          65    0.278995
          66     0.27902
          67    0.278846
          68    0.278802
          69    0.278752
          70    0.278806
          71    0.278729
          72    0.278673
          73    0.278772
          74     0.27889
          75    0.278861
          76    0.279023
          77    0.279112
          78     0.27905
          79    0.279011
          80    0.278914
          81    0.278948
          82    0.278889
          83    0.278832
          84    0.278834
          85    0.278847
          86    0.278936
          87     0.27891
          88    0.278871
          89    0.278794
          90    0.278797
          91    0.278696
          92    0.278775
          93    0.278874
          94    0.278844
          95    0.278914
          96    0.278898
          97    0.278946
          98    0.279006
          99    0.279119
         100    0.279062
