#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.06616     0.06616           0
           2     0.02872     0.04744    0.013237
           3     0.00844     0.03444   0.0138037
           4    -0.01616     0.02179    0.015073
           5     0.11372    0.040176   0.0203922
           6     0.07616   0.0461733   0.0178536
           7     0.06496   0.0488571   0.0155035
           8     0.05308    0.049385   0.0135746
           9      0.0418   0.0485422   0.0120924
          10     0.07176    0.050864   0.0111038
          11     0.00784   0.0469527   0.0107612
          12     0.03336     0.04582   0.0099239
          13     0.08204   0.0486062  0.00954362
          14     0.06948   0.0500971  0.00897764
          15      0.0708   0.0514773  0.00848456
          16     0.01636   0.0492825  0.00823327
          17     0.06176   0.0500165  0.00778161
          18     0.08564   0.0519956   0.0075968
          19     0.07148   0.0530211  0.00726585
          20      0.0818     0.05446  0.00704361
          21     0.08044   0.0556971  0.00681598
          22     0.08952   0.0572345   0.0066773
          23     -0.0046   0.0545461  0.00690703
          24     0.07888     0.05556  0.00669324
          25     0.12564   0.0583632   0.0069879
          26      0.0616   0.0584877  0.00672025
          27     0.12984   0.0611304  0.00697162
          28    -0.01476     0.05842  0.00723032
          29      0.0968   0.0597434  0.00710109
          30     0.09876    0.061044  0.00698247
          31     0.10448   0.0624452  0.00689638
          32     0.13912   0.0648413   0.0070849
          33     0.07292   0.0650861  0.00687443
          34      0.0798   0.0655188  0.00668585
          35     0.07096   0.0656743  0.00649663
          36     0.09416   0.0664656  0.00636418
          37     0.04964   0.0660108   0.0062084
          38     0.04012   0.0653295  0.00608229
          39     0.07468   0.0655692  0.00593106
          40     0.13692    0.067353  0.00604507
          41     0.04712   0.0668595  0.00591774
          42    -0.00596   0.0651257  0.00602547
          43     0.04768     0.06472  0.00589899
          44     0.08436   0.0651664  0.00578179
          45     0.10224   0.0659902   0.0057117
          46     0.04536   0.0655417  0.00560511
          47    -0.01768   0.0637711  0.00575874
          48     0.03776   0.0632292  0.00566421
          49     0.01948   0.0623363  0.00561854
          50     0.05296   0.0621488   0.0055093
          51    -0.00332   0.0608651  0.00554881
          52      0.0574   0.0607985  0.00544251
          53      0.0598   0.0607796  0.00533985
          54      0.0824     0.06118  0.00525595
          55     0.02872   0.0605898  0.00519342
          56     0.01712   0.0598136  0.00515837
          57      0.0144   0.0590168  0.00512903
          58     0.09584   0.0596517  0.00507974
          59    -0.00372   0.0585776  0.00510594
          60     0.07556   0.0588607  0.00502868
          61     0.01352   0.0581174  0.00500087
          62     0.06624   0.0582484  0.00492193
          63      0.0826   0.0586349  0.00485895
          64     0.07364   0.0588694  0.00478869
          65     0.08152   0.0592178  0.00472768
          66     0.06592   0.0593194  0.00465713
          67     0.08736   0.0597379  0.00460639
          68     0.00104   0.0588747  0.00461882
          69      0.0766   0.0591316  0.00455902
          70        0.06    0.059144  0.00449391
          71     0.04888   0.0589994  0.00443294
          72       0.048   0.0588467    0.004374
          73     0.14992   0.0600942  0.00448848
          74      0.0642   0.0601497  0.00442817
          75     0.00732   0.0594453   0.0044248
          76     0.06504   0.0595189  0.00436719
          77     0.03652   0.0592203  0.00432067
          78     0.00272   0.0584959  0.00432557
          79     0.13088   0.0594122  0.00436678
          80      0.0602    0.059422  0.00431221
          81     0.04364   0.0592272  0.00426337
          82     0.02212   0.0587746  0.00423533
          83     0.02684   0.0583899  0.00420174
          84     0.09332   0.0588057  0.00417224
          85     0.09244   0.0592014  0.00414188
          86     0.06756   0.0592986  0.00409486
          87     0.05868   0.0592915   0.0040478
          88     0.08828   0.0596209  0.00401518
          89     0.03352   0.0593276  0.00398076
          90      0.0338    0.059044  0.00394663
          91      0.0308   0.0587336  0.00391544
          92     0.05776    0.058723   0.0038729
          93     0.08984   0.0590576  0.00384568
          94     0.06228   0.0590919  0.00380492
          95     0.07352   0.0592438   0.0037679
          96     0.00224     0.05865  0.00377515
          97     0.08628   0.0589348  0.00374696
          98     0.01504   0.0584869   0.0037354
          99     0.06344    0.058537    0.003698
         100     0.02252   0.0581768  0.00367852
