#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.63648    -0.63648           0
           2    -0.60568    -0.62108   0.0108894
           3     -0.6104    -0.61752  0.00781993
           4    -0.62072    -0.61832  0.00590573
           5    -0.61312    -0.61728  0.00481528
           6     -0.6216      -0.618  0.00406621
           7    -0.61032   -0.616903  0.00363032
           8    -0.61192    -0.61628  0.00322952
           9    -0.62384    -0.61712  0.00297792
          10    -0.60496   -0.615904  0.00291786
          11     -0.6104   -0.615404  0.00269516
          12    -0.61448   -0.615327  0.00247166
          13    -0.60816   -0.614775  0.00234221
          14    -0.60512   -0.614086  0.00227418
          15     -0.6188     -0.6144  0.00214417
          16    -0.62176    -0.61486  0.00205891
          17    -0.60824   -0.614471  0.00197428
          18      -0.612   -0.614333  0.00186937
          19    -0.61312   -0.614269  0.00177207
          20      -0.616   -0.614356  0.00168558
          21    -0.60832   -0.614069  0.00162963
          22     -0.6208   -0.614375  0.00158402
          23     -0.6104   -0.614202  0.00152455
          24    -0.61424   -0.614203  0.00146103
          25    -0.60856   -0.613978  0.00141992
          26    -0.62168   -0.614274  0.00139587
          27    -0.60144   -0.613799   0.0014228
          28    -0.61128   -0.613709  0.00137482
          29    -0.61792   -0.613854  0.00133506
          30    -0.62016   -0.614064  0.00130701
          31    -0.60688   -0.613832  0.00128523
          32    -0.61016   -0.613718  0.00125017
          33    -0.61544    -0.61377  0.00121338
          34     -0.6152   -0.613812  0.00117842
          35    -0.62704    -0.61419  0.00120384
          36    -0.61416   -0.614189   0.0011704
          37    -0.61056   -0.614091  0.00114287
          38     -0.6048   -0.613846  0.00113864
          39    -0.60536   -0.613629  0.00113005
          40      -0.624   -0.613888  0.00113115
          41    -0.60968   -0.613785  0.00110821
          42    -0.61432   -0.613798   0.0010819
          43     -0.6228   -0.614007   0.0010768
          44    -0.61968   -0.614136  0.00106002
          45    -0.60992   -0.614043  0.00104059
          46     -0.6128   -0.614016  0.00101832
          47    -0.61104   -0.613952 0.000998622
          48     -0.6108   -0.613887 0.000979974
          49    -0.62344   -0.614082 0.000979177
          50    -0.61072   -0.614014 0.000961899
          51    -0.61152   -0.613965 0.000944281
          52    -0.61568   -0.613998 0.000926697
          53    -0.60808   -0.613887 0.000915915
          54    -0.61968   -0.613994 0.000905215
          55    -0.61376    -0.61399 0.000888767
          56    -0.61856   -0.614071 0.000876635
          57    -0.61328   -0.614058 0.000861365
          58    -0.61184   -0.614019 0.000847362
          59    -0.61576   -0.614049 0.000833514
          60    -0.61744   -0.614105 0.000821536
          61    -0.60968   -0.614033 0.000811265
          62    -0.61112   -0.613986 0.000799539
          63      -0.616   -0.614018 0.000787487
          64    -0.62352   -0.614166 0.000789055
          65      -0.608   -0.614071 0.000782597
          66     -0.6244   -0.614228 0.000786231
          67    -0.61176   -0.614191 0.000775358
          68    -0.61504   -0.614204 0.000764057
          69    -0.61096   -0.614157 0.000754428
          70    -0.62192   -0.614267 0.000751758
          71    -0.61176   -0.614232 0.000741999
          72    -0.60464   -0.614099 0.000743558
          73    -0.62728   -0.614279 0.000754977
          74    -0.61584   -0.614301 0.000745069
          75    -0.60912   -0.614231  0.00073833
          76    -0.62432   -0.614364 0.000740452
          77    -0.61488   -0.614371 0.000730866
          78    -0.62096   -0.614455 0.000726361
          79    -0.60992   -0.614398 0.000719432
          80     -0.6216   -0.614488  0.00071605
          81     -0.6284    -0.61466 0.000727517
          82    -0.61456   -0.614659 0.000718645
          83    -0.61352   -0.614645 0.000710118
          84     -0.6288   -0.614813 0.000721382
          85    -0.61072   -0.614765   0.0007145
          86    -0.61216   -0.614735 0.000706834
          87    -0.61656   -0.614756 0.000699021
          88     -0.6108   -0.614711 0.000692521
          89     -0.6116   -0.614676 0.000685622
          90    -0.60512    -0.61457 0.000686176
          91    -0.61784   -0.614606 0.000679576
          92    -0.61096   -0.614566 0.000673344
          93    -0.61752   -0.614598 0.000666852
          94    -0.61608   -0.614614 0.000659944
          95    -0.61032   -0.614568 0.000654543
          96    -0.61816   -0.614606 0.000648793
          97    -0.60816   -0.614539 0.000645499
          98    -0.61664   -0.614561 0.000639268
          99    -0.61408   -0.614556 0.000632829
         100    -0.61768   -0.614587 0.000627272
