#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.55192    -0.55192           0
           2    -0.56424    -0.55808  0.00435578
           3    -0.55264   -0.556267  0.00325952
           4    -0.56472    -0.55838  0.00305383
           5     -0.5532   -0.557344  0.00261289
           6    -0.55864    -0.55756  0.00218632
           7    -0.55648   -0.557406  0.00187943
           8    -0.55824    -0.55751  0.00164739
           9    -0.56072   -0.557867  0.00150246
          10    -0.54656   -0.556736  0.00172599
          11    -0.55504   -0.556582  0.00157595
          12     -0.5672   -0.557467  0.00167471
          13    -0.54024   -0.556142  0.00200266
          14    -0.55256   -0.555886  0.00187588
          15    -0.56168   -0.556272  0.00179015
          16    -0.55896    -0.55644  0.00168613
          17    -0.55256   -0.556212  0.00160232
          18    -0.54432   -0.555551  0.00164387
          19     -0.5612   -0.555848  0.00158401
          20    -0.54504   -0.555308  0.00159433
          21     -0.5432   -0.554731  0.00161931
          22    -0.54488   -0.554284  0.00160643
          23    -0.54968   -0.554083  0.00154901
          24    -0.55024   -0.553923  0.00149272
          25    -0.55288   -0.553882  0.00143359
          26    -0.54848   -0.553674  0.00139343
          27    -0.55176   -0.553603  0.00134362
          28    -0.55656   -0.553709  0.00129978
          29    -0.54696   -0.553476  0.00127562
          30    -0.54912   -0.553331  0.00124134
          31     -0.5576   -0.553468  0.00120891
          32    -0.54256   -0.553128  0.00121824
          33    -0.55728   -0.553253  0.00118781
          34      -0.552   -0.553216  0.00115344
          35    -0.55944   -0.553394  0.00113411
          36    -0.55192   -0.553353  0.00110335
          37    -0.55352   -0.553358  0.00107354
          38    -0.55752   -0.553467  0.00105086
          39    -0.54176   -0.553167  0.00106593
          40    -0.55856   -0.553302  0.00104777
          41    -0.57016   -0.553713  0.00109994
          42      -0.552   -0.553672   0.0010745
          43    -0.56232   -0.553873  0.00106817
          44     -0.5516   -0.553822  0.00104514
          45    -0.54984   -0.553733  0.00102566
          46    -0.55432   -0.553746  0.00100344
          47    -0.55512   -0.553775 0.000982514
          48      -0.556   -0.553822 0.000963138
          49     -0.5492   -0.553727 0.000948089
          50    -0.55344   -0.553722 0.000929145
          51    -0.55312    -0.55371 0.000911001
          52    -0.56624   -0.553951 0.000924801
          53    -0.55096   -0.553894 0.000909072
          54    -0.54976   -0.553818 0.000895456
          55    -0.56064   -0.553942 0.000887724
          56    -0.54808   -0.553837 0.000878022
          57    -0.55712   -0.553895 0.000864505
          58     -0.5584   -0.553972 0.000853082
          59    -0.55944   -0.554065 0.000843642
          60    -0.56056   -0.554173 0.000836497
          61    -0.56312    -0.55432 0.000835543
          62    -0.54872    -0.55423 0.000826934
          63    -0.55208   -0.554196 0.000814511
          64    -0.56824   -0.554415  0.00083082
          65     -0.5536   -0.554402 0.000818133
          66    -0.54944   -0.554327 0.000809185
          67    -0.55224   -0.554296 0.000797707
          68    -0.55616   -0.554324 0.000786446
          69     -0.5688   -0.554533 0.000802546
          70      -0.546   -0.554411 0.000800286
          71    -0.55352   -0.554399 0.000789113
          72    -0.55784   -0.554447 0.000779599
          73      -0.554   -0.554441 0.000768944
          74    -0.55184   -0.554405 0.000759355
          75    -0.55368   -0.554396 0.000749292
          76    -0.56184   -0.554494 0.000745808
          77    -0.54816   -0.554411 0.000740644
          78    -0.55824   -0.554461 0.000732773
          79    -0.55976   -0.554528 0.000726562
          80    -0.56216   -0.554623 0.000723716
          81    -0.55792   -0.554664 0.000715925
          82     -0.5548   -0.554665 0.000707196
          83    -0.54824   -0.554588   0.0007029
          84    -0.55768   -0.554625 0.000695496
          85    -0.54448   -0.554505 0.000697479
          86    -0.55512   -0.554513 0.000689405
          87      -0.556    -0.55453 0.000681693
          88    -0.56096   -0.554603 0.000677851
          89    -0.56376   -0.554706 0.000677999
          90    -0.54408   -0.554588 0.000680667
          91    -0.54952   -0.554532 0.000675462
          92      -0.542   -0.554396 0.000681716
          93     -0.5624   -0.554482 0.000679797
          94    -0.54448   -0.554375 0.000680842
          95    -0.55072   -0.554337 0.000674761
          96    -0.54768   -0.554268 0.000671286
          97     -0.5476   -0.554199 0.000667875
          98     -0.5488   -0.554144 0.000663328
          99    -0.55528   -0.554155 0.000656727
         100    -0.56752   -0.554289  0.00066362
