#   N_BLOCK:  ACCEPTANCE:
           1    0.445667
           2    0.445152
           3    0.445226
           4    0.444881
           5     0.44484
           6    0.444578
           7    0.444529
           8     0.44453
           9    0.444405
          10    0.444588
          11    0.444452
          12    0.443839
          13    0.444367
          14    0.444566
          15     0.44429
          16    0.444148
          17    0.444167
          18    0.444578
          19    0.444514
          20    0.444785
          21    0.444997
          22    0.445292
          23    0.445581
          24    0.445634
          25     0.44564
          26    0.445794
          27    0.445877
          28    0.445795
          29    0.445934
          30    0.446144
          31    0.446126
          32     0.44647
          33    0.446443
          34    0.446467
          35    0.446438
          36    0.446462
          37    0.446482
          38    0.446372
          39    0.446516
          40    0.446376
          41    0.446176
          42    0.446168
          43    0.446079
          44    0.446136
          45    0.446146
          46    0.446136
          47    0.446108
          48    0.446094
          49    0.446117
          50    0.446059
          51    0.446067
          52    0.446016
          53    0.446021
          54    0.446084
          55    0.446052
          56    0.446079
          57     0.44605
          58    0.446007
          59    0.445948
          60    0.445919
          61    0.445832
          62    0.445941
          63    0.445986
          64    0.445842
          65    0.445911
          66    0.445961
          67    0.446029
          68    0.446026
          69    0.445862
          70    0.445937
          71    0.445938
          72    0.445913
          73    0.445919
          74    0.445968
          75    0.446031
          76    0.445931
          77    0.445941
          78    0.445871
          79    0.445872
          80    0.445793
          81     0.44576
          82    0.445734
          83    0.445797
          84    0.445784
          85    0.445886
          86    0.445889
          87    0.445829
          88    0.445819
          89    0.445776
          90    0.445839
          91    0.445841
          92    0.445946
          93    0.445913
          94    0.445976
          95    0.446038
          96    0.446066
          97    0.446135
          98    0.446176
          99    0.446165
         100    0.446043
