#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     11.6012     11.6012           0
           2     10.9117     11.2564    0.243748
           3     9.78124     10.7647    0.433136
           4     11.3223     10.9041    0.346559
           5     10.4579     10.8149     0.28851
           6     12.8065     11.1468    0.386812
           7     9.83209      10.959    0.374383
           8     12.0466     11.0949    0.351403
           9     9.00462     10.8627    0.381467
          10     9.88098     10.7645    0.355728
          11     12.0877     10.8848    0.343126
          12     10.5445     10.8564    0.315702
          13     9.19013     10.7283    0.316369
          14     10.0257     10.6781    0.297725
          15     9.81716     10.6207    0.283355
          16     9.49484     10.5503    0.274243
          17     11.5395     10.6085    0.264212
          18     11.2238     10.6427    0.251735
          19     12.9307     10.7631    0.265731
          20      9.0792     10.6789    0.265448
          21     10.6587      10.678     0.25281
          22     9.59742     10.6288    0.246043
          23     9.17636     10.5657    0.243315
          24     8.98267     10.4997    0.241952
          25     11.5269     10.5408    0.235737
          26     16.2873     10.7618    0.313607
          27     9.77627     10.7253    0.304109
          28     12.7376     10.7972     0.30162
          29     8.30587     10.7113    0.303207
          30     8.67849     10.6435    0.300576
          31      9.0192     10.5911    0.295412
          32     9.48302     10.5565    0.288203
          33     8.81067     10.5036    0.284284
          34     9.13627     10.4634    0.278752
          35     13.9822     10.5639    0.288349
          36     10.4101     10.5596    0.280371
          37     14.1237      10.656    0.288867
          38      11.821     10.6866    0.282888
          39     12.0801     10.7224    0.277882
          40       12.45     10.7656     0.27427
          41     13.4045     10.8299     0.27503
          42     10.3276      10.818    0.268741
          43     9.39111     10.7848    0.264532
          44     11.6044     10.8034    0.259175
          45     7.81822     10.7371    0.261768
          46     7.69751      10.671    0.264286
          47     8.42924     10.6233    0.262931
          48     8.02418     10.5691     0.26297
          49     9.37378     10.5447    0.258732
          50     12.5939     10.5857    0.256783
          51     8.74373     10.5496    0.254275
          52     6.66133     10.4748    0.260148
          53     10.0035     10.4659    0.255391
          54     11.1836     10.4792    0.251007
          55     6.72907     10.4111    0.255537
          56     10.5203      10.413    0.250981
          57     11.9876     10.4406    0.248094
          58     12.0461     10.4683    0.245355
          59      7.1424     10.4119    0.247588
          60     11.4105     10.4286     0.24402
          61     10.2118      10.425    0.240046
          62     9.42969      10.409     0.23671
          63     6.38747     10.3451    0.241407
          64     11.1391     10.3575    0.237953
          65     10.5604     10.3607    0.234313
          66     10.1785     10.3579    0.230779
          67     9.27991     10.3418    0.227895
          68     7.76498     10.3039    0.227672
          69     10.2356     10.3029    0.224374
          70     7.45111     10.2622    0.224837
          71     11.6785     10.2821    0.222554
          72     11.4343     10.2981    0.220037
          73      15.066     10.3635    0.226509
          74     8.26978     10.3352    0.225208
          75      10.714     10.3402    0.222262
          76     10.8211     10.3465    0.219428
          77     9.21653     10.3319    0.217068
          78     11.0622     10.3412    0.214487
          79     9.69849     10.3331    0.211927
          80      13.094     10.3676    0.212069
          81     8.27467     10.3418    0.211019
          82     7.63724     10.3088    0.211007
          83     10.7866     10.3145    0.208544
          84     9.91991     10.3098    0.206114
          85      10.538     10.3125    0.203706
          86     10.1295     10.3104    0.201349
          87     12.2844     10.3331    0.200309
          88      11.308     10.3442    0.198339
          89     12.4404     10.3677    0.197504
          90      10.997     10.3747    0.195433
          91     11.2146     10.3839    0.193503
          92     12.2261      10.404    0.192433
          93     9.63733     10.3957    0.190541
          94     12.9894     10.4233    0.190501
          95     6.75209     10.3847    0.192375
          96     7.85787     10.3583    0.192164
          97     10.0049     10.3547    0.190217
          98       10.38      10.355    0.188276
          99     8.09511     10.3321    0.187753
         100      10.652     10.3353    0.185903
