#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.451941    0.451941           0
           2    0.425837    0.438889  0.00922905
           3    0.468928    0.448902   0.0102322
           4    0.420597    0.441826  0.00982079
           5    0.484958    0.450452   0.0110118
           6    0.455546    0.451301  0.00920918
           7    0.439302    0.449587  0.00805153
           8    0.496948    0.455507  0.00896104
           9    0.401142    0.449467   0.0097919
          10    0.516582    0.456178   0.0108722
          11    0.426262    0.453459   0.0102183
          12    0.382729    0.447564   0.0109354
          13    0.430851    0.446279   0.0101695
          14    0.424492    0.444723   0.0095614
          15    0.398355    0.441631   0.0094104
          16    0.351595    0.436004   0.0103691
          17     0.41222    0.434605  0.00985313
          18    0.471002    0.436627  0.00951096
          19    0.444539    0.437044  0.00901949
          20    0.413613    0.435872  0.00864426
          21    0.504857    0.439157  0.00883479
          22    0.502677    0.442044  0.00889249
          23    0.424516    0.441282  0.00853845
          24    0.436913      0.4411  0.00818462
          25    0.448441    0.441394   0.0078625
          26    0.506265    0.443889  0.00794613
          27    0.438199    0.443678  0.00765462
          28    0.526661    0.446642  0.00793426
          29    0.434846    0.446235  0.00767108
          30    0.403705    0.444817  0.00754524
          31    0.417175    0.443926  0.00735434
          32    0.456849     0.44433   0.0071356
          33    0.471384    0.445149  0.00696631
          34    0.375242    0.443093  0.00705833
          35    0.452071     0.44335  0.00686132
          36    0.466923    0.444005   0.0067019
          37    0.440731    0.443916  0.00652135
          38    0.441274    0.443847  0.00635011
          39    0.445552     0.44389  0.00618744
          40    0.477515    0.444731  0.00608959
          41    0.475765    0.445488  0.00598792
          42     0.41661      0.4448  0.00588469
          43    0.436966    0.444618  0.00575066
          44    0.401537    0.443639   0.0057027
          45    0.390884    0.442467   0.0056952
          46    0.404701    0.441646  0.00563026
          47    0.420326    0.441192  0.00552871
          48    0.428272    0.440923  0.00542008
          49    0.366159    0.439397  0.00552005
          50    0.523812    0.441085  0.00566195
          51    0.413758     0.44055  0.00557623
          52    0.362619    0.439051  0.00566681
          53    0.439694    0.439063   0.0055599
          54    0.430133    0.438898   0.0054594
          55    0.467348    0.439415  0.00538458
          56    0.505359    0.440593  0.00541567
          57    0.507012    0.441758  0.00544457
          58    0.493448    0.442649  0.00542315
          59    0.421766    0.442295  0.00534277
          60    0.522365     0.44363  0.00541782
          61    0.444789    0.443649  0.00532904
          62    0.355301    0.442224  0.00543026
          63    0.435247    0.442113  0.00534519
          64    0.446658    0.442184  0.00526215
          65    0.417491    0.441804  0.00519488
          66    0.431224    0.441644  0.00511865
          67    0.391882    0.440901  0.00509585
          68    0.381837    0.440032   0.0050944
          69    0.454675    0.440245  0.00502498
          70    0.470866    0.440682   0.0049722
          71    0.426311     0.44048  0.00490629
          72    0.447298    0.440574  0.00483906
          73    0.526487    0.441751   0.0049138
          74    0.483634    0.442317  0.00487989
          75    0.423323    0.442064  0.00482139
          76    0.414157    0.441697  0.00477191
          77    0.451557    0.441825  0.00471166
          78    0.367565    0.440873  0.00474646
          79    0.483546    0.441413  0.00471702
          80    0.447311    0.441487  0.00465863
          81    0.432956    0.441381  0.00460231
          82    0.451319    0.441503  0.00454778
          83    0.403633    0.441046  0.00451581
          84    0.471418    0.441408   0.0044765
          85      0.4352    0.441335  0.00442443
          86    0.434084     0.44125  0.00437379
          87    0.517679    0.442129  0.00441086
          88    0.480863    0.442569  0.00438264
          89    0.423734    0.442357  0.00433851
          90    0.385637    0.441727  0.00433583
          91    0.377833    0.441025  0.00434466
          92    0.525444    0.441943  0.00439327
          93    0.422712    0.441736  0.00435089
          94    0.465095    0.441984   0.0043117
          95    0.397817     0.44152   0.0042913
          96    0.384126    0.440922  0.00428805
          97     0.40643    0.440566  0.00425856
          98    0.460101    0.440765  0.00421977
          99    0.370773    0.440058  0.00423595
         100    0.494133    0.440599  0.00422797
