#   N_BLOCK:  ACCEPTANCE:
           1     0.19498
           2    0.195225
           3     0.19516
           4    0.195387
           5    0.194869
           6    0.194359
           7    0.194721
           8    0.194942
           9    0.195806
          10    0.195793
          11     0.19514
          12    0.194988
          13    0.195761
          14    0.195157
          15    0.195055
          16    0.195216
          17    0.194985
          18    0.194911
          19     0.19481
          20    0.194828
          21    0.195028
          22    0.195567
          23    0.195795
          24     0.19586
          25    0.195609
          26    0.195111
          27    0.195331
          28    0.195228
          29    0.195405
          30    0.195483
          31    0.195699
          32    0.195716
          33     0.19593
          34    0.196017
          35     0.19568
          36    0.195773
          37    0.195598
          38    0.195405
          39    0.195484
          40    0.195171
          41    0.195017
          42     0.19492
          43    0.195063
          44    0.194966
          45    0.195078
          46    0.195089
          47    0.195099
          48    0.195277
          49    0.195195
          50    0.195155
          51    0.195215
          52    0.195292
          53    0.195273
          54    0.195233
          55      0.1954
          56    0.195397
          57    0.195458
          58    0.195485
          59    0.195477
          60    0.195488
          61    0.195425
          62     0.19526
          63    0.195436
          64    0.195435
          65    0.195383
          66    0.195391
          67     0.19545
          68    0.195395
          69    0.195238
          70    0.195314
          71     0.19524
          72    0.195361
          73    0.195344
          74      0.1955
          75     0.19547
          76    0.195421
          77    0.195582
          78     0.19558
          79    0.195627
          80    0.195603
          81    0.195636
          82     0.19564
          83    0.195669
          84    0.195617
          85    0.195633
          86    0.195768
          87    0.195736
          88    0.195687
          89     0.19562
          90    0.195522
          91    0.195433
          92    0.195428
          93    0.195481
          94    0.195467
          95    0.195574
          96    0.195625
          97    0.195657
          98    0.195689
          99    0.195703
         100    0.195804
