#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.46536    -0.46536           0
           2     -0.4572    -0.46128    0.002885
           3    -0.45808   -0.460213  0.00211133
           4    -0.46072    -0.46034  0.00158729
           5     -0.4616   -0.460592  0.00128968
           6    -0.46064     -0.4606  0.00107476
           7    -0.45472    -0.45976  0.00120559
           8      -0.462    -0.46004  0.00108692
           9    -0.46888   -0.461022  0.00133829
          10    -0.46968   -0.461888  0.00145785
          11     -0.4604   -0.461753  0.00133158
          12    -0.46408   -0.461947  0.00123466
          13     -0.4568   -0.461551  0.00120148
          14    -0.45752   -0.461263  0.00114964
          15    -0.46296   -0.461376  0.00107855
          16    -0.47104    -0.46198  0.00116809
          17     -0.4572   -0.461699  0.00113271
          18    -0.46504   -0.461884  0.00108489
          19       -0.46   -0.461785  0.00103231
          20    -0.44992   -0.461192  0.00113847
          21    -0.46088   -0.461177  0.00108436
          22    -0.45344   -0.460825  0.00109061
          23    -0.45104     -0.4604  0.00112312
          24     -0.4556     -0.4602  0.00109398
          25    -0.45232   -0.459885  0.00109469
          26    -0.46744   -0.460175  0.00109047
          27    -0.44984   -0.459793  0.00111525
          28    -0.46808   -0.460089    0.001114
          29    -0.46104   -0.460121  0.00107607
          30    -0.46264   -0.460205  0.00104347
          31      -0.454   -0.460005  0.00102883
          32    -0.46304     -0.4601  0.00100104
          33    -0.45616   -0.459981 0.000977803
          34      -0.462    -0.46004 0.000950846
          35     -0.4672   -0.460245 0.000945429
          36    -0.45384   -0.460067 0.000935756
          37     -0.4616   -0.460108 0.000911383
          38    -0.46608   -0.460265 0.000900847
          39    -0.45456   -0.460119 0.000889547
          40    -0.45752   -0.460054 0.000869678
          41    -0.46304   -0.460127  0.00085151
          42      -0.472    -0.46041 0.000876907
          43    -0.46312   -0.460473 0.000858777
          44    -0.47056   -0.460702 0.000869322
          45     -0.4648   -0.460793 0.000854761
          46    -0.46336   -0.460849 0.000837999
          47    -0.45064   -0.460631 0.000847852
          48    -0.46472   -0.460717 0.000834456
          49    -0.46992   -0.460904 0.000838298
          50    -0.46256   -0.460938 0.000822185
          51     -0.4568   -0.460856 0.000810057
          52    -0.46792   -0.460992 0.000805788
          53    -0.45736   -0.460924 0.000793493
          54     -0.4676   -0.461047 0.000788372
          55    -0.45928   -0.461015 0.000774692
          56    -0.46424   -0.461073 0.000762996
          57    -0.46448   -0.461133 0.000751948
          58    -0.45952   -0.461105 0.000739497
          59    -0.46376    -0.46115 0.000728331
          60      -0.468   -0.461264 0.000725085
          61    -0.45336   -0.461134 0.000724684
          62    -0.45928   -0.461105 0.000713612
          63    -0.46136   -0.461109 0.000702297
          64     -0.4652   -0.461173 0.000694227
          65    -0.46216   -0.461188 0.000683712
          66    -0.46168   -0.461195 0.000673394
          67    -0.45472   -0.461099 0.000670242
          68    -0.46688   -0.461184 0.000665757
          69    -0.46872   -0.461293 0.000665007
          70     -0.4624   -0.461309 0.000655695
          71    -0.45992   -0.461289 0.000646752
          72    -0.44824   -0.461108 0.000662676
          73    -0.47096   -0.461243   0.0006672
          74    -0.46128   -0.461243 0.000658184
          75    -0.45816   -0.461202 0.000650691
          76    -0.46672   -0.461275 0.000646167
          77    -0.46216   -0.461286 0.000637878
          78       -0.46    -0.46127 0.000629913
          79    -0.46576   -0.461327 0.000624498
          80    -0.46808   -0.461411 0.000622372
          81    -0.46592   -0.461467 0.000617173
          82    -0.46424     -0.4615 0.000610572
          83    -0.47112   -0.461616 0.000614117
          84    -0.46552   -0.461663 0.000608562
          85     -0.4604   -0.461648 0.000601584
          86    -0.46616     -0.4617 0.000596872
          87    -0.46072   -0.461689 0.000590118
          88    -0.46488   -0.461725 0.000584525
          89     -0.4668   -0.461782 0.000580731
          90    -0.45792    -0.46174 0.000575862
          91     -0.4608   -0.461729 0.000569627
          92    -0.46056   -0.461717 0.000563577
          93     -0.4592   -0.461689 0.000558166
          94    -0.46816   -0.461758 0.000556456
          95     -0.4576   -0.461715 0.000552318
          96    -0.45512   -0.461646  0.00055082
          97    -0.46056   -0.461635 0.000545255
          98     -0.4624   -0.461642 0.000539747
          99     -0.4632   -0.461658 0.000534524
         100    -0.46232   -0.461665  0.00052922
