#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.46387     4.46387           0
           2         5.5     4.98193    0.366328
           3     4.20507     4.72298     0.32303
           4      3.8812     4.51253    0.303168
           5     3.84967     4.37996     0.26997
           6     3.97133     4.31186    0.233407
           7     4.53753      4.3441    0.202277
           8       5.648     4.50708    0.233604
           9     5.75267     4.64548    0.245242
          10     4.56227     4.63716    0.220859
          11     4.34387      4.6105    0.202384
          12     4.72447     4.61999    0.185741
          13      4.6266      4.6205    0.171454
          14     4.14053     4.58622    0.162599
          15     4.22993     4.56247    0.153484
          16      3.1966      4.4771    0.165942
          17     5.07867     4.51249    0.159909
          18     4.04633     4.48659    0.153108
          19     4.35673     4.47975    0.145202
          20      4.3624     4.47389     0.13806
          21      3.7996     4.44178    0.135168
          22       4.355     4.43783    0.129082
          23      4.8008     4.45361    0.124431
          24     4.20593     4.44329    0.119673
          25      4.4796     4.44475    0.114895
          26     4.25347     4.43739    0.110711
          27      4.1586     4.42706    0.107091
          28     4.72867     4.43784    0.103807
          29     4.15733     4.42816    0.100677
          30     3.43407     4.39503     0.10263
          31      3.7008     4.37263    0.101733
          32     4.69653     4.38275    0.099056
          33      3.4828     4.35548   0.0997377
          34     4.64807     4.36409   0.0971748
          35     5.31347     4.39121   0.0981112
          36     4.40187     4.39151   0.0953863
          37     3.59993     4.37012   0.0951773
          38      4.0358     4.36132   0.0930783
          39     4.83847     4.37355   0.0914923
          40     4.84473     4.38533   0.0899601
          41      4.2122     4.38111    0.087865
          42     4.04947     4.37321    0.086127
          43     4.19867     4.36915   0.0842197
          44      5.0994     4.38575   0.0839249
          45       4.661     4.39187   0.0822825
          46     5.34913     4.41268   0.0830837
          47     3.48507     4.39294   0.0836272
          48      4.3558     4.39217   0.0818886
          49     4.29967     4.39028   0.0802392
          50     4.94213     4.40132   0.0793898
          51     5.39173     4.42074   0.0801732
          52     4.16407      4.4158   0.0787832
          53     4.30307     4.41367   0.0773254
          54      4.4074     4.41356   0.0758936
          55      4.5496     4.41603    0.074554
          56     4.18367     4.41188    0.073338
          57     4.02353     4.40507   0.0723672
          58       4.958      4.4146   0.0717447
          59     4.86367     4.42221   0.0709312
          60     4.84307     4.42923    0.070095
          61     3.91353     4.42077   0.0694538
          62     4.30333     4.41888   0.0683594
          63     5.31133     4.43304   0.0687265
          64     4.19653     4.42935   0.0677519
          65     4.65047     4.43275   0.0667949
          66     4.44273      4.4329   0.0657831
          67     4.86153      4.4393   0.0651116
          68     4.07353     4.43392   0.0643758
          69     4.03533     4.42814   0.0637015
          70      3.6698     4.41731    0.063706
          71       2.994     4.39726   0.0658874
          72     5.07987     4.40674   0.0656508
          73     4.84287     4.41272   0.0650228
          74     3.46793     4.39995   0.0653855
          75      4.4522     4.40065   0.0645174
          76     3.55567     4.38953   0.0646194
          77       3.539     4.37848   0.0647174
          78     4.28993     4.37735   0.0638976
          79     4.55667     4.37962   0.0631291
          80     4.30947     4.37874   0.0623461
          81     4.27833      4.3775   0.0615887
          82     4.85507     4.38333   0.0611123
          83      3.4848      4.3725   0.0613274
          84      4.1354     4.36968   0.0606622
          85     3.61573     4.36081   0.0605935
          86     4.23527     4.35935   0.0599066
          87      5.7408     4.37523   0.0612863
          88      4.6186     4.37799   0.0606522
          89     3.81733     4.37169    0.060297
          90      4.0882     4.36854   0.0597092
          91      3.9736      4.3642   0.0592106
          92     4.83487     4.36932   0.0587876
          93       4.268     4.36823   0.0581656
          94     4.96667      4.3746   0.0578941
          95      4.5582     4.37653    0.057317
          96     3.63273     4.36878   0.0572412
          97      4.2208     4.36725   0.0566714
          98     3.83247      4.3618   0.0563552
          99     5.11507     4.36941   0.0562973
         100     4.01427     4.36586   0.0558462
