#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.10528     0.10528           0
           2     0.08832      0.0968  0.00599627
           3     0.04368   0.0790933   0.0149999
           4     0.08228     0.07989   0.0112711
           5      0.1402    0.091952   0.0140605
           6     0.16144    0.103533   0.0157817
           7     0.09484    0.102291    0.013576
           8     0.09628     0.10154   0.0118997
           9     0.07232   0.0982933   0.0110115
          10     0.14904    0.103368   0.0110178
          11     0.02944   0.0966473   0.0118906
          12     0.02204     0.09043   0.0124192
          13     0.14836   0.0948862   0.0122373
          14     0.06032   0.0924171   0.0116096
          15      0.0702    0.090936   0.0109297
          16     0.05136   0.0884625   0.0105228
          17        0.07   0.0873765  0.00995965
          18     0.14868   0.0907822  0.00997166
          19     0.15596   0.0942126   0.0100195
          20      0.1122    0.095112  0.00955884
          21     0.15872    0.098141  0.00957153
          22     0.12944   0.0995636  0.00924159
          23     0.03368   0.0966991   0.0092731
          24     0.09992   0.0968333  0.00888769
          25     0.18372    0.100309  0.00918661
          26     0.11524    0.100883  0.00885121
          27     0.14732    0.102603  0.00868888
          28     0.07572    0.101643  0.00843144
          29     0.11832    0.102218  0.00816029
          30     0.16092    0.104175  0.00811949
          31      0.1108    0.104388  0.00786038
          32     0.19064    0.107084  0.00806364
          33     0.14496    0.108232  0.00790055
          34     0.14352    0.109269  0.00773606
          35       0.078    0.108376  0.00756644
          36     0.12744    0.108906  0.00737477
          37      0.0954    0.108541  0.00718448
          38     0.04752    0.106935  0.00717262
          39     0.14584    0.107932  0.00705774
          40      0.1678    0.109429  0.00703821
          41     0.07628     0.10862  0.00691283
          42     0.06136    0.107495   0.0068392
          43      0.0636    0.106474  0.00675591
          44     0.12984    0.107005   0.0066232
          45     0.14184     0.10778   0.0065211
          46     0.05648    0.106664  0.00647399
          47    -0.01236    0.104132  0.00681358
          48     0.07504    0.103526  0.00669853
          49     0.01912    0.101803  0.00677969
          50      0.1092    0.101951  0.00664571
          51     0.01004    0.100149  0.00675534
          52      0.1054     0.10025  0.00662619
          53     0.03832   0.0990815  0.00660339
          54     0.01252   0.0974785  0.00667283
          55      0.0388   0.0964116  0.00663625
          56     0.08064     0.09613  0.00652372
          57     0.05684   0.0954407  0.00644558
          58      0.1006   0.0955297  0.00633506
          59     0.02156   0.0942759  0.00635053
          60     0.09924   0.0943587  0.00624523
          61     0.10456   0.0945259  0.00614509
          62      0.0608   0.0939819     0.00607
          63     0.12924   0.0945416   0.0059994
          64     0.10996   0.0947825  0.00591049
          65     0.11716   0.0951268  0.00582958
          66     0.06664   0.0946952  0.00575721
          67     0.09404   0.0946854  0.00567129
          68     0.06428   0.0942382  0.00560549
          69     0.09296   0.0942197  0.00552428
          70     0.06604   0.0938171  0.00546001
          71     0.02648   0.0928687  0.00546486
          72      0.0344   0.0920567  0.00544896
          73     0.03752   0.0913096  0.00542529
          74     0.14304   0.0920086  0.00539682
          75     0.07108   0.0917296  0.00533207
          76     0.18032   0.0928953  0.00538782
          77    -0.00284   0.0916519  0.00545942
          78     0.01748    0.090701  0.00547162
          79     0.14044   0.0913306  0.00543846
          80     0.17804   0.0924145  0.00547742
          81     0.04284   0.0918025  0.00544388
          82     0.12764   0.0922395  0.00539501
          83      0.0326    0.091521  0.00537765
          84     0.07188   0.0912871  0.00531871
          85      0.1076   0.0914791   0.0052596
          86     0.08852   0.0914447  0.00519855
          87       0.136   0.0919568  0.00516396
          88      0.0812   0.0918345  0.00510673
          89     0.00672   0.0908782  0.00513812
          90     0.05108    0.090436  0.00510002
          91     0.00132   0.0894567  0.00513714
          92     0.06536   0.0891948  0.00508797
          93     0.10768   0.0893935  0.00503714
          94     0.09728   0.0894774  0.00498425
          95     0.16764   0.0903002  0.00499924
          96     0.06836   0.0900717  0.00495238
          97     0.16424   0.0908363     0.00496
          98     0.07968   0.0907224   0.0049107
          99     0.10236     0.09084   0.0048625
         100     0.06048   0.0905364  0.00482334
