#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.15942     2.15942           0
           2     1.92404     2.04173   0.0832186
           3     1.24831     1.77726    0.222955
           4     1.69884     1.75766    0.168076
           5     1.94258     1.79464     0.13847
           6     1.53356     1.75113    0.122037
           7     1.79311     1.75712    0.104751
           8     1.55289     1.73159   0.0947169
           9     1.76209     1.73498   0.0842534
          10     1.78187     1.73967   0.0759584
          11     1.79987     1.74514   0.0692499
          12     1.58284     1.73162   0.0647864
          13     1.48169     1.71239   0.0625904
          14     1.64738     1.70775   0.0582917
          15      1.5336     1.69614   0.0555497
          16     1.79996     1.70263   0.0524554
          17     1.39862     1.68475   0.0523293
          18     1.93933     1.69889    0.051298
          19     1.59956     1.69366   0.0488637
          20     1.78991     1.69847   0.0466569
          21     1.70804     1.69893   0.0444374
          22     1.84956     1.70578   0.0429417
          23      1.9076     1.71455   0.0419617
          24     1.50458      1.7058   0.0411152
          25     1.67182     1.70444   0.0394931
          26     1.62973     1.70157   0.0380785
          27     1.62747     1.69882    0.036767
          28     1.57964     1.69457   0.0356994
          29      1.6228     1.69209    0.034554
          30     1.94031     1.70037   0.0343786
          31     1.75551     1.70215   0.0333156
          32     1.69293     1.70186   0.0322757
          33     1.85871     1.70661   0.0316457
          34     1.69822     1.70636   0.0307159
          35     1.67813     1.70556   0.0298489
          36     1.59964     1.70262   0.0291644
          37     1.68049     1.70202   0.0283823
          38     1.59387     1.69917   0.0277777
          39     1.61604     1.69704   0.0271471
          40     1.86502     1.70124   0.0267913
          41     2.15836     1.71239    0.028363
          42     1.80422     1.71458   0.0277718
          43     1.34507     1.70598   0.0284244
          44     1.69191     1.70566   0.0277802
          45     1.67364     1.70495   0.0271719
          46     1.67444     1.70429   0.0265893
          47     1.51244     1.70021    0.026335
          48     1.69676     1.70013   0.0257865
          49     1.67044     1.69953   0.0252674
          50      1.5048     1.69563   0.0250604
          51     1.76729     1.69704   0.0246083
          52     1.81849     1.69937   0.0242457
          53     1.45262     1.69472   0.0242311
          54     1.67471     1.69435   0.0237852
          55     1.67836     1.69406   0.0233545
          56     1.74729     1.69501   0.0229568
          57     1.72764     1.69558   0.0225612
          58     1.77196      1.6969   0.0222106
          59     1.86533     1.69975   0.0220169
          60     1.73809     1.70039   0.0216592
          61     1.39884     1.69545    0.021861
          62     1.52427     1.69269    0.021682
          63     1.66578     1.69226   0.0213421
          64     1.51476     1.68949    0.021188
          65     1.72996     1.69011   0.0208712
          66     1.77231     1.69135   0.0205921
          67     1.53684     1.68905   0.0204135
          68     1.43662     1.68534    0.020448
          69     1.72387     1.68589   0.0201593
          70     1.88369     1.68872   0.0200684
          71     1.70747     1.68898   0.0197875
          72     1.48809     1.68619   0.0197084
          73     1.64333     1.68561   0.0194471
          74     1.52849     1.68348   0.0192999
          75     1.65093     1.68305   0.0190474
          76     1.68689      1.6831   0.0187969
          77      1.5012     1.68074   0.0187006
          78      1.3552     1.67656   0.0189209
          79     1.54369     1.67488    0.018756
          80     1.72791     1.67554   0.0185332
          81     1.90147     1.67833   0.0185131
          82     1.56413     1.67694   0.0183397
          83     1.91244     1.67978   0.0183369
          84     1.81942     1.68144   0.0181938
          85     1.67796      1.6814   0.0179798
          86     1.84111     1.68326   0.0178664
          87     1.77684     1.68433   0.0176934
          88     1.54151     1.68271   0.0175666
          89     1.71373     1.68306   0.0173727
          90       1.446     1.68042   0.0173782
          91     1.78902     1.68162   0.0172281
          92     1.63822     1.68115   0.0170473
          93     1.90489     1.68355   0.0170329
          94     1.56178     1.68226   0.0169009
          95      1.5932     1.68132    0.016749
          96     1.63804     1.68087   0.0165806
          97     1.81004      1.6822    0.016463
          98     1.47858     1.68012   0.0164256
          99     1.65973     1.67992    0.016261
         100     1.57071     1.67882    0.016135
