#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.12312     0.12312           0
           2     0.05364     0.08838   0.0245649
           3     0.08344   0.0867333   0.0164317
           4      0.0632     0.08085   0.0133355
           5     0.02028    0.068736   0.0152057
           6     0.10852   0.0753667   0.0140429
           7       0.028      0.0686   0.0135695
           8     0.00688    0.060885   0.0138945
           9     0.08172      0.0632    0.012542
          10     0.06796    0.063676   0.0112968
          11     0.05192   0.0626073   0.0103203
          12     0.03004   0.0598933  0.00981061
          13     0.03272   0.0578031  0.00927595
          14     0.09432   0.0604114  0.00897262
          15     0.03784   0.0589067  0.00849969
          16     0.08468   0.0605175  0.00811966
          17     0.06192      0.0606  0.00764246
          18     0.09756   0.0626533  0.00748864
          19     0.01364   0.0600737  0.00752571
          20       0.052     0.05967  0.00716024
          21     0.04244   0.0588495  0.00686612
          22       0.024   0.0572655  0.00673428
          23      0.1034   0.0592713  0.00673359
          24      0.0278     0.05796  0.00657946
          25      0.0562   0.0578896  0.00631666
          26      0.0616   0.0580323  0.00607533
          27     0.01192   0.0563244  0.00608563
          28     0.05424     0.05625  0.00586874
          29      0.0692   0.0566966  0.00568334
          30     0.02716    0.055712  0.00557852
          31     0.03916   0.0551781  0.00542406
          32      0.0718   0.0556975  0.00527937
          33     0.07384   0.0562473  0.00514794
          34    -0.02008   0.0540024  0.00546413
          35     0.06844   0.0544149  0.00532356
          36     0.02448   0.0535833  0.00524022
          37     0.05852   0.0537168  0.00510029
          38     0.10536   0.0550758  0.00514395
          39     0.02988   0.0544297  0.00505246
          40     0.01228    0.053376  0.00503484
          41     0.07112   0.0538088   0.0049306
          42      0.0372   0.0534133  0.00482904
          43     0.01932   0.0526205  0.00478138
          44     0.03368     0.05219  0.00469205
          45     0.03648   0.0518409  0.00460075
          46     0.04892   0.0517774  0.00450118
          47     0.06764   0.0521149  0.00441804
          48     0.08468   0.0527933  0.00437778
          49      0.0604   0.0529486  0.00429119
          50     0.05516   0.0529928  0.00420559
          51       0.016   0.0522675  0.00418521
          52     0.06064   0.0524285  0.00410782
          53     0.06644   0.0526928  0.00403882
          54     0.06996   0.0530126  0.00397666
          55     0.09624   0.0537985  0.00398127
          56     0.04196   0.0535871  0.00391578
          57      0.0578   0.0536611  0.00384778
          58     0.05172   0.0536276  0.00378159
          59     0.04752   0.0535241  0.00371891
          60     0.07652   0.0539073  0.00367662
          61     0.11976   0.0549869  0.00377152
          62     0.04512   0.0548277  0.00371404
          63     0.05884   0.0548914  0.00365563
          64     0.01212   0.0542231  0.00365909
          65     0.06948   0.0544578  0.00361032
          66     0.13464   0.0556727  0.00375446
          67     0.03732   0.0553988   0.0037084
          68     0.13392   0.0565535  0.00382943
          69     0.11728   0.0574336  0.00387374
          70    -0.00604   0.0565269   0.0039231
          71     0.10756   0.0572456  0.00393314
          72     0.08608   0.0576461  0.00389885
          73     0.07432   0.0578745  0.00385212
          74     0.05876   0.0578865  0.00380009
          75     0.13268   0.0588837  0.00387806
          76       0.081   0.0591747  0.00383794
          77      0.0784   0.0594244  0.00379621
          78     0.07196   0.0595851  0.00375094
          79     0.07084   0.0597276  0.00370616
          80     0.01964   0.0592265  0.00369356
          81     0.05392    0.059161  0.00364854
          82     0.01084   0.0585717  0.00365132
          83     0.05332   0.0585084  0.00360788
          84     0.04836   0.0583876  0.00356695
          85     0.06468   0.0584616  0.00352575
          86     0.05912   0.0584693  0.00348476
          87     0.03956    0.058252  0.00345148
          88      0.0572     0.05824  0.00341228
          89     0.08408   0.0585303  0.00338627
          90     0.08832   0.0588613  0.00336478
          91     0.05764   0.0588479  0.00332783
          92      0.0684   0.0589517  0.00329328
          93     0.05552   0.0589148  0.00325808
          94     0.08124   0.0591523  0.00323206
          95       0.008   0.0586139  0.00324258
          96     0.08852   0.0589254  0.00322373
          97       0.049   0.0588231  0.00319212
          98     0.03816   0.0586122   0.0031665
          99      0.0362   0.0583859   0.0031426
         100     0.03032   0.0581052  0.00312368
