#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.61512    -0.61512           0
           2     -0.6204    -0.61776  0.00186676
           3    -0.60936    -0.61496  0.00260297
           4    -0.62048    -0.61634    0.002289
           5    -0.61056   -0.615184  0.00210294
           6    -0.62184   -0.616293    0.002024
           7    -0.60944   -0.615314  0.00195738
           8    -0.61168    -0.61486  0.00176464
           9     -0.6164   -0.615031  0.00157684
          10    -0.60936   -0.614464  0.00151772
          11    -0.61552    -0.61456  0.00138277
          12    -0.62096   -0.615093  0.00136653
          13    -0.60336   -0.614191  0.00153073
          14    -0.61264    -0.61408  0.00142539
          15    -0.61376   -0.614059  0.00133052
          16    -0.61656   -0.614215  0.00125652
          17    -0.60992   -0.613962  0.00120774
          18    -0.60432   -0.613427  0.00125383
          19    -0.61264   -0.613385  0.00118852
          20    -0.61056   -0.613244  0.00113746
          21    -0.60848   -0.613017  0.00110568
          22    -0.60776   -0.612778  0.00108094
          23    -0.61592   -0.612915  0.00104254
          24    -0.60584    -0.61262  0.00103994
          25     -0.6092   -0.612483   0.0010073
          26    -0.61432   -0.612554 0.000971031
          27    -0.60312   -0.612204 0.000995946
          28    -0.61712    -0.61238 0.000975727
          29    -0.60792   -0.612226 0.000954124
          30    -0.61248   -0.612235 0.000922358
          31    -0.61904   -0.612454 0.000918357
          32     -0.6104    -0.61239 0.000891899
          33    -0.60984   -0.612313 0.000868213
          34    -0.59936   -0.611932  0.00092248
          35     -0.6244   -0.612288 0.000962452
          36    -0.60784   -0.612164 0.000943615
          37     -0.6052   -0.611976 0.000936697
          38     -0.6152   -0.612061 0.000915881
          39     -0.5968    -0.61167 0.000972404
          40    -0.61256   -0.611692 0.000948348
          41    -0.61808   -0.611848 0.000937929
          42    -0.61544   -0.611933 0.000919489
          43    -0.61848   -0.612086 0.000910623
          44     -0.6124   -0.612093 0.000889955
          45    -0.60384   -0.611909 0.000888873
          46    -0.62256   -0.612141   0.0008992
          47    -0.60936   -0.612082 0.000882013
          48     -0.6208   -0.612263 0.000882141
          49    -0.61936   -0.612408 0.000875946
          50       -0.61    -0.61236  0.00085975
          51    -0.61352   -0.612383 0.000843193
          52    -0.62912   -0.612705 0.000886285
          53      -0.622    -0.61288 0.000886746
          54    -0.60784   -0.612787 0.000875223
          55    -0.62512   -0.613011 0.000887572
          56    -0.61224   -0.612997 0.000871829
          57     -0.6112   -0.612966 0.000857104
          58    -0.61584   -0.613015 0.000843757
          59    -0.61712   -0.613085  0.00083232
          60     -0.6164    -0.61314  0.00082028
          61    -0.62648   -0.613359 0.000835476
          62     -0.6076   -0.613266 0.000827147
          63    -0.61328   -0.613266 0.000814018
          64    -0.62248    -0.61341  0.00081393
          65     -0.6192   -0.613499 0.000806268
          66    -0.60672   -0.613396 0.000800568
          67    -0.61336   -0.613396 0.000788619
          68     -0.6264   -0.613587 0.000799873
          69    -0.61888   -0.613664  0.00079195
          70    -0.59952   -0.613462    0.000806
          71    -0.60768    -0.61338 0.000798751
          72    -0.61024   -0.613337 0.000788847
          73    -0.61376   -0.613342 0.000778063
          74     -0.6152   -0.613368 0.000767953
          75    -0.61984   -0.613454 0.000762547
          76    -0.61368   -0.613457 0.000752519
          77       -0.61   -0.613412 0.000744084
          78      -0.616   -0.613445 0.000735284
          79      -0.606   -0.613351 0.000731991
          80    -0.62216   -0.613461 0.000731077
          81    -0.60464   -0.613352 0.000730117
          82     -0.6152   -0.613375 0.000721561
          83    -0.61328   -0.613373 0.000712868
          84    -0.61784   -0.613427 0.000706362
          85    -0.59888   -0.613256 0.000718485
          86    -0.61224   -0.613244 0.000710227
          87    -0.60792   -0.613183 0.000704695
          88    -0.61272   -0.613177 0.000696706
          89      -0.612   -0.613164 0.000689004
          90    -0.60424   -0.613065 0.000688446
          91    -0.61536    -0.61309 0.000681343
          92    -0.60832   -0.613038 0.000675907
          93    -0.61448   -0.613054 0.000668817
          94    -0.60568   -0.612975 0.000666286
          95     -0.5992    -0.61283 0.000674867
          96    -0.61664    -0.61287 0.000669002
          97    -0.61232   -0.612864  0.00066213
          98    -0.61696   -0.612906 0.000656691
          99    -0.60392   -0.612815 0.000656301
         100    -0.62464   -0.612934 0.000660304
