#   N_BLOCK:  ACCEPTANCE:
           1    0.385504
           2    0.385127
           3    0.385646
           4     0.38546
           5    0.385503
           6     0.38524
           7    0.385431
           8    0.385526
           9     0.38566
          10    0.385787
          11    0.385629
          12    0.385316
          13    0.385641
          14    0.385675
          15    0.385518
          16    0.385362
          17    0.385273
          18    0.385675
          19    0.385738
          20    0.385954
          21    0.386034
          22    0.386168
          23    0.386099
          24     0.38621
          25    0.386241
          26    0.386135
          27     0.38628
          28    0.386137
          29    0.386247
          30    0.386326
          31    0.386322
          32    0.386375
          33     0.38641
          34    0.386693
          35    0.386454
          36    0.386551
          37    0.386741
          38    0.386678
          39    0.386916
          40    0.386905
          41    0.386907
          42    0.386844
          43    0.386685
          44    0.386757
          45    0.386875
          46    0.386657
          47    0.386689
          48    0.386658
          49    0.386595
          50    0.386617
          51    0.386608
          52     0.38651
          53    0.386399
          54    0.386464
          55    0.386371
          56    0.386346
          57    0.386403
          58    0.386455
          59    0.386454
          60    0.386389
          61    0.386234
          62    0.386344
          63    0.386332
          64    0.386237
          65    0.386221
          66     0.38629
          67    0.386263
          68    0.386159
          69    0.386121
          70    0.386302
          71    0.386356
          72     0.38641
          73    0.386449
          74    0.386465
          75    0.386396
          76    0.386351
          77    0.386376
          78    0.386327
          79    0.386433
          80    0.386356
          81    0.386439
          82    0.386442
          83    0.386419
          84    0.386391
          85    0.386564
          86    0.386561
          87    0.386585
          88    0.386625
          89    0.386661
          90    0.386723
          91    0.386691
          92    0.386707
          93    0.386749
          94     0.38679
          95    0.386928
          96    0.386915
          97    0.386939
          98    0.386936
          99    0.387012
         100    0.386952
