#   N_BLOCK:  ACCEPTANCE:
           1    0.416733
           2    0.417037
           3    0.417015
           4    0.416613
           5    0.416616
           6    0.416174
           7    0.415898
           8     0.41593
           9    0.415814
          10    0.415871
          11    0.415717
          12     0.41537
          13    0.415565
          14    0.415705
          15    0.415727
          16    0.415714
          17    0.415707
          18    0.416277
          19    0.416104
          20    0.416168
          21    0.416186
          22    0.416617
          23    0.416562
          24    0.416454
          25    0.416587
          26    0.416502
          27    0.416713
          28    0.416478
          29    0.416747
          30    0.416766
          31    0.416712
          32    0.416959
          33    0.417024
          34     0.41713
          35    0.417051
          36    0.417015
          37    0.417122
          38    0.417045
          39    0.417288
          40    0.417266
          41    0.417233
          42    0.417223
          43    0.417125
          44    0.417154
          45    0.417336
          46    0.417153
          47    0.417223
          48    0.417152
          49    0.417062
          50    0.417071
          51     0.41701
          52    0.416973
          53    0.416955
          54    0.417003
          55    0.416918
          56    0.416861
          57    0.417019
          58    0.417055
          59    0.416888
          60    0.416923
          61    0.416874
          62    0.416953
          63    0.417017
          64    0.416877
          65    0.416958
          66    0.417013
          67     0.41703
          68    0.416961
          69    0.416805
          70    0.416879
          71    0.416951
          72    0.417011
          73     0.41703
          74    0.416982
          75    0.416956
          76    0.416897
          77    0.416872
          78    0.416786
          79    0.416827
          80    0.416796
          81    0.416856
          82    0.416821
          83     0.41681
          84    0.416821
          85    0.416902
          86     0.41688
          87    0.416891
          88    0.416876
          89    0.416911
          90    0.416925
          91    0.416903
          92    0.416938
          93    0.416961
          94    0.416928
          95    0.417007
          96    0.417012
          97     0.41704
          98    0.417073
          99    0.417086
         100    0.417058
