#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.48379     2.48379           0
           2      2.7984     2.64109    0.111233
           3     2.27179     2.51799    0.124907
           4     2.46491     2.50472   0.0943826
           5      2.3392     2.47162   0.0811041
           6     2.24597     2.43401    0.075806
           7     2.73696     2.47729   0.0763375
           8     2.50379      2.4806   0.0668672
           9     2.59595     2.49342   0.0606533
          10      2.5504     2.49911    0.054855
          11     2.68309     2.51584   0.0523559
          12     2.52267     2.51641    0.047996
          13     2.57621     2.52101   0.0445239
          14     2.66085       2.531   0.0424493
          15     2.50288     2.52912   0.0396608
          16     2.47307     2.52562   0.0373364
          17     2.54032     2.52648   0.0351501
          18     2.54256     2.52738   0.0332087
          19     2.31984     2.51645   0.0332087
          20     2.43216     2.51224   0.0318146
          21     2.25424     2.49995   0.0325856
          22     2.65179     2.50686   0.0318269
          23     2.25888     2.49607   0.0322175
          24     2.59904     2.50036   0.0311595
          25     1.93872      2.4779   0.0371392
          26     2.48171     2.47805    0.035711
          27     2.34128     2.47298   0.0347458
          28      2.5992     2.47749    0.033796
          29     1.85323     2.45596   0.0388865
          30     2.41339     2.45454   0.0376162
          31     2.33749     2.45077   0.0365917
          32      1.9904     2.43638   0.0381717
          33     2.41387      2.4357   0.0370211
          34     2.76277     2.44532   0.0371611
          35     2.81739     2.45595   0.0375891
          36       2.292     2.45139   0.0368198
          37     3.03856     2.46726   0.0390952
          38     2.47205     2.46739   0.0380666
          39     2.13893     2.45897   0.0380108
          40     2.72805     2.46569   0.0376511
          41     2.41627     2.46449   0.0367521
          42     2.90997      2.4751   0.0373763
          43     2.46288     2.47481   0.0365081
          44       2.404      2.4732   0.0357139
          45     2.53989     2.47468    0.034951
          46     2.93019     2.48459   0.0355662
          47     2.51051     2.48514   0.0348138
          48     2.33728     2.48206   0.0342245
          49      2.4752     2.48192   0.0335263
          50     2.46736     2.48163   0.0328571
          51     2.90864        2.49   0.0332625
          52     2.86981      2.4973   0.0334152
          53     2.74571     2.50199   0.0331118
          54     2.38213     2.49977   0.0325729
          55      2.8528     2.50619    0.032607
          56     2.59467     2.50777   0.0320629
          57     2.31408     2.50437     0.03168
          58     2.42197     2.50295   0.0311656
          59     2.54133      2.5036   0.0306442
          60     2.50037     2.50355   0.0301335
          61     1.96277     2.49468   0.0309161
          62     2.47045     2.49429   0.0304199
          63     2.37387     2.49238    0.029997
          64     3.21467     2.50367     0.03158
          65     2.48757     2.50342   0.0310952
          66     2.73941     2.50699   0.0308289
          67     2.18491     2.50219   0.0307413
          68     2.17435     2.49737    0.030665
          69     2.77259     2.50135   0.0304788
          70     2.26539     2.49798   0.0302293
          71     2.87968     2.50336   0.0302778
          72     2.81845     2.50774   0.0301719
          73     2.51963      2.5079    0.029759
          74     2.84805      2.5125   0.0297097
          75     2.57776     2.51337   0.0293263
          76     2.53184     2.51361   0.0289415
          77     2.61157     2.51488   0.0285936
          78     2.72757     2.51761   0.0283567
          79     2.30837     2.51496   0.0281212
          80     2.22992      2.5114   0.0279945
          81     2.29045     2.50867   0.0277814
          82     3.00315      2.5147   0.0280895
          83     2.69611     2.51688   0.0278359
          84     2.55893     2.51738   0.0275091
          85     2.05675     2.51197   0.0277141
          86     2.74256     2.51465   0.0275212
          87     2.17253     2.51071   0.0274844
          88     2.15584     2.50668   0.0274663
          89     2.35669       2.505   0.0272094
          90      2.1592     2.50115    0.027177
          91     2.54907     2.50168   0.0268834
          92     2.33888     2.49991   0.0266494
          93     2.60528     2.50104   0.0263869
          94     2.55947     2.50167   0.0261135
          95     2.40992      2.5007   0.0258565
          96     2.70219      2.5028   0.0256722
          97     2.26181     2.50031   0.0255274
          98     3.24411      2.5079   0.0263711
          99      2.3864     2.50668   0.0261333
         100     2.83451     2.50996   0.0260768
