#   N_BLOCK:  ACCEPTANCE:
           1    0.496264
           2    0.496557
           3    0.496448
           4    0.496366
           5    0.495899
           6    0.495389
           7    0.495167
           8    0.495259
           9    0.495049
          10    0.495111
          11     0.49493
          12    0.494783
          13    0.494987
          14    0.495133
          15    0.494817
          16    0.494823
          17    0.494782
          18    0.495079
          19    0.494786
          20    0.494958
          21    0.495262
          22    0.495462
          23    0.495547
          24    0.495499
          25    0.495643
          26    0.495716
          27    0.495874
          28    0.495716
          29    0.495718
          30    0.495901
          31    0.495915
          32     0.49607
          33     0.49614
          34    0.496138
          35    0.496248
          36    0.496197
          37    0.496245
          38    0.495995
          39    0.496199
          40    0.496203
          41    0.495965
          42    0.495948
          43    0.495907
          44     0.49597
          45    0.496021
          46    0.495952
          47    0.495886
          48     0.49585
          49    0.495761
          50    0.495758
          51    0.495724
          52     0.49567
          53    0.495557
          54    0.495595
          55    0.495534
          56    0.495482
          57    0.495499
          58    0.495439
          59    0.495324
          60    0.495376
          61    0.495368
          62    0.495502
          63    0.495491
          64    0.495439
          65    0.495498
          66    0.495554
          67    0.495573
          68    0.495485
          69    0.495397
          70     0.49537
          71    0.495316
          72    0.495347
          73    0.495347
          74     0.49539
          75    0.495429
          76    0.495337
          77     0.49533
          78    0.495366
          79    0.495435
          80    0.495292
          81    0.495372
          82    0.495323
          83    0.495374
          84    0.495371
          85    0.495388
          86    0.495442
          87    0.495415
          88    0.495456
          89    0.495491
          90    0.495446
          91    0.495421
          92    0.495458
          93    0.495457
          94    0.495586
          95    0.495613
          96    0.495591
          97    0.495602
          98    0.495558
          99    0.495564
         100    0.495539
