#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1       0.052       0.052           0
           2     0.06524     0.05862  0.00468105
           3     0.05912   0.0587867  0.00312366
           4     0.06404      0.0601  0.00260425
           5     0.02272    0.052624  0.00700379
           6     0.05268   0.0526333  0.00583649
           7     0.05112   0.0524171  0.00500671
           8     0.05756     0.05306  0.00442195
           9     0.01316   0.0486267  0.00573763
          10      0.0558    0.049344  0.00520852
          11      0.0094   0.0457127  0.00586581
          12     0.06892   0.0476467  0.00568687
          13     0.01368   0.0450338  0.00581877
          14     0.05748   0.0459229  0.00547064
          15      0.0326   0.0450347  0.00517753
          16     0.04448       0.045  0.00485405
          17     0.01068   0.0429812  0.00497064
          18     0.04616   0.0431578  0.00469763
          19     0.01204     0.04152  0.00472727
          20     0.03044    0.040966  0.00452325
          21     0.04196   0.0410133  0.00430811
          22       0.003   0.0392855   0.0044453
          23     0.02204   0.0385357   0.0043148
          24     0.01976   0.0377533  0.00420534
          25     0.04424   0.0380128  0.00404512
          26     0.03568   0.0379231  0.00389054
          27     0.03792    0.037923  0.00374644
          28     0.02652   0.0375157  0.00363471
          29     0.03564    0.037451  0.00350995
          30      0.0532    0.037976  0.00343199
          31      0.0268   0.0376155  0.00334016
          32     0.03664    0.037585  0.00323592
          33     0.01592   0.0369285  0.00320376
          34     0.05012   0.0373165  0.00313294
          35     0.06788   0.0381897  0.00316279
          36     0.03048   0.0379756  0.00308217
          37     0.01784   0.0374314  0.00304654
          38     0.05752     0.03796  0.00301188
          39     0.04816   0.0382215  0.00294599
          40     0.05536     0.03865  0.00290333
          41     0.06516   0.0392966  0.00290362
          42     0.01332   0.0386781  0.00289961
          43      0.0318   0.0385181  0.00283659
          44     0.02732   0.0382636  0.00278351
          45     0.00148   0.0374462  0.00283914
          46     0.03976   0.0374965  0.00277787
          47     0.02676   0.0372681  0.00272814
          48     0.03796   0.0372825  0.00267134
          49     0.02556   0.0370433  0.00262752
          50     0.07696   0.0378416  0.00269352
          51      0.0536   0.0381506  0.00265837
          52    -0.00604   0.0373008  0.00273971
          53     0.04316   0.0374113  0.00269025
          54     0.02992   0.0372726  0.00264401
          55     0.01512   0.0368698  0.00262643
          56     0.07012   0.0374636   0.0026458
          57    -0.00072   0.0367937  0.00268284
          58     0.02692   0.0366234  0.00264198
          59     0.03444   0.0365864  0.00259746
          60     0.04324   0.0366973  0.00255654
          61     0.04872   0.0368944  0.00252221
          62      0.0762   0.0375284  0.00255997
          63     0.01904   0.0372349   0.0025361
          64     0.07176   0.0377744   0.0025532
          65     0.01748   0.0374622  0.00253294
          66     0.07284   0.0379982  0.00255065
          67      0.0668   0.0384281  0.00254855
          68     0.02512   0.0382324  0.00251857
          69     0.01932   0.0379583  0.00249694
          70     0.01928   0.0376914  0.00247548
          71     0.04704   0.0378231  0.00244412
          72     0.02976   0.0377111  0.00241274
          73     -0.0024   0.0371616  0.00244145
          74     0.05812   0.0374449  0.00242483
          75     0.04696   0.0375717  0.00239581
          76      0.0368   0.0375616  0.00236431
          77 -6.50868e-18  0.0370738   0.0023834
          78     0.04256   0.0371441  0.00235388
          79     0.05168   0.0373281  0.00233126
          80       0.026   0.0371865  0.00230642
          81     0.06496   0.0375294  0.00230329
          82     0.03528    0.037502  0.00227537
          83     0.04744   0.0376217   0.0022511
          84      0.0204   0.0374167  0.00223362
          85      0.0186   0.0371953  0.00221828
          86     0.06376   0.0375042  0.00221389
          87     0.02452   0.0373549  0.00219347
          88     0.02684   0.0372355   0.0021718
          89     0.02384   0.0370849   0.0021526
          90     0.04604   0.0371844  0.00213098
          91     0.05356   0.0373644  0.00211515
          92     0.04512   0.0374487  0.00209384
          93      0.0372    0.037446  0.00207133
          94     0.04488   0.0375251   0.0020508
          95      0.0534   0.0376922  0.00203601
          96     0.06132   0.0379383  0.00202962
          97     0.02016   0.0377551  0.00201696
          98     0.03816   0.0377592  0.00199638
          99     0.05132   0.0378962  0.00198091
         100     0.04748    0.037992  0.00196342
