#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.307479    0.307479           0
           2    0.309766    0.308622 0.000808302
           3     0.28999    0.302412   0.0050997
           4    0.282515    0.297437  0.00576074
           5    0.291585    0.296267  0.00472602
           6    0.264988    0.291054  0.00617722
           7     0.29967    0.292285  0.00541602
           8    0.272566     0.28982  0.00527013
           9    0.299754    0.290924  0.00479876
          10    0.287769    0.290608  0.00432924
          11    0.329954    0.294185  0.00520776
          12    0.284625    0.293388  0.00483433
          13    0.284447    0.292701  0.00451112
          14    0.293883    0.292785  0.00418969
          15     0.28739    0.292425  0.00392579
          16    0.285671    0.292003  0.00370305
          17    0.257479    0.289972  0.00400355
          18    0.315076    0.291367   0.0040167
          19    0.289532     0.29127  0.00380646
          20    0.302227    0.291818  0.00365535
          21    0.277904    0.291156  0.00354082
          22    0.297028    0.291423  0.00338992
          23    0.294443    0.291554  0.00324507
          24    0.296045    0.291741  0.00311525
          25    0.258187    0.290399  0.00326701
          26    0.310884    0.291187  0.00323496
          27    0.314044    0.292033  0.00322401
          28    0.293317    0.292079  0.00310919
          29    0.294741    0.292171  0.00300333
          30    0.293791    0.292225  0.00290371
          31    0.303035    0.292574   0.0028309
          32    0.282947    0.292273  0.00275837
          33    0.281315    0.291941   0.0026947
          34    0.308854    0.292438  0.00266096
          35    0.302189    0.292717  0.00259948
          36    0.298802    0.292886  0.00253276
          37    0.306119    0.293244  0.00248943
          38     0.27823    0.292848  0.00245507
          39    0.301807    0.293078  0.00240284
          40    0.339735    0.294245  0.00261058
          41    0.294349    0.294247  0.00254691
          42    0.295043    0.294266  0.00248634
          43     0.30589    0.294536  0.00244317
          44    0.289051    0.294412  0.00239082
          45    0.293128    0.294383  0.00233786
          46    0.276252    0.293989  0.00232002
          47    0.308494    0.294298   0.0022911
          48    0.295916    0.294331  0.00224361
          49    0.268567    0.293806   0.0022586
          50    0.293394    0.293797  0.00221344
          51    0.295828    0.293837   0.0021704
          52    0.275054    0.293476  0.00215851
          53    0.287232    0.293358    0.002121
          54    0.293143    0.293354  0.00208172
          55    0.293169    0.293351  0.00204387
          56    0.274927    0.293022  0.00203368
          57    0.293158    0.293024  0.00199801
          58    0.274119    0.292698  0.00198997
          59    0.295434    0.292745  0.00195678
          60    0.278539    0.292508  0.00193844
          61    0.287628    0.292428  0.00190831
          62    0.274904    0.292145  0.00189835
          63    0.306329     0.29237  0.00188152
          64    0.295946    0.292426  0.00185295
          65     0.26533    0.292009  0.00187075
          66    0.278568    0.291806  0.00185346
          67    0.329328    0.292366  0.00190852
          68     0.32846    0.292896  0.00195288
          69      0.2921    0.292885  0.00192461
          70    0.286697    0.292797  0.00189914
          71    0.311228    0.293056  0.00189005
          72    0.280174    0.292877  0.00187225
          73    0.268215    0.292539  0.00187684
          74    0.295108    0.292574   0.0018518
          75    0.272267    0.292303  0.00184679
          76    0.300817    0.292415  0.00182589
          77    0.295669    0.292458  0.00180266
          78    0.299833    0.292552  0.00178203
          79    0.322756    0.292934  0.00180002
          80      0.2876    0.292868  0.00177875
          81    0.304861    0.293016  0.00176294
          82    0.288868    0.292965  0.00174217
          83    0.290632    0.292937  0.00172141
          84    0.279026    0.292772  0.00170886
          85    0.283516    0.292663  0.00169222
          86    0.288881    0.292619  0.00167312
          87    0.301267    0.292718  0.00165684
          88    0.287556    0.292659  0.00163905
          89    0.284595    0.292569  0.00162313
          90    0.294411    0.292589  0.00160523
          91    0.297497    0.292643  0.00158849
          92    0.298976    0.292712  0.00157272
          93    0.282503    0.292602  0.00155963
          94     0.25592    0.292212  0.00159112
          95    0.303667    0.292333  0.00157893
          96    0.295729    0.292368  0.00156288
          97    0.306884    0.292518  0.00155391
          98    0.286436    0.292456   0.0015393
          99    0.273703    0.292266  0.00153536
         100    0.296094    0.292304  0.00152048
