#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.04316     0.04316           0
           2     0.03576     0.03946   0.0026163
           3     0.03172     0.03688  0.00273493
           4    -0.00744      0.0258  0.00981235
           5     0.11752    0.044144   0.0181885
           6     0.07432   0.0491733   0.0158372
           7     0.05316   0.0497429    0.013585
           8     0.02588     0.04676   0.0122099
           9     0.02076   0.0438711   0.0111898
          10     0.05256     0.04474   0.0101045
          11    -0.00728   0.0400109   0.0102329
          12     0.01664   0.0380633   0.0095637
          13      0.0626   0.0399508  0.00901235
          14      0.0534   0.0409114  0.00841966
          15     0.06076   0.0422347  0.00796165
          16      0.0162   0.0406075  0.00762851
          17     0.06732   0.0421788  0.00733982
          18     0.07132   0.0437978  0.00710836
          19     0.05444   0.0443579  0.00675627
          20     0.05736    0.045008  0.00644965
          21     0.11432   0.0483086  0.00693582
          22     0.07352   0.0494545  0.00671456
          23     0.02972   0.0485965  0.00647722
          24     0.05304   0.0487817  0.00620998
          25     0.10776   0.0511408  0.00639401
          26     0.04784   0.0510138  0.00614934
          27     0.12256   0.0536637  0.00646737
          28    -0.01488   0.0512157  0.00668365
          29     0.09528   0.0527352  0.00662365
          30     0.08148   0.0536933  0.00647179
          31     0.11624    0.055711  0.00657001
          32     0.11664    0.057615  0.00663486
          33     0.06612   0.0578727  0.00643881
          34      0.0568   0.0578412  0.00624951
          35     0.03312   0.0571349  0.00611074
          36     0.10764   0.0585378  0.00609991
          37     0.04992   0.0583049  0.00593949
          38     0.03068   0.0575779  0.00582751
          39     0.06052   0.0576533  0.00567858
          40     0.11572    0.059105  0.00571915
          41     0.01796   0.0581015  0.00566702
          42    -0.00136   0.0566857   0.0057062
          43     0.04384    0.056387  0.00558131
          44     0.05608     0.05638  0.00545447
          45     0.09124   0.0571547  0.00538799
          46       0.056   0.0571296  0.00527091
          47    -0.00764   0.0557515  0.00533587
          48     0.04432   0.0555133  0.00523002
          49     0.02396   0.0548694  0.00516278
          50      0.0708    0.055188  0.00506934
          51    -0.00316   0.0540439  0.00509741
          52     0.02772   0.0535377  0.00502446
          53     0.05252   0.0535185  0.00492969
          54     0.06888    0.053803  0.00484661
          55     0.02212   0.0532269   0.0047926
          56     0.03668   0.0529314  0.00471611
          57    -0.00464   0.0519214   0.0047403
          58     0.06344     0.05212  0.00466273
          59      0.0136   0.0514671  0.00462918
          60     0.08152    0.051968  0.00457905
          61    -0.00412   0.0510485  0.00459537
          62     0.06728   0.0513103   0.0045287
          63     0.06516   0.0515302  0.00446215
          64     0.03136    0.051215  0.00440354
          65     0.06908   0.0514898  0.00434436
          66       0.063   0.0516642  0.00428204
          67     0.09532   0.0523158  0.00426741
          68     0.02192   0.0518688    0.004228
          69       0.062   0.0520157  0.00416928
          70     0.08192   0.0524429  0.00413155
          71     0.03228   0.0521589   0.0040831
          72     0.05836    0.052245   0.0040273
          73     0.10008   0.0529003  0.00402509
          74      0.0428   0.0527638  0.00397301
          75     0.00796   0.0521664  0.00396469
          76      0.0674   0.0523668  0.00391759
          77     0.02636   0.0520291  0.00388124
          78     0.01572   0.0515636   0.0038593
          79       0.088   0.0520248  0.00383791
          80     0.09744   0.0525925  0.00383169
          81      0.0256   0.0522593  0.00379885
          82     0.01208   0.0517693  0.00378399
          83     0.03484   0.0515653  0.00374389
          84     0.01844    0.051171  0.00372003
          85     0.09236   0.0516555  0.00370769
          86     0.08224   0.0520112   0.0036816
          87     0.03104   0.0517701  0.00364716
          88      0.0904   0.0522091  0.00363204
          89    -0.00056   0.0516162   0.0036393
          90       0.012    0.051176  0.00362539
          91     0.02004   0.0508338  0.00360166
          92     0.06212   0.0509565   0.0035646
          93      0.0566   0.0510172  0.00352679
          94     0.03796   0.0508783    0.003492
          95     0.06096   0.0509844  0.00345686
          96     0.00104   0.0504642  0.00345977
          97     0.06184   0.0505814  0.00342609
          98     0.02884   0.0503596  0.00339831
          99     0.06776   0.0505354  0.00336853
         100     0.01736   0.0502036  0.00335114
